claimset,D,barform,n_scorable,n_old_pass,n_retired,n_reinstated,retire_share_of_old,retire_share_of_all
COMMITTED,3,SPAN_POOLED,693,574,0,0,0.0,0.0
COMMITTED,3,SPAN_RSS,693,574,32,0,0.05574912891986063,0.046176046176046176
COMMITTED,3,GAP_POOLED,693,574,574,0,1.0,0.8282828282828283
COMMITTED,3,GAP_RSS,693,574,574,0,1.0,0.8282828282828283
COMMITTED,6,SPAN_POOLED,693,574,0,0,0.0,0.0
COMMITTED,6,SPAN_RSS,693,574,19,0,0.033101045296167246,0.027417027417027416
COMMITTED,6,GAP_POOLED,693,574,574,0,1.0,0.8282828282828283
COMMITTED,6,GAP_RSS,693,574,574,0,1.0,0.8282828282828283
COMMITTED,12,SPAN_POOLED,693,574,0,0,0.0,0.0
COMMITTED,12,SPAN_RSS,693,574,19,0,0.033101045296167246,0.027417027417027416
COMMITTED,12,GAP_POOLED,693,574,574,0,1.0,0.8282828282828283
COMMITTED,12,GAP_RSS,693,574,574,0,1.0,0.8282828282828283
COMMITTED,24,SPAN_POOLED,693,597,0,0,0.0,0.0
COMMITTED,24,SPAN_RSS,693,597,23,0,0.038525963149078725,0.03318903318903319
COMMITTED,24,GAP_POOLED,693,597,597,0,1.0,0.8614718614718615
COMMITTED,24,GAP_RSS,693,597,597,0,1.0,0.8614718614718615
ALL,3,SPAN_POOLED,897,774,0,0,0.0,0.0
ALL,3,SPAN_RSS,897,774,33,0,0.04263565891472868,0.03678929765886288
ALL,3,GAP_POOLED,897,774,774,0,1.0,0.862876254180602
ALL,3,GAP_RSS,897,774,774,0,1.0,0.862876254180602
ALL,6,SPAN_POOLED,897,774,0,0,0.0,0.0
ALL,6,SPAN_RSS,897,774,20,0,0.025839793281653745,0.022296544035674472
ALL,6,GAP_POOLED,897,774,774,0,1.0,0.862876254180602
ALL,6,GAP_RSS,897,774,774,0,1.0,0.862876254180602
ALL,12,SPAN_POOLED,897,774,0,0,0.0,0.0
ALL,12,SPAN_RSS,897,774,20,0,0.025839793281653745,0.022296544035674472
ALL,12,GAP_POOLED,897,774,774,0,1.0,0.862876254180602
ALL,12,GAP_RSS,897,774,774,0,1.0,0.862876254180602
ALL,24,SPAN_POOLED,897,799,0,0,0.0,0.0
ALL,24,SPAN_RSS,897,799,25,0,0.03128911138923655,0.027870680044593088
ALL,24,GAP_POOLED,897,799,799,0,1.0,0.8907469342251951
ALL,24,GAP_RSS,897,799,799,0,1.0,0.8907469342251951
