panel,leg_set,leg,fail_rate
U56,LS_REC,L1_H1,0.022222222222222254
U56,LS_REC,L2_H2,0.05555555555555558
U56,LS_REC,L3_OOS,0.0411111111111111
U56,LS_REC,L4_DD,0.7988888888888889
U56,LS_REC,L5_CAGR,0.09111111111111114
U56,LS_970,L1_H1,0.31999999999999995
U56,LS_970,L2_H2,0.028888888888888853
U56,LS_970,L3_OOS,0.0411111111111111
U56,LS_970,L4_DD,0.7988888888888889
U56,LS_970,L5_CAGR,0.09111111111111114
U56,LS_ISALL,L1_H1,0.31999999999999995
U56,LS_ISALL,L2_H2,0.028888888888888853
U56,LS_ISALL,L3_OOS,0.030000000000000027
U56,LS_ISALL,L4_DD,0.6733333333333333
U56,LS_ISALL,L5_CAGR,0.2122222222222222
B136,LS_REC,L1_H1,0.00666666666666671
B136,LS_REC,L2_H2,0.43666666666666665
B136,LS_REC,L3_OOS,0.33111111111111113
B136,LS_REC,L4_DD,0.9177777777777778
B136,LS_REC,L5_CAGR,0.1433333333333333
B136,LS_970,L1_H1,0.1266666666666667
B136,LS_970,L2_H2,0.00666666666666671
B136,LS_970,L3_OOS,0.33111111111111113
B136,LS_970,L4_DD,0.9177777777777778
B136,LS_970,L5_CAGR,0.1433333333333333
B136,LS_ISALL,L1_H1,0.1266666666666667
B136,LS_ISALL,L2_H2,0.00666666666666671
B136,LS_ISALL,L3_OOS,0.00666666666666671
B136,LS_ISALL,L4_DD,0.7044444444444444
B136,LS_ISALL,L5_CAGR,0.13
SMALL,LS_REC,L1_H1,0.8455555555555556
SMALL,LS_REC,L2_H2,0.9977777777777778
SMALL,LS_REC,L3_OOS,1.0
SMALL,LS_REC,L4_DD,0.9411111111111111
SMALL,LS_REC,L5_CAGR,0.7955555555555556
SMALL,LS_970,L1_H1,0.2866666666666666
SMALL,LS_970,L2_H2,0.6344444444444444
SMALL,LS_970,L3_OOS,1.0
SMALL,LS_970,L4_DD,0.9411111111111111
SMALL,LS_970,L5_CAGR,0.7955555555555556
SMALL,LS_ISALL,L1_H1,0.2866666666666666
SMALL,LS_ISALL,L2_H2,0.6344444444444444
SMALL,LS_ISALL,L3_OOS,0.5788888888888889
SMALL,LS_ISALL,L4_DD,0.8777777777777778
SMALL,LS_ISALL,L5_CAGR,0.3244444444444444
