se_basis,L,bar,bar_value,panel,H,cadence,t_best,N_argmax,N_pick,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,pass_4b_full,pass_4b_oos,pass_4a
S_IID,21,BAR_QUOTED,1.959963984540054,U56,21,W,1.5267209297002697,25,20,False,1.1116898505481745,0.15308885804711703,-0.2024163164242747,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,21,M,2.159788503295416,5,5,True,0.8723148443208242,0.168666759475123,-0.2872795019153649,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,63,W,1.1525369219924009,15,20,False,1.1004383395627895,0.1618190957285448,-0.25692124189441967,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,63,M,0.3617898584344359,30,20,False,1.1770914972918733,0.17044573733068202,-0.23940605544821025,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,126,W,0.7031425578545973,40,20,False,1.1615297831443132,0.16919746270303992,-0.19127561830465012,True,True,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,126,M,0.917097860826702,5,20,False,1.0718629300047582,0.15849175682599115,-0.2307735785481957,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,252,W,2.231812802537298,10,10,True,1.1165735222498971,0.1804568189856468,-0.2329895245962077,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,U56,252,M,1.132531079540246,5,20,False,1.0549587806469196,0.15571732243233516,-0.18915655002855358,True,True,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,21,W,1.6638161156520226,40,20,False,0.9966114494768078,0.15547309710536084,-0.2569070436953067,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,21,M,3.1355341209003242,40,40,True,1.0588286290341873,0.1488241103245378,-0.27434821462752956,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,63,W,1.2705883876446336,5,20,False,0.9960363388880005,0.16487229134834314,-0.28694818362899355,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,63,M,2.564196681038856,30,30,True,0.9750837981160982,0.1476707708601923,-0.28625875280354174,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,126,W,1.2658422527377193,10,20,False,1.0100346106764955,0.16023726571201902,-0.20740302267849475,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,126,M,1.1668518071583212,30,20,False,1.0654743736275754,0.18061041709598946,-0.2762786363864471,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,252,W,1.76153421424127,15,20,False,1.0475859407578672,0.17047323820552207,-0.23490998276411423,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,B136,252,M,2.740830634679461,10,10,True,0.7581835851860829,0.1263820473342736,-0.26803083336320666,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,SMALL,21,W,1.1131521890734337,5,20,False,0.4353158102219297,0.06613330401210393,-0.38294667892209755,False,False,False
S_IID,21,BAR_QUOTED,1.959963984540054,SMALL,21,M,1.4302698958116549,25,20,False,0.44561793701672026,0.06750417216231508,-0.35075734420038274,False,False,False
