n,g,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,m_H1,m_H2,m_OOS,m_DD,m_CAGR,fails,pass4b,pass4a,turnover,Calmar
10,0.25,0.055657094691467845,0.6436430472091667,-0.14471242458954592,0.6307848970431489,0.6701726167998201,0.38955932222135153,0.7692855518385728,0.07413428731031502,-0.14471242458954547,-0.2598755754249571,-0.18753385731312777,-0.11272521534371138,0.05759098711084365,-0.04325189364335903,H1+H2+OOS+CAGR,False,True,4.887571095012241,0.38460481088151527
10,0.375,0.08144648696204215,0.6446084331668015,-0.21128957178104824,0.6320555491085168,0.6709343623525915,0.3908031330348892,0.7701591432538739,0.10925212635685244,-0.2112895717810479,-0.2586049233595892,-0.18677211176035635,-0.1118516239284103,-0.008986160080658667,-0.017462501372784725,H1+H2+OOS+DD+CAGR,False,False,7.302043513820701,0.38547329276828773
10,0.5,0.10568921425960887,0.6455482163802811,-0.2741911185227577,0.6333065850797158,0.671670778427169,0.3920370125319526,0.7709958373144246,0.14278252018609772,-0.2741911185227578,-0.25735388738839016,-0.18603569568577882,-0.11101492986785966,-0.07188770682236811,0.006780225924781988,H1+H2+OOS+DD,False,False,9.705032308039181,0.38545819729327496
10,0.625,0.1282491288828569,0.6464660120188986,-0.33354806722597885,0.6345396896095827,0.6723871719131126,0.39326071610100133,0.7718009926375358,0.17451122837596156,-0.33354806722597874,-0.25612078285852324,-0.18531930219983528,-0.11020977454474845,-0.13124465552558928,0.02934014054803001,H1+H2+OOS+DD,False,False,12.1022695470223,0.38449969130226763
10,0.75,0.1489923910319475,0.6473587347692255,-0.38948779186581184,0.6357473881610107,0.673083653629034,0.3944613082960267,0.7725759309383164,0.2042257063360251,-0.3894877918658117,-0.25491308430709525,-0.18462282048391387,-0.10943483624396777,-0.18718438016542227,0.050083402697120624,H1+H2+OOS+DD,False,False,14.501270972393156,0.3825341747380854
10,1.0,0.1845241114030023,0.64908260120883,-0.4916083432546149,0.6381181415193101,0.6744196791215219,0.3968429329013617,0.7740318387198926,0.25677724868390794,-0.4916083432546149,-0.25254233094879586,-0.18328679499142597,-0.10797892846239165,-0.2893049315542253,0.08561512306817541,H1+H2+OOS+DD,False,False,19.331671496947116,0.3753478026458822
20,0.25,0.04883454711647062,0.6762198167252915,-0.12825264658515922,0.717668274279809,0.6677949937754973,0.7085922116116213,0.6709705009748486,0.053050912357799795,-0.128252646585159,-0.17299219818829703,-0.18991148033745053,-0.21104026620743566,0.07405076511523034,-0.05007444121835626,H1+H2+OOS+CAGR,False,True,4.342779597354522,0.3807683382505848
20,0.375,0.07205646509606534,0.6774578513955357,-0.18775257539745793,0.7188049692986516,0.6691248594987986,0.7092485802002456,0.6724799488390686,0.07810536982383631,-0.18775257539745827,-0.17185550316945442,-0.18858161461414924,-0.20953081834321563,0.014550836302931636,-0.02685252323876154,H1+H2+OOS+CAGR,False,False,6.490912683469145,0.38378416351161776
20,0.5,0.09436998091486282,0.6786694784754759,-0.24430036844209513,0.7199178756822664,0.6704312242561709,0.7098878725836671,0.6739611392408307,0.1020353522842552,-0.24430036844209502,-0.17074259678583958,-0.18727524985677702,-0.20804962794145354,-0.04199695674170556,-0.004539007419964061,H1+H2+OOS+DD+CAGR,False,False,8.62956785336996,0.3862866909152071
20,0.625,0.11569172989811816,0.6798556105228456,-0.2979940483250876,0.7210058095679792,0.6717165501101041,0.7105089411097563,0.6754159504613978,0.12473398755743048,-0.29799404832508747,-0.16965466290012676,-0.18598992400284375,-0.20659481672088642,-0.09569063662469801,0.01678274156329128,H1+H2+OOS+DD,False,False,10.76343133070854,0.38823503539207527
