panel,conv,q,h,side,daysh,share,trail,fwd,spy_fwd
SMALL439,ABS,,63,LOW,606070,0.44281221962118356,0.0168089094537937,0.07251333739990617,0.03552307917860057
SMALL439,ABS,,63,HIGH,762614,0.5571877803788164,0.05301718811962413,0.007018085002251335,0.03552307917860057
SMALL439,REL,0.1,63,LOW,135039,0.09866338760444339,-0.0006278395388400837,0.1428791494230686,0.03552307917860057
SMALL439,REL,0.1,63,HIGH,1233645,0.9013366123955566,0.041120082137587055,0.02427061345548415,0.03552307917860057
SMALL439,REL,0.2,63,LOW,272076,0.19878657162646746,0.007355619055819774,0.10312900676612831,0.03552307917860057
SMALL439,REL,0.2,63,HIGH,1096608,0.8012134283735325,0.044372746556942975,0.019311972480069047,0.03552307917860057
SMALL439,REL,0.3,63,LOW,408867,0.29873002095443507,0.014922305921291163,0.08392490539574468,0.03552307917860057
SMALL439,REL,0.3,63,HIGH,959817,0.701269979045565,0.04639087599869079,0.015547820766400634,0.03552307917860057
SMALL439,REL,0.4,63,LOW,545757,0.39874580253732783,0.018432795127742936,0.07159737651607237,0.03552307917860057
SMALL439,REL,0.4,63,HIGH,822927,0.6012541974626722,0.04927334705803952,0.012349683851355073,0.03552307917860057
SMALL439,REL,0.5,63,LOW,683308,0.49924452978189265,0.022057258153993634,0.06274344362930762,0.03552307917860057
SMALL439,REL,0.5,63,HIGH,685376,0.5007554702181073,0.05182720182734678,0.009285309660006194,0.03552307917860057
SMALL439,ABS,,126,LOW,606070,0.44281221962118356,0.035960180227695746,0.1490050059195261,0.07108575011518424
SMALL439,ABS,,126,HIGH,762614,0.5571877803788164,0.10876499877867017,0.011693982447596805,0.07108575011518424
SMALL439,REL,0.1,126,LOW,135039,0.09866338760444339,-0.0020501342556151643,0.3120716087369337,0.07108575011518424
SMALL439,REL,0.1,126,HIGH,1233645,0.9013366123955566,0.08521350246555001,0.04601049800182505,0.07108575011518424
SMALL439,REL,0.2,126,LOW,272076,0.19878657162646746,0.019262768109441657,0.21991569454928342,0.07108575011518424
SMALL439,REL,0.2,126,HIGH,1096608,0.8012134283735325,0.090877323808212,0.03563047243904906,0.07108575011518424
