ladder_set,bar,n_pairs,H_ANY,H_ANY_rate,n_panels,H_WIDEST,H_NARROWEST
ALL4,D_TIGHT,18,13,0.7222222222222222,3,1,3
ALL4,D_LOOSE,18,13,0.7222222222222222,3,1,3
NO_GROSS,D_TIGHT,9,4,0.4444444444444444,3,1,0
NO_GROSS,D_LOOSE,9,4,0.4444444444444444,3,1,0
