arm,level,rho_k,rho_k_IS,rows,lo_k_OOS,hi_k_OOS,d_OOS_hi_lo,leg,rho_q
A fixed-n,5.0,0.4015354192161094,-0.29498764350306284,48,0.33554220600181794,0.44355697761409685,0.1080147716122789,width,
A fixed-n,10.0,0.5987808883047246,0.2685708396072662,48,0.2841791553673959,0.6009555994848638,0.31677644411746786,width,
A fixed-n,15.0,0.6524950562261779,0.05371416792145324,48,0.2471777187773346,0.5481336772226201,0.30095595844528544,width,
A fixed-n,20.0,0.6727479392129554,-0.06340032934991202,48,0.19873063201404095,0.5234420850537974,0.32471145303975646,width,
A fixed-n,30.0,0.6841952209011338,-0.2201400324649723,48,0.19636768369011098,0.5009405406780107,0.30457285698789976,width,
B fixed-r,0.05,0.3328517290870381,0.4147438211640078,48,0.39351758273067955,0.5234420850537974,0.12992450232311786,width,
B fixed-r,0.1,0.42442998259246656,-0.09245881363528836,48,0.3624842958181054,0.4400396070895377,0.07755531127143234,width,
B fixed-r,0.25,0.2342289945427305,0.39713261856681,48,0.2841791553673959,0.34667224555406484,0.06249309018666893,width,
B fixed-r,0.5,-0.03434184506453568,0.31700164674956005,48,0.19873063201404095,0.22657253981526107,0.027841907801220117,width,
EWall (r = breadth),,0.19196210830945581,0.34341845064535675,48,0.24733359168612695,0.2923520806216474,0.04501848893552046,width,
CAP fixed-r,0.05,,,18,,,,cap,-0.5979896662862036
CAP fixed-r,0.1,,,18,,,,cap,-0.6458288395890999
CAP fixed-r,0.25,,,18,,,,cap,-0.9143805624485404
CAP fixed-r,0.5,,,18,,,,cap,-0.9252531018355623
CAP fixed-n,5.0,,,18,,,,cap,-0.5979896662862036
CAP fixed-n,10.0,,,18,,,,cap,-0.6458288395890999
CAP fixed-n,15.0,,,18,,,,cap,-0.783910089804278
CAP fixed-n,20.0,,,18,,,,cap,-0.8632796273295377
CAP fixed-n,30.0,,,18,,,,cap,-0.912206054571136
