parent,arm,gross,cadence,keep4a,fail4b,keep4b,book,CAGR,Sharpe,MaxDD
U56,EWall,0.5,W,False,CAGR,False,PRICE,,,
U56,MA-RS,0.5,W,False,CAGR,False,PRICE,,,
U56,EWall,0.5,M,False,CAGR,False,PRICE,,,
U56,MA-RS,0.5,M,False,CAGR,False,PRICE,,,
U56,EWall,0.75,W,False,DD,False,PRICE,,,
U56,MA-RS,0.75,W,False,-,True,PRICE,,,
U56,EWall,0.75,M,False,DD,False,PRICE,,,
U56,MA-RS,0.75,M,False,-,True,PRICE,,,
U56,EWall,1.0,W,False,DD,False,PRICE,,,
U56,MA-RS,1.0,W,False,DD,False,PRICE,,,
U56,EWall,1.0,M,False,DD,False,PRICE,,,
U56,MA-RS,1.0,M,False,DD,False,PRICE,,,
B136,EWall,0.5,W,False,CAGR,False,PRICE,,,
B136,MA-RS,0.5,W,False,CAGR,False,PRICE,,,
B136,EWall,0.5,M,False,CAGR,False,PRICE,,,
B136,MA-RS,0.5,M,False,CAGR,False,PRICE,,,
B136,EWall,0.75,W,False,DD,False,PRICE,,,
B136,MA-RS,0.75,W,False,-,True,PRICE,,,
B136,EWall,0.75,M,False,DD,False,PRICE,,,
B136,MA-RS,0.75,M,False,DD,False,PRICE,,,
B136,EWall,1.0,W,False,DD,False,PRICE,,,
B136,MA-RS,1.0,W,False,DD,False,PRICE,,,
B136,EWall,1.0,M,False,DD,False,PRICE,,,
B136,MA-RS,1.0,M,False,DD,False,PRICE,,,
SMALL663,EWall,0.5,W,False,"H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,MA-RS,0.5,W,False,"H1,H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,EWall,0.5,M,False,"H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,MA-RS,0.5,M,False,"H1,H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,EWall,0.75,W,False,"H2,OOS,DD",False,PRICE,,,
SMALL663,MA-RS,0.75,W,False,"H1,H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,EWall,0.75,M,False,"H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,MA-RS,0.75,M,False,"H1,H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,EWall,1.0,W,False,"H2,OOS,DD",False,PRICE,,,
SMALL663,MA-RS,1.0,W,False,"H1,H2,OOS,DD,CAGR",False,PRICE,,,
SMALL663,EWall,1.0,M,False,"H2,OOS,DD",False,PRICE,,,
SMALL663,MA-RS,1.0,M,False,"H1,H2,OOS,DD",False,PRICE,,,
1,,0.02,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
1,,0.05,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
1,,0.1,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
1,,0.2,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
1,,0.25,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
2,,0.02,,False,CAGR,False,DECISION,0.08628162162824915,1.201840627126638,-0.12054943679771146
2,,0.05,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
2,,0.1,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
2,,0.2,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
2,,0.25,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
3,,0.02,,False,CAGR,False,DECISION,0.08628162162824915,1.201840627126638,-0.12054943679771146
3,,0.05,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
3,,0.1,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
3,,0.2,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
3,,0.25,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
FWD,,0.02,,False,CAGR,False,DECISION,0.08628162162824915,1.201840627126638,-0.12054943679771146
FWD,,0.05,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
FWD,,0.1,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
FWD,,0.2,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
FWD,,0.25,,False,-,True,DECISION,0.12113190283487385,1.135174391191876,-0.18404824280768384
