panel,N,gross,row_support,file_support,rows,files,gap_pp
B136,2,0.75,0.0,0.0,2,1,0.0
B136,3,0.74,0.0,0.0,16,1,0.0
B136,3,0.75,0.0,0.0,2,1,0.0
B136,5,0.2,0.0,0.0,5,3,0.0
B136,5,0.25,0.0,0.0,1,1,0.0
B136,5,0.3,0.0,0.0,3,2,0.0
B136,5,0.35,0.0,0.0,3,2,0.0
B136,5,0.4,0.0,0.0,3,2,0.0
B136,5,0.45,0.0,0.0,32,3,0.0
B136,5,0.5,0.0,0.0,24,9,0.0
B136,5,0.55,0.08571428571428572,0.016666666666666666,35,6,6.904761904761905
B136,5,0.6,0.10084033613445378,0.015584415584415584,119,7,8.52559205500382
B136,5,0.65,0.17647058823529413,0.04,34,5,13.647058823529413
B136,5,0.7,0.0,0.0,5,4,0.0
B136,5,0.73,0.0,0.0,2,1,0.0
B136,5,0.74,0.0,0.0,111,8,0.0
B136,5,0.75,0.05166051660516605,0.009828009828009828,271,24,4.183250677715622
B136,5,0.8,0.0,0.0,5,4,0.0
B136,5,0.85,0.02857142857142857,0.005555555555555556,35,6,2.3015873015873014
B136,5,0.9,0.0,0.0,3,2,0.0
B136,5,0.95,0.0,0.0,1,1,0.0
B136,5,1.0,0.004016064257028112,0.00117096018735363,249,14,0.2845104069674482
B136,8,0.75,0.0,0.0,18,2,0.0
B136,9,0.74,0.0,0.0,4,2,0.0
B136,9,0.75,0.0,0.0,44,2,0.0
B136,10,0.2,0.0,0.0,9,3,0.0
B136,10,0.25,0.0,0.0,1,1,0.0
B136,10,0.3,0.0,0.0,3,2,0.0
B136,10,0.35,0.0,0.0,7,2,0.0
B136,10,0.4,0.0,0.0,3,2,0.0
B136,10,0.45,0.14583333333333334,0.6533333333333333,48,5,50.74999999999999
B136,10,0.5,0.16666666666666666,0.19696969696969696,36,11,3.0303030303030303
B136,10,0.55,0.21052631578947367,0.6726190476190476,57,7,46.20927318295739
B136,10,0.6,0.10084033613445378,0.4402597402597403,119,7,33.94194041252865
B136,10,0.65,0.14925373134328357,0.4990740740740741,67,9,34.98203427307905
B136,10,0.7,0.6,0.75,5,4,15.000000000000002
B136,10,0.75,0.06162464985994398,0.16616161616161615,357,27,10.453696630167217
B136,10,0.8,0.0,0.0,5,4,0.0
B136,10,0.85,0.0,0.0,48,6,0.0
B136,10,0.9,0.0,0.0,9,3,0.0
B136,10,0.95,0.0,0.0,1,1,0.0
B136,10,1.0,0.0958904109589041,0.011229946524064172,219,17,8.466046443483993
B136,10,1.05,0.0,0.0,6,1,0.0
B136,10,1.2,0.0,0.0,6,1,0.0
B136,10,1.35,0.0,0.0,6,1,0.0
B136,12,0.5,0.0,0.0,5,2,0.0
B136,12,0.75,0.0,0.0,9,3,0.0
B136,12,1.0,0.0,0.0,5,2,0.0
B136,14,0.75,0.0,0.0,2,1,0.0
B136,15,0.2,0.0,0.0,1,1,0.0
B136,15,0.25,0.0,0.0,1,1,0.0
B136,15,0.3,0.0,0.0,1,1,0.0
B136,15,0.35,0.0,0.0,1,1,0.0
B136,15,0.4,0.0,0.0,1,1,0.0
B136,15,0.45,0.0425531914893617,0.03333333333333333,47,4,0.9219858156028369
B136,15,0.5,1.0,1.0,1,1,0.0
B136,15,0.55,0.38596491228070173,0.7678571428571429,57,7,38.189223057644114
B136,15,0.6,1.0,1.0,3,3,0.0
B136,15,0.65,0.4032258064516129,0.6947916666666667,62,8,29.156586021505383
B136,15,0.7,1.0,1.0,3,3,0.0
B136,15,0.75,0.0784313725490196,0.41363636363636364,153,11,33.520499108734406
B136,15,0.8,0.0,0.0,3,3,0.0
B136,15,0.85,0.022222222222222223,0.005555555555555556,45,6,1.6666666666666667
B136,15,0.9,0.0,0.0,1,1,0.0
B136,15,0.95,0.0,0.0,1,1,0.0
B136,15,1.0,0.0,0.0,2,2,0.0
B136,18,0.74,0.09375,0.057692307692307696,32,2,3.6057692307692304
B136,18,0.75,0.1875,0.11538461538461539,16,2,7.211538461538461
B136,20,0.2,0.0,0.0,17,5,0.0
B136,20,0.25,0.0,0.0,7,2,0.0
B136,20,0.3,0.0,0.0,9,3,0.0
B136,20,0.35,0.0,0.0,15,4,0.0
B136,20,0.39,0.0,0.0,2,1,0.0
B136,20,0.4,0.0,0.0,7,3,0.0
B136,20,0.44,0.0,0.0,2,1,0.0
B136,20,0.45,0.0,0.0,51,5,0.0
B136,20,0.49,0.0,0.0,6,1,0.0
B136,20,0.5,0.08620689655172414,0.14285714285714285,58,14,5.66502463054187
B136,20,0.54,0.16666666666666666,0.16666666666666666,6,1,0.0
B136,20,0.55,0.42105263157894735,0.8035714285714286,57,7,38.25187969924813
B136,20,0.59,0.16666666666666666,0.16666666666666666,6,1,0.0
B136,20,0.6,0.12605042016806722,0.4441558441558442,119,7,31.8105423987777
B136,20,0.64,0.16666666666666666,0.16666666666666666,6,1,0.0
B136,20,0.65,0.26262626262626265,0.6186904761904761,99,10,35.60642135642135
B136,20,0.68,0.0,0.0,4,1,0.0
B136,20,0.69,0.16666666666666666,0.16666666666666666,6,1,0.0
B136,20,0.7,0.6,0.75,5,4,15.000000000000002
B136,20,0.72,0.0,0.0,2,1,0.0
B136,20,0.73,0.0,0.0,2,1,0.0
B136,20,0.74,0.0,0.0,41,5,0.0
B136,20,0.75,0.0960591133004926,0.09908172635445363,406,33,0.30226130539610235
B136,20,0.79,0.0,0.0,6,1,0.0
B136,20,0.8,0.0,0.0,5,4,0.0
B136,20,0.84,0.0,0.0,6,1,0.0
B136,20,0.85,0.04081632653061224,0.011111111111111112,49,6,2.970521541950113
B136,20,0.89,0.0,0.0,6,1,0.0
B136,20,0.9,0.0,0.0,9,3,0.0
B136,20,0.94,0.0,0.0,6,1,0.0
B136,20,0.95,0.0,0.0,1,1,0.0
B136,20,0.99,0.0,0.0,6,1,0.0
B136,20,1.0,0.09174311926605505,0.011857707509881422,327,23,7.988541175617363
B136,20,1.04,0.0,0.0,6,1,0.0
B136,20,1.05,0.0,0.0,6,1,0.0
B136,20,1.08,0.0,0.0,2,1,0.0
B136,20,1.09,0.0,0.0,4,1,0.0
B136,20,1.13,0.0,0.0,2,1,0.0
B136,20,1.14,0.0,0.0,4,1,0.0
B136,20,1.18,0.0,0.0,2,1,0.0
B136,20,1.19,0.0,0.0,4,1,0.0
B136,20,1.2,0.0,0.0,6,1,0.0
B136,20,1.23,0.0,0.0,2,1,0.0
B136,20,1.24,0.0,0.0,4,1,0.0
B136,20,1.28,0.0,0.0,2,1,0.0
B136,20,1.29,0.0,0.0,4,1,0.0
B136,20,1.33,0.0,0.0,2,1,0.0
B136,20,1.34,0.0,0.0,4,1,0.0
B136,20,1.35,0.0,0.0,6,1,0.0
B136,20,1.38,0.0,0.0,6,1,0.0
B136,25,0.2,0.0,0.0,1,1,0.0
B136,25,0.25,0.0,0.0,1,1,0.0
B136,25,0.3,0.0,0.0,1,1,0.0
B136,25,0.35,0.0,0.0,1,1,0.0
B136,25,0.4,0.0,0.0,1,1,0.0
B136,25,0.45,0.0,0.0,47,4,0.0
B136,25,0.5,1.0,1.0,1,1,0.0
B136,25,0.55,0.3877551020408163,0.8333333333333334,49,6,44.55782312925171
B136,25,0.6,1.0,1.0,5,5,0.0
B136,25,0.65,0.41509433962264153,0.7214285714285714,53,7,30.633423180592988
