panel,dial,challenger,IS_margin,floor,degenerate,ratio
U56,GROSS,g=1.00,0.0004718313258118556,0.0007657397683166055,False,0.616177120915536
U56,CADENCE,cad=M,0.0011930056016726809,0.058224947994247475,False,0.020489594972082203
U56,BAND,band=0.03,0.0,0.0,True,
U56,N,n=20,-0.11136082006685677,0.10578573448873407,False,-1.0527016766964588
B136,GROSS,g=1.00,0.001036330345805192,0.000722549554492161,False,1.4342688876662164
B136,CADENCE,cad=W,0.0,0.0,True,
B136,BAND,band=0.03,0.0,0.0,True,
B136,N,n=30,-0.030135076849944875,0.10845729016677211,False,-0.2778520171729066
SMALL439,GROSS,g=1.00,0.001228426268349958,0.0009529369552497938,False,1.2890950042208722
SMALL439,CADENCE,cad=M,0.15779446507733308,0.04990102837408694,False,3.1621485612363456
SMALL439,BAND,band=0.06,0.04763019602082297,0.031009397028182797,False,1.5359923308903558
SMALL439,N,n=20,-0.159990740447207,0.21473134083430417,False,-0.745074006549713
