panel,cad,max_abs_dret,mask_diff_bars
U56,D,0.0,0
U56,W,0.0,0
U56,M,0.0,0
U56,Q,0.0,0
B136,D,0.0,0
B136,W,0.0,0
B136,M,0.0,0
B136,Q,0.0,0
SMALL439,D,0.0,0
SMALL439,W,0.0,0
SMALL439,M,0.0,0
SMALL439,Q,0.0,0
