panel,gross,kind,devices,tier,cost_bps,CAGR,Sharpe,MaxDD,Calmar,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,legs,pass4a,pass4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR,dCAGR,dSharpe,cut,turnover_yr,mean_risk_gross,dgross_rel,pp_per_1pct,clears_bar
U56,0.75,NONE,NONE,-,0.0,0.12014999456189335,1.3078729412435246,-0.14765004422980466,0.8137484495086921,1.3431232040383605,1.284150948562567,0.10626275308642685,1.2287390131430878,-0.0894146331772585,0.13168913356431755,1.3693466954314062,-0.14765004422980466,11111,False,True,True,True,True,True,True,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,,False
U56,0.75,NONE,NONE,-,10.0,0.1162295339930286,1.2686753146710161,-0.14809080759214654,0.7848531308785462,1.302764164743885,1.2457435666979828,0.10237759674066704,1.187187051834311,-0.09257931378273543,0.12773946456006335,1.3318413815124672,-0.14809080759214643,11111,False,True,True,True,True,True,True,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,,False
U56,0.75,NONE,NONE,-,25.0,0.11037345513700925,1.209765685566478,-0.14875179387181792,0.7419974728648989,1.2421037770489964,1.1880255426552884,0.09657432667716592,1.124749529084998,-0.09819430093519255,0.12183969460699817,1.275468963789105,-0.14875179387181792,11111,False,True,True,True,True,True,True,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,,False
U56,0.75,NONE,NONE,-,50.0,0.10067860481310942,1.111339888951081,-0.14985301432639242,0.6718490466519611,1.1407447040222283,1.0915969990562207,0.08696709885997245,1.0204653620097097,-0.11170058634953228,0.11207234887057682,1.181260845927782,-0.14985301432639275,11110,False,False,True,True,True,True,False,0.0,0.0,0.0,3.506382942083227,0.6560925471605975,0.0,,False
U56,0.75,SINGLE,HOLD,MILD,0.0,0.12017637962443573,1.2976975670207032,-0.14765004422980477,0.8139271495062432,1.3459134774108248,1.263193322778406,0.10736159626389363,1.232313959649233,-0.09123717560765876,0.1308150033172628,1.3488684679428427,-0.14765004422980466,11111,False,True,True,True,True,True,True,2.6385062542377824e-05,-0.010175374222821443,-0.007709267125159069,3.5334145848268474,0.6595774399357868,0.00531158719950553,,False
U56,0.75,SINGLE,HOLD,MILD,10.0,0.11622557404001843,1.2585290849963986,-0.14809080759214654,0.7848263908460313,1.3057515698769813,1.22465695282794,0.10347159250309823,1.1910256736321503,-0.09443259599065135,0.12681358472835225,1.3112075374872108,-0.14809080759214666,11111,False,True,True,True,True,True,True,-3.959953010168604e-06,-0.010146229674617535,-0.007709267125159069,3.5334145848268474,0.6595774399357868,0.00531158719950553,,False
U56,0.75,SINGLE,HOLD,MILD,25.0,0.11032440587219772,1.1996715865466985,-0.14875179387181825,0.7416677338847153,1.2453952243308952,1.1667538755152198,0.09766112234636148,1.1289916882423765,-0.09988965652889581,0.12083691860288659,1.254610224531025,-0.14875179387181792,11111,False,True,True,True,True,True,True,-4.904926481152927e-05,-0.010094099019779534,-0.007709267125159069,3.5334145848268474,0.6595774399357868,0.00531158719950553,,False
U56,0.75,SINGLE,HOLD,MILD,50.0,0.10055553853302057,1.1013522631463748,-0.1498530143263923,0.671027800041461,1.144561807677789,1.0700369236514367,0.0880420817189882,1.0253977154997858,-0.1125620145186399,0.11094333767335862,1.1600477948858268,-0.1498530143263922,11110,False,False,True,True,True,True,False,-0.00012306628008884601,-0.009987625804706246,-0.007709267125159069,3.5334145848268474,0.6595774399357868,0.00531158719950553,,False
U56,0.75,SINGLE,DRIFT,MILD,0.0,0.12028314425285114,1.310019800911742,-0.14651792572432476,0.8209449025313484,1.342621536248434,1.2885312263432134,0.10601453116335202,1.2268230101909219,-0.08986234314002828,0.13214287702430583,1.3745400765547091,-0.14651792572432465,11111,False,True,True,True,True,True,True,0.00013314969095779006,0.0021468596682174823,0.06032060797564831,3.2948757912213242,0.6577848202167136,0.002579320651392658,0.0022073665273987814,False
U56,0.75,SINGLE,DRIFT,MILD,10.0,0.11659809911666441,1.273126376803556,-0.14693833611281804,0.7935172140995347,1.30477370661486,1.2522661822982495,0.10236271320317081,1.1877184766606355,-0.09314273757035663,0.12843034819878518,1.3392360350750105,-0.1469383361128178,11111,False,True,True,True,True,True,True,0.0003685651236358112,0.004451062132539763,0.06032060797564831,3.2948757912213242,0.6577848202167136,0.002579320651392658,0.0061101029317311,False
