arm,beta,rows,p4a,p4b,rate4b
CROSS,0.15,336,0,22,0.06547619047619048
CROSS,0.2,384,0,25,0.06510416666666667
CROSS,0.25,384,0,20,0.052083333333333336
CROSS,,384,0,19,0.049479166666666664
CROSSB,,384,0,38,0.09895833333333333
MATCH,0.12,320,0,6,0.01875
MATCH,0.2,384,0,3,0.0078125
MATCH,,384,0,1,0.0026041666666666665
REPRO,,384,0,19,0.049479166666666664
