m_min,split,model,n_train,n_test,k_star_train,test_coverage,test_mean_width,z_median,z_p90,z_p90_over_median,rho_sdhat_err
8,corpus A -> corpus B,SHARE,175,385,25.0,0.8883116883116883,1.0741923301038716,0.8289324812155197,31.9789653705899,38.578492332327215,0.7005477523309053
8,corpus A -> corpus B,CONST,175,385,40.0,0.8961038961038961,0.0715443375382225,4.686682154692889,40.74351967243016,8.693467644617778,
8,corpus A -> corpus B,SHARE+CTRL,175,385,15.0,0.8831168831168831,0.6900460746515618,0.5297848512698919,27.625503477202816,52.14475916211006,0.7025413347553078
8,corpus A -> corpus B,CTRL-ONLY,175,385,15.0,0.8857142857142857,0.6174977710499877,0.5991575424624077,25.565438533487413,42.6689755559431,0.6906970239502493
8,corpus B -> corpus A,SHARE,385,175,25.0,0.9428571428571428,0.96311800737072,0.5254298676953654,17.264869961744818,32.858562147355265,0.8270404808801949
8,corpus B -> corpus A,CONST,385,175,25.0,0.9314285714285714,0.08038522512768806,1.887969337910031,16.48495650288944,8.731580631038305,
8,corpus B -> corpus A,SHARE+CTRL,385,175,15.0,0.9142857142857143,0.7899157943456071,0.3788612972797632,8.56994463625306,22.620269470081926,0.7935852072088762
8,corpus B -> corpus A,CTRL-ONLY,385,175,15.0,0.9142857142857143,0.7908756577779766,0.3773339841937708,8.778174265981718,23.263672591636745,0.7799909349603966
8,10 bps -> 5/15/20/25,SHARE,112,448,25.0,0.890625,0.9215053113301358,0.8044657738248122,29.317143443324504,36.44299657888102,0.7333531922161095
8,10 bps -> 5/15/20/25,CONST,112,448,40.0,0.9464285714285714,0.10700086949128675,2.9547540512743997,24.36838388576096,8.2471784327534,
8,10 bps -> 5/15/20/25,SHARE+CTRL,112,448,10.0,0.8638392857142857,0.39771111648151575,0.5840317430438036,17.786749778215036,30.455107945872378,0.7050811345232899
8,10 bps -> 5/15/20/25,CTRL-ONLY,112,448,15.0,0.890625,0.5919440558689777,0.5947056037187634,17.177940157795124,28.8847793771901,0.6954535795900539
8,published views -> BAND+/SLEEVE+,SHARE,400,160,40.0,1.0,4.135352316224531,0.26188827061706776,2.2358428868198854,8.53739223047957,0.2899704288119067
8,published views -> BAND+/SLEEVE+,CONST,400,160,60.0,0.94375,0.07755601612303888,10.326862038335186,40.85152023131208,3.955850294083897,
8,published views -> BAND+/SLEEVE+,SHARE+CTRL,400,160,40.0,0.9875,1.8516605395860666,0.5073242153973937,3.9463335657627607,7.778721074198176,0.43971057698889054
8,published views -> BAND+/SLEEVE+,CTRL-ONLY,400,160,40.0,0.9875,1.7355310580663073,0.5486767138822558,4.494411089762694,8.191364743660653,0.4315273376952671
12,corpus A -> corpus B,SHARE,175,385,25.0,0.8883116883116883,1.0741923301038716,0.8289324812155197,31.9789653705899,38.578492332327215,0.7005477523309053
12,corpus A -> corpus B,CONST,175,385,40.0,0.8961038961038961,0.0715443375382225,4.686682154692889,40.74351967243016,8.693467644617778,
12,corpus A -> corpus B,SHARE+CTRL,175,385,15.0,0.8831168831168831,0.6900460746515618,0.5297848512698919,27.625503477202816,52.14475916211006,0.7025413347553078
12,corpus A -> corpus B,CTRL-ONLY,175,385,15.0,0.8857142857142857,0.6174977710499877,0.5991575424624077,25.565438533487413,42.6689755559431,0.6906970239502493
12,corpus B -> corpus A,SHARE,385,175,25.0,0.9428571428571428,0.96311800737072,0.5254298676953654,17.264869961744818,32.858562147355265,0.8270404808801949
12,corpus B -> corpus A,CONST,385,175,25.0,0.9314285714285714,0.08038522512768806,1.887969337910031,16.48495650288944,8.731580631038305,
12,corpus B -> corpus A,SHARE+CTRL,385,175,15.0,0.9142857142857143,0.7899157943456071,0.3788612972797632,8.56994463625306,22.620269470081926,0.7935852072088762
12,corpus B -> corpus A,CTRL-ONLY,385,175,15.0,0.9142857142857143,0.7908756577779766,0.3773339841937708,8.778174265981718,23.263672591636745,0.7799909349603966
12,10 bps -> 5/15/20/25,SHARE,112,448,25.0,0.890625,0.9215053113301358,0.8044657738248122,29.317143443324504,36.44299657888102,0.7333531922161095
12,10 bps -> 5/15/20/25,CONST,112,448,40.0,0.9464285714285714,0.10700086949128675,2.9547540512743997,24.36838388576096,8.2471784327534,
12,10 bps -> 5/15/20/25,SHARE+CTRL,112,448,10.0,0.8638392857142857,0.39771111648151575,0.5840317430438036,17.786749778215036,30.455107945872378,0.7050811345232899
12,10 bps -> 5/15/20/25,CTRL-ONLY,112,448,15.0,0.890625,0.5919440558689777,0.5947056037187634,17.177940157795124,28.8847793771901,0.6954535795900539
12,published views -> BAND+/SLEEVE+,SHARE,400,160,40.0,1.0,4.135352316224531,0.26188827061706776,2.2358428868198854,8.53739223047957,0.2899704288119067
12,published views -> BAND+/SLEEVE+,CONST,400,160,60.0,0.94375,0.07755601612303888,10.326862038335186,40.85152023131208,3.955850294083897,
12,published views -> BAND+/SLEEVE+,SHARE+CTRL,400,160,40.0,0.9875,1.8516605395860666,0.5073242153973937,3.9463335657627607,7.778721074198176,0.43971057698889054
12,published views -> BAND+/SLEEVE+,CTRL-ONLY,400,160,40.0,0.9875,1.7355310580663073,0.5486767138822558,4.494411089762694,8.191364743660653,0.4315273376952671
20,corpus A -> corpus B,SHARE,70,140,25.0,0.8785714285714286,0.565551981690459,0.8613590732192005,33.593304687151004,39.00034925225906,0.5477566379417824
20,corpus A -> corpus B,CONST,70,140,25.0,0.9,0.057252037393351836,3.5109045608120963,23.313862510293415,6.640414772454184,
20,corpus A -> corpus B,SHARE+CTRL,70,140,15.0,0.8571428571428571,0.34068466150377746,0.8515116818990119,42.363235444235556,49.750621564883915,0.5178535387151076
20,corpus A -> corpus B,CTRL-ONLY,70,140,15.0,0.8642857142857143,0.2843597532649782,0.9215299886770354,37.4957220564021,40.68855329410562,0.4836353496445601
20,corpus B -> corpus A,SHARE,140,70,6.0,0.9,0.09722687453628344,0.560305822874066,4.742472349111561,8.46407828636376,0.8661805666747678
20,corpus B -> corpus A,CONST,140,70,10.0,0.9428571428571428,0.07029141947968585,1.0068719532438166,5.046326425201675,5.0118849859150805,
20,corpus B -> corpus A,SHARE+CTRL,140,70,6.0,0.9,0.0985004752190279,0.4843758636943555,5.132102928950607,10.595290380094164,0.8524248834900083
20,corpus B -> corpus A,CTRL-ONLY,140,70,10.0,0.9714285714285714,0.1448821085483721,0.4893174978989764,4.908281657454696,10.030872957803055,0.7329668919141746
20,10 bps -> 5/15/20/25,SHARE,42,168,10.0,0.9047619047619048,0.18996919353640124,0.6296306155587872,9.673517963330598,15.363798589662773,0.6795570464441899
20,10 bps -> 5/15/20/25,CONST,42,168,15.0,0.9642857142857143,0.07855702731342219,1.5007552928800325,8.668054753800446,5.775794891361648,
20,10 bps -> 5/15/20/25,SHARE+CTRL,42,168,10.0,0.8869047619047619,0.1972671462418637,0.5629850603943143,11.554519269967548,20.523669423616273,0.6169830781798125
20,10 bps -> 5/15/20/25,CTRL-ONLY,42,168,10.0,0.8928571428571429,0.1801978631470718,0.6337282908687988,13.498616763655889,21.30032216985326,0.5793323749889445
20,published views -> BAND+/SLEEVE+,SHARE,150,60,15.0,1.0,0.7402078904922772,0.25303216063597156,1.251717422162645,4.946870860275531,0.06140850554815091
20,published views -> BAND+/SLEEVE+,CONST,150,60,25.0,0.9833333333333333,0.0678666070973123,4.354961560741369,12.4051124206995,2.848501013769616,
20,published views -> BAND+/SLEEVE+,SHARE+CTRL,150,60,25.0,1.0,0.6805664925820117,0.472666337599815,1.7286881163799606,3.6573116781664314,0.2197029689426938
20,published views -> BAND+/SLEEVE+,CTRL-ONLY,150,60,25.0,1.0,0.4142376742322683,0.768720083033181,2.7797252940063073,3.616043544794866,0.3261440993311881
