LADDER_SET,L,cells,F_max,resolved_05,resolved_10,share_resolved_05,attainable_05,median_F_star,median_years_star,min_years_star,median_sd_ratio
ALL4,63,18,70,13,13,0.7222222222222222,13,13.5,3.375,0.25,1.3424908977652419
ALL4,126,18,35,11,12,0.6111111111111112,11,12.0,6.0,0.5,1.4267507978843028
ALL4,252,18,17,9,11,0.5,9,9.5,9.5,1.0,1.3471785478163467
ALL4,504,18,8,11,12,0.6111111111111112,11,2.5,5.0,2.0,1.4322197009392343
NG,63,9,70,4,4,0.4444444444444444,4,110.0,27.5,6.5,1.1679578318204444
NG,126,9,35,2,3,0.2222222222222222,2,116.0,58.0,11.5,1.2885965078316883
NG,252,9,17,0,2,0.0,0,72.0,72.0,18.0,1.1108184021542398
NG,504,9,8,2,3,0.2222222222222222,2,18.0,36.0,8.0,1.0842475835061383
