k,lam,R2_sd_M_IS,R2_sd_M_OOF,corr_IS,corr_OOF
20,0.5,0.9981369864338725,-0.040012479742395524,0.999584352418712,0.3012376598618509
20,2.0,0.9804446996838337,0.028489610388415354,0.9958144143563364,0.31875310254593686
20,8.0,0.8798926882922388,0.11041222622747182,0.977017105838575,0.3437436182805134
20,32.0,0.6043889600855377,0.09912238620998215,0.9377425084975937,0.33153927324098914
20,128.0,0.26775266970103706,0.01728322931966353,0.9038747376409536,0.14231309929018457
20,512.0,0.08295835654738037,-0.03326385748109084,0.8893392469811291,-0.2926266878572429
40,0.5,0.9996141712371297,0.40856463562338563,0.9999262288212364,0.6463244493330667
40,2.0,0.9950466486935089,0.3971937819294905,0.999118041152022,0.643537944620426
40,8.0,0.9555981379204764,0.348388613853687,0.99342580119259,0.6258024434187741
40,32.0,0.7726644502190415,0.22148790497132564,0.9749678364094695,0.557335963581655
40,128.0,0.4138169257623644,0.06261497614874911,0.9504389241732497,0.33405259541998217
40,512.0,0.14275640748306961,-0.030328946090190767,0.936108324795966,-0.21668145139396253
80,0.5,0.9995887761941771,0.14990349578859719,0.999931478522607,0.4141643988475133
80,2.0,0.9945752204071712,0.15047711653079943,0.9991236467049432,0.4062813681702287
80,8.0,0.950252273597186,0.14263115583245656,0.9925628059537036,0.381367535883154
80,32.0,0.754790633469159,0.1032979520721573,0.9673362691231867,0.3254697297800569
80,128.0,0.40081253008843176,0.03599518068968466,0.9298746662433858,0.20784697659634346
80,512.0,0.13911948677081243,-0.011946160014536744,0.9074481233608389,-0.0816412890164991
