claim_set,context,n,n_states_cadence,share_silent,share_silent_DD,DD_share_of_silent
STRICT,SENTENCE,47,9,0.8085106382978724,0.7948717948717949,0.8157894736842105
STRICT,ROW,47,18,0.6170212765957447,0.5897435897435898,0.7931034482758621
WIDE,SENTENCE,323,21,0.934984520123839,0.9205020920502092,0.7284768211920529
WIDE,ROW,323,105,0.6749226006191951,0.6610878661087867,0.7247706422018348
FILES,SENTENCE,430,26,0.9395348837209302,0.9260450160771704,0.7128712871287128
FILES,ROW,430,111,0.741860465116279,0.7266881028938907,0.7084639498432602
