control,bar,claims,survive,rate
CASH-f,1.0,615,72,0.11707317073170732
CASH-f,0.75,615,1,0.0016260162601626016
CASH-f,0.5,615,0,0.0
CASH-GM,1.0,615,613,0.9967479674796748
CASH-GM,0.75,615,610,0.991869918699187
CASH-GM,0.5,615,600,0.975609756097561
