statistic,L,n_pairs,clears_iid,clears_at_L,flips_to_not_significant,flips_to_significant
MEAN_DIFF,1,81,28,28,0,0
MEAN_DIFF,5,81,28,28,0,0
MEAN_DIFF,10,81,28,30,0,2
MEAN_DIFF,21,81,28,30,0,2
MEAN_DIFF,42,81,28,30,0,2
MEAN_DIFF,63,81,28,28,0,0
MEAN_DIFF,126,81,28,29,0,1
MEAN_DIFF,252,81,28,30,0,2
SHARPE_DIFF,1,81,1,1,0,0
SHARPE_DIFF,5,81,1,1,0,0
SHARPE_DIFF,10,81,1,1,0,0
SHARPE_DIFF,21,81,1,0,1,0
SHARPE_DIFF,42,81,1,3,0,2
SHARPE_DIFF,63,81,1,3,0,2
SHARPE_DIFF,126,81,1,2,0,1
SHARPE_DIFF,252,81,1,7,0,6
