panel,cadence,dial,n_moves,slower,faster,monotone,n_moves_t,slower_t,faster_t,monotone_t,d_10_25_t,n_degenerate,arg0,arg10,arg25,arg50,d_10_25,med_margin,path
B136,M,BAND,0,0,0,True,0,0,0,True,0,0,0.12,0.12,0.12,0.12,0,0.00791389196385972,0bps:0.12
B136,M,HYST,1,1,0,True,1,1,0,True,3,0,0,0,20,20,3,0.012157196075709642,0bps:0|17bps:20
B136,M,MINHOLD,1,1,0,True,1,1,0,True,0,2,21,21,21,126,0,0.0122375541845543,0bps:21|35bps:126
B136,M,TOPN,0,0,0,True,0,0,0,True,0,0,5,5,5,5,0,0.04974494421985853,0bps:5
B136,W,BAND,0,0,0,True,0,0,0,True,0,0,0.12,0.12,0.12,0.12,0,0.05810196545872559,0bps:0.12
B136,W,HYST,2,2,0,True,2,2,0,True,1,0,10,40,80,80,1,0.0075778874214728065,0bps:10|7bps:40|11bps:80
B136,W,MINHOLD,1,1,0,True,1,1,0,True,0,0,42,42,42,126,0,0.03400663924354508,0bps:42|46bps:126
B136,W,TOPN,0,0,0,True,0,0,0,True,0,0,ALL,ALL,ALL,ALL,0,0.038485339347907876,0bps:ALL
SMALL,M,BAND,0,0,0,True,0,0,0,True,0,0,0.16,0.16,0.16,0.16,0,0.01623047393890853,0bps:0.16
SMALL,M,HYST,3,3,0,True,3,3,0,True,2,0,0,0,10,80,2,0.0036789646452295433,0bps:0|15bps:5|17bps:10|34bps:80
SMALL,M,MINHOLD,1,1,0,True,1,1,0,True,0,2,21,126,126,126,0,0.036899918839851886,0bps:21|10bps:126
SMALL,M,TOPN,1,1,0,True,1,1,0,True,0,0,10,10,10,ALL,0,0.029197633544954082,0bps:10|50bps:ALL
SMALL,W,BAND,0,0,0,True,0,0,0,True,0,0,0.16,0.16,0.16,0.16,0,0.042080345905727734,0bps:0.16
SMALL,W,HYST,1,1,0,True,1,1,0,True,4,0,5,5,80,80,4,0.033687928061340355,0bps:5|16bps:80
SMALL,W,MINHOLD,0,0,0,True,0,0,0,True,0,0,126,126,126,126,0,0.07200551877049555,0bps:126
SMALL,W,TOPN,1,1,0,True,1,1,0,True,0,0,10,10,10,ALL,0,0.011280980209780814,0bps:10|47bps:ALL
U56,M,BAND,0,0,0,True,0,0,0,True,0,0,0.12,0.12,0.12,0.12,0,0.019218025010566464,0bps:0.12
U56,M,HYST,2,2,0,True,2,2,0,True,0,1,0,0,0,40,0,0.0088167989002359,0bps:0|37bps:5|39bps:40
U56,M,MINHOLD,1,1,0,True,1,1,0,True,3,2,21,21,126,126,3,0.0034915442248535378,0bps:21|24bps:126
U56,M,TOPN,1,1,0,True,1,1,0,True,3,0,20,20,40,40,2,0.012438507828319345,0bps:20|22bps:40
U56,W,BAND,0,0,0,True,0,0,0,True,0,0,0.12,0.12,0.12,0.12,0,0.053744010290497135,0bps:0.12
U56,W,HYST,1,1,0,True,1,1,0,True,0,1,0,40,40,40,0,0.0,0bps:0|2bps:40
U56,W,MINHOLD,1,1,0,True,1,1,0,True,0,0,5,42,42,42,0,0.017293996427822478,0bps:5|7bps:42
U56,W,TOPN,0,0,0,True,0,0,0,True,0,0,40,40,40,40,0,0.03553031941399798,0bps:40
