panel,target,T_trade,R_refresh,k_is,k_full,gross_is,gross_full,d_is_Sharpe,d_is_MaxDD,d_oos_Sharpe,d_oos_MaxDD
U56,0.08,W,D,0.6751053802452893,0.686653651952787,0.6753247587699996,0.6869174140922844,-0.38114254894591426,0.0040374981463380255,-0.07060339169968466,0.07650951178327181
U56,0.08,W,W,0.6756508886324388,0.6869788135859094,0.6758700559751151,0.6872424142559707,-0.24435334309286394,0.019612012289199954,0.014812548081754251,0.0776907044748909
U56,0.08,W,M,0.6791268652583851,0.6890253129749704,0.6793446736112676,0.6892878918577203,-0.0827281703626026,0.025818471956902456,0.01221658362648781,0.04377411420244448
U56,0.08,W,Q,0.6726938955452149,0.6928873886188751,0.6729142010370096,0.693148012706548,-0.1763462105812219,0.0015196804897983363,-0.29394946480464257,-0.08295032662274904
U56,0.08,M,D,0.6739196889821004,0.6853690845516656,0.6753247587699995,0.6869174140922844,-0.3687346419053986,0.005931714850781367,-0.0708073553397508,0.07530219767722357
U56,0.08,M,W,0.6744671249559935,0.68568306986003,0.6758708735160256,0.6872304997886236,-0.241845199347698,0.02083377430272282,0.0022461859587692423,0.07587352021365157
U56,0.08,M,M,0.6789545304245344,0.6887472794088798,0.6803473109049624,0.6902858598129461,-0.04776092131241749,0.028710210488365973,0.04260991300510586,0.042974206611394505
U56,0.08,M,Q,0.6724891819800569,0.6926559048845342,0.6738976870533622,0.6941830109563366,-0.14828519191416223,0.0028622995796603323,-0.2787683612145321,-0.08326300601854675
U56,0.1,W,D,0.786807914342734,0.7907662264965156,0.7869725789676728,0.7909659672114461,-0.22818325502850345,0.008596595836152243,0.024155962881688975,0.08223259970025476
U56,0.1,W,W,0.7866363202437032,0.7910397686266022,0.7868010862600857,0.7912393091074524,-0.1355157361516668,0.017469394467328314,0.04647547361103932,0.08285453670037135
U56,0.1,W,M,0.7899920120578463,0.7921084124389426,0.7901547862145775,0.7923071690407042,-0.022863927377298143,0.02382138522191546,0.040336500569548184,0.0384392198545237
U56,0.1,W,Q,0.780158134335748,0.7858703833871434,0.7803266891106448,0.7860736800859736,-0.1399226200449274,0.013867990481199688,-0.2145232211837168,-0.05737303438309205
U56,0.1,M,D,0.7859127262152819,0.7897900517889385,0.7869725789676727,0.7909659672114461,-0.21305001640211385,0.01051975990759213,0.028608254277552536,0.08163426606367907
U56,0.1,M,W,0.7857425497384711,0.7900539225774499,0.7868030394680141,0.7912287134784329,-0.12873026583194191,0.01879911981351179,0.041346797857390705,0.0815093075654173
U56,0.1,M,M,0.7899274063856312,0.7918594481311245,0.7909721335676724,0.793026520054296,0.008627404578111841,0.027023156303517037,0.06949352623833893,0.03862603546399179
U56,0.1,M,Q,0.7800955958764915,0.7857443767524352,0.7811770324374598,0.7869374193560636,-0.11389561313780272,0.015301621606070848,-0.19714372503234368,-0.0575453540023142
U56,0.12,W,D,0.8593312089687652,0.86075671992485,0.8594484196305786,0.860899904746026,-0.1411848251506257,0.002922760773664268,0.07485112115492498,0.07852113811911421
U56,0.12,W,W,0.8584189320244213,0.860671189585267,0.8585367960023813,0.8608144499318702,-0.06192137760806116,0.011998797035622122,0.05619685653249484,0.08195676460084589
U56,0.12,W,M,0.8607680946596812,0.8605031927673701,0.8608842735162159,0.8606466014757468,0.008518554536501854,0.01726927559689284,0.06703964827241138,0.04065140263475031
U56,0.12,W,Q,0.8536367109547982,0.8499802656132349,0.853757976281244,0.8501328473757184,-0.11705438623337261,0.003178221007217874,-0.16249640953649358,-0.04007290037850064
U56,0.12,M,D,0.8586915425176529,0.8600552969562036,0.8594484196305786,0.860899904746026,-0.12543007838671127,0.0051437283776629705,0.08353113082011987,0.07827783416542844
U56,0.12,M,W,0.8577805921678519,0.8599635201041265,0.8585416342377569,0.8608086019225434,-0.05224813761034319,0.013590364892915097,0.05720352500657877,0.0810338785861352
U56,0.12,M,M,0.8608698953818792,0.8603043608473702,0.8616167749565351,0.8611476816618806,0.036572012167155776,0.020558028602172373,0.09410710911871312,0.04136981837878184
U56,0.12,M,Q,0.853834256090314,0.8499935136906951,0.8546132332382506,0.8508894535394192,-0.09213833994009124,0.005704551691920745,-0.1435426833107898,-0.04006889322860685
U56,0.16,W,D,0.9352476986958673,0.9340432097515587,0.9353056574051454,0.9341159964845573,-0.031087624911062095,-0.004348419264592618,0.04803294402631453,0.06334922140609356
U56,0.16,W,W,0.9358638781435993,0.9347346391150408,0.9359213170183368,0.9348067085219215,0.01859316911731046,0.007856524535089782,0.030615145961526702,0.06654379499445606
U56,0.16,W,M,0.9375234378473221,0.9349829321228347,0.9375794735837799,0.9350547437105357,0.07132769789294424,0.01635775766354397,0.002407310163303311,0.02841765484542491
U56,0.16,W,Q,0.9393645027250315,0.9305453022066299,0.939418976601778,0.9306217027185367,-0.04249247403757872,0.0006876026813390501,-0.11128847792041063,-0.01871495404567758
U56,0.16,M,D,0.9349301002754684,0.9336857659439817,0.9353056574051453,0.9341159964845573,-0.013855966377300133,-0.001559210565837188,0.060435256135091375,0.06407467034929548
U56,0.16,M,W,0.9355494377550464,0.934376668755416,0.9359216352390983,0.9348026923128551,0.03218163075884517,0.010322047886221708,0.03930339694644269,0.06644984903221829
U56,0.16,M,M,0.9375277316298771,0.9348458603870851,0.9378891697427928,0.9352690236669111,0.09193201761704062,0.019424631707695705,0.02523322121279481,0.029589424508694173
U56,0.16,M,Q,0.9395745332610939,0.9306249784887273,0.9399247946318479,0.9310737759478988,-0.02209169952590795,0.0036253850391158027,-0.09144055886564928,-0.018448350807857783
U56,0.2,W,D,0.9656040775679604,0.9670512894875576,0.9656356970368962,0.9670887457500792,-0.026408586730446215,-0.016485022550818074,0.04552631300152643,0.06998958481447148
U56,0.2,W,W,0.9666905125769991,0.9677206478984302,0.9667211619716454,0.9677573648624956,0.0029483232385214553,-0.00014810051411340286,0.0235622906873989,0.06808678680614577
U56,0.2,W,M,0.9660287314636953,0.9667340373681075,0.9660599719809408,0.9667718437159375,0.06376844297801432,0.020770493672115142,-0.06701062587121132,0.005371034334483604
U56,0.2,W,Q,0.9689110599710753,0.9625186285379896,0.9689397207587556,0.9625610672852477,-0.015894913969195068,0.002640203821770659,-0.10520625205734224,-0.01035574478480783
U56,0.2,M,D,0.965430525559027,0.9668671428812581,0.9656356970368962,0.9670887457500792,-0.0103157486677381,-0.013383584887880828,0.059664079636118306,0.07133586384200463
U56,0.2,M,W,0.9665177178904094,0.9675351892480482,0.9667166309176447,0.9677524544164674,0.016942548258425782,0.002633666603154561,0.03500547162625822,0.06875661815925682
U56,0.2,M,M,0.9659876634886633,0.9666906876481343,0.966189629399475,0.9669134353272891,0.08099537471696427,0.02386140184525587,-0.047432587735800835,0.006214951247741074
U56,0.2,M,Q,0.9690072212259722,0.9625954024689243,0.9691917557591139,0.9628446146517476,0.0015244780932279767,0.005543684942730387,-0.08657461194788274,-0.009970994758530805
B136,0.08,W,D,0.6391525010567884,0.6747781155468751,0.6394206939039333,0.675034997215719,-0.38072391702383235,0.02773788025771884,-0.08588767377772522,0.11744421385414927
B136,0.08,W,W,0.6387424718866386,0.6748700082206138,0.6390108159948514,0.6751268481315436,-0.24452304340382014,0.03442630286221848,-0.009078250407713595,0.11981037714466547
B136,0.08,W,M,0.643479476237661,0.6783621541907807,0.6437460503010096,0.6786173944817109,-0.08716869210369138,0.03440694476704009,-0.04054333494328022,0.06556825377446629
