panel,frame,chooser,dest,F,fallback,oCAGR,oSharpe,oMaxDD,d_vs_null,keep4b_oos
U56,LIVE,C_SHARPE,IEF,1.0,False,0.09850860249951476,1.1998996688075587,-0.18058537160575283,-0.07698272865126676,False
U56,LIVE,C_CAGR,RESPREAD,1.0,False,0.17811754025372117,1.1949378847627496,-0.23143951983600441,-0.08194451269607583,False
U56,LIVE,C_ANCHOR,CASH,0.0,False,0.0945517936976279,1.2768823974588255,-0.12054956914840875,0.0,False
U56,INC,C_SHARPE,TLT,1.0,False,0.17178975108518424,1.1656046606764536,-0.20959400262512606,-0.020073043525242307,False
U56,INC,C_CAGR,TLT,1.0,False,0.17178975108518424,1.1656046606764536,-0.20959400262512606,-0.020073043525242307,False
U56,INC,C_ANCHOR,CASH,0.0,False,0.17323365236641464,1.185677704201696,-0.19127562163086187,0.0,True
B136,LIVE,C_SHARPE,IEF,1.0,False,0.08251939557133747,1.045792819760867,-0.19684550769446985,-0.05611968465887118,False
B136,LIVE,C_CAGR,RESPREAD,0.75,False,0.13810319624591383,1.0762318830152846,-0.2098261499254448,-0.025680621404453596,False
B136,LIVE,C_ANCHOR,CASH,0.0,False,0.07847283605551292,1.1019125044197382,-0.12241069123223425,0.0,False
B136,INC,C_SHARPE,TLT,1.0,False,0.1606270364916167,1.0098188122363518,-0.19720855407457327,-0.008134952268565199,True
B136,INC,C_CAGR,TLT,1.0,False,0.1606270364916167,1.0098188122363518,-0.19720855407457327,-0.008134952268565199,True
B136,INC,C_ANCHOR,CASH,0.0,False,0.16187458516000497,1.017953764504917,-0.2074018763117904,0.0,False
SMALL,LIVE,C_SHARPE,IEF,1.0,False,0.05143991167089612,0.6488167788251961,-0.24660956409861579,0.0014751851573916452,False
SMALL,LIVE,C_CAGR,TLT,1.0,False,0.03791015730705949,0.3636598926170907,-0.4104783780131964,-0.2836817010507137,False
SMALL,LIVE,C_ANCHOR,CASH,0.0,False,0.044142357735165616,0.6473415936678044,-0.12480015905893493,0.0,False
SMALL,INC,C_SHARPE,TLT,1.0,False,0.06609019218615009,0.43537102188301563,-0.34163324175582976,-0.004475908382535143,False
SMALL,INC,C_CAGR,CASH,0.0,True,0.06698806653983369,0.4398469302655508,-0.3651051671527562,0.0,False
SMALL,INC,C_ANCHOR,CASH,0.0,False,0.06698806653983369,0.4398469302655508,-0.3651051671527562,0.0,False
