k_bps,seed,cap,gross,cost_bps,joint4b,joint4a
0,0,0.015,0.75,0.0,False,False
0,0,0.015,0.75,10.0,False,False
0,0,0.015,0.75,25.0,False,False
0,0,0.015,0.75,50.0,False,False
0,0,0.015,1.0,0.0,False,False
0,0,0.015,1.0,10.0,False,False
0,0,0.015,1.0,25.0,False,False
0,0,0.015,1.0,50.0,False,False
0,0,0.020,0.75,0.0,True,False
0,0,0.020,0.75,10.0,True,False
0,0,0.020,0.75,25.0,True,False
0,0,0.020,0.75,50.0,False,False
0,0,0.020,1.0,0.0,False,False
0,0,0.020,1.0,10.0,False,False
0,0,0.020,1.0,25.0,False,False
0,0,0.020,1.0,50.0,False,False
0,0,0.030,0.75,0.0,True,False
0,0,0.030,0.75,10.0,True,False
0,0,0.030,0.75,25.0,True,False
0,0,0.030,0.75,50.0,False,False
0,0,0.030,1.0,0.0,False,False
0,0,0.030,1.0,10.0,False,False
0,0,0.030,1.0,25.0,False,False
0,0,0.030,1.0,50.0,False,False
0,0,INF,0.75,0.0,True,False
0,0,INF,0.75,10.0,True,False
0,0,INF,0.75,25.0,True,False
0,0,INF,0.75,50.0,False,False
0,0,INF,1.0,0.0,False,False
0,0,INF,1.0,10.0,False,False
0,0,INF,1.0,25.0,False,False
0,0,INF,1.0,50.0,False,False
10,0,0.015,0.75,0.0,False,False
10,0,0.015,0.75,10.0,False,False
10,0,0.015,0.75,25.0,False,False
10,0,0.015,0.75,50.0,False,False
10,0,0.015,1.0,0.0,False,False
10,0,0.015,1.0,10.0,False,False
10,0,0.015,1.0,25.0,False,False
10,0,0.015,1.0,50.0,False,False
10,0,0.020,0.75,0.0,True,False
10,0,0.020,0.75,10.0,True,False
10,0,0.020,0.75,25.0,True,False
10,0,0.020,0.75,50.0,False,False
10,0,0.020,1.0,0.0,False,False
10,0,0.020,1.0,10.0,False,False
10,0,0.020,1.0,25.0,False,False
10,0,0.020,1.0,50.0,False,False
10,0,0.030,0.75,0.0,True,False
10,0,0.030,0.75,10.0,True,False
10,0,0.030,0.75,25.0,True,False
