panel,n,bps,pick,pick2,n_gated,pick5,S0,S1,S2,S3,S4,S5,S0_CAGR,S1_CAGR,S2_CAGR,S3_CAGR,S4_CAGR,S5_CAGR,S0_DD,S1_DD,S2_DD,S3_DD,S4_DD,S5_DD,S0_4b,S1_4b,S2_4b,S4_4b,S0_4a,S1_4a,S2_4a,S4_4a,S3_4b_rate,v1_Sharpe,v1_CAGR,v1_DD,spy_Sharpe,spy_CAGR,spy_DD
u56,10,10.0,S3-0.5,abstain,0,IEF+LQD+UNG,1.0442432489520044,1.1137937478208915,1.0442432489520044,0.9222795331756336,1.0410184726952876,0.8379130474710876,0.1774159608732273,0.1106289007468213,0.1774159608732273,0.0985849917369361,0.08869627136081326,0.09114231670689077,-0.2409174494743057,-0.1269980652460252,-0.2409174494743057,-0.1592165821952205,-0.12618549851065275,-0.15428557613964233,DD,-,DD,CAGR,DD,H1,DD,-,0.0,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,S3-0.5,abstain,0,IEF+LQD+SLV,0.9305864184715728,0.9567750200035924,0.9305864184715728,0.7760465686149344,0.9263718467214604,0.697145894757008,0.15483044412488955,0.09357217848373511,0.15483044412488955,0.08145682584739326,0.07811784457469129,0.07374321121676819,-0.24207777084199966,-0.12822217695050042,-0.24207777084199966,-0.16538505208803217,-0.1268541207835472,-0.1453069100465766,"H1,DD","H1,CAGR","H1,DD","H1,CAGR",DD,-,DD,-,0.0,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,10.0,S3-0.5,abstain,0,IEF+LQD+UNG,1.1676752607259366,1.2411311241726728,1.1676752607259366,0.973770900582563,1.16642233114057,0.8937024147410071,0.16638958865609754,0.10312782582771884,0.16638958865609754,0.08932075696887132,0.08248726512682203,0.08262585253215704,-0.22210408719864594,-0.12245114090648035,-0.22210408719864594,-0.16235296143744177,-0.11584555314226741,-0.15198168995046835,DD,CAGR,DD,CAGR,DD,-,DD,-,0.0,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,25.0,S3-0.5,abstain,0,IEF+LQD+UNG,1.0721876011978528,1.0931997743121236,1.0721876011978528,0.8384670637824636,1.0698847732727683,0.7452613755747302,0.15087237124064035,0.08988091438644785,0.15087237124064035,0.07594963746350832,0.07518992190062268,0.06769872935172883,-0.22340270136729112,-0.12369268846002524,-0.22340270136729112,-0.17154387590886783,-0.11658658822817614,-0.16889684600484867,DD,CAGR,DD,CAGR,DD,-,DD,-,0.0,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,40,10.0,S3-0.5,S3-0.2,3,IEF+LQD+UNG,1.1503321563698075,1.2886752214394133,1.2070246008275098,0.9365812996731183,1.1500919958101459,0.866841077391619,0.14209368225074392,0.09139207751501144,0.12328972317368803,0.07846865094885265,0.07054696990909615,0.07206257725810472,-0.21562651640970665,-0.11589426236936284,-0.1698740243912742,-0.16440975055275145,-0.11212321957132942,-0.14800271423021727,DD,CAGR,-,CAGR,DD,-,DD,-,0.0,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,40,25.0,S3-0.5,abstain,0,IEF+LQD+UNG,1.0934765013560466,1.1665847684486454,1.0934765013560466,0.8331408347154966,1.0922308180001756,0.748938825125893,0.13418662012755034,0.08216364462843018,0.13418662012755034,0.06918312494073131,0.06677496577298792,0.06148457587856826,-0.21649504883309356,-0.11691222527423573,-0.21649504883309356,-0.16852832027132253,-0.11263521758842232,-0.15459672664894086,DD,CAGR,DD,CAGR,DD,-,DD,-,0.0,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
broad,10,10.0,S3-0.5,S3-0.2,3,IEF+LQD+SLV,0.8534425957437468,0.9288613353239986,0.8823708149416907,0.7474481700460733,0.8446815939388795,0.6734582435548947,0.1628288660061299,0.10394051511739533,0.14151983471945306,0.08748355924667675,0.08279938749577354,0.08017815212780754,-0.26014890056084927,-0.1379575203791925,-0.20581637250302975,-0.19249928273546213,-0.13690095640770994,-0.20511751924540067,"H1,OOS,DD","H1,CAGR","H1,DD","H1,OOS,CAGR",DD,-,-,-,0.0,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,10,25.0,S3-0.5,abstain,0,IEF+LQD+SLV,0.7334538148772907,0.7696343745256158,0.7334538148772907,0.5970410250377317,0.7237058221878492,0.5115540012112879,0.13518549597567442,0.08418135861194265,0.13518549597567442,0.06779206049377262,0.06975258425175634,0.05831501824390428,-0.2611332714434832,-0.13912400149970439,-0.2611332714434832,-0.20875116183122286,-0.1374773448359966,-0.24797786604851957,"H1,H2,OOS,DD","H1,OOS,CAGR","H1,H2,OOS,DD","H1,H2,OOS,CAGR",-,-,-,-,0.0,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,20,10.0,S3-0.5,abstain,0,IEF+LQD+SLV,0.930124081948871,1.023753426332772,0.930124081948871,0.8046394352010682,0.9258844904410444,0.7305903815343937,0.14862653950160798,0.095696604620775,0.14862653950160798,0.08089575336706605,0.07484914608427151,0.07441389792915665,-0.2596966291762921,-0.1307771720535421,-0.2596966291762921,-0.17999680704719068,-0.13665377108268517,-0.19326823377458036,"H1,DD","H1,CAGR","H1,DD","H1,CAGR",DD,-,DD,-,0.0,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,20,25.0,S3-0.5,abstain,0,IEF+LQD+SLV,0.8066189970303554,0.8542248171120582,0.8066189970303554,0.6479814167609517,0.8012958291229666,0.5602927403367215,0.12571000292535062,0.07848621966350211,0.12571000292535062,0.06369891935817751,0.06399743367345367,0.05525212882676023,-0.2614961028655426,-0.13209529111332152,-0.2614961028655426,-0.19134014212515257,-0.13769741249366685,-0.2228726434882382,"H1,OOS,DD","H1,OOS,CAGR","H1,OOS,DD","H1,H2,OOS,CAGR",-,-,-,-,0.0,0.15539928865606328,0.011143568780353386,-0.26721084947028584,0.8820239235972316,0.1545044425578177,-0.3371595330739301
