canon,rows,files,labels,n,cells,clusters,slope,R2,t,p
u56(56),9687,56,"U56,u56,universe.json(56)",6822,833,34,0.7597003103794706,0.3709256175866693,3.1350926316240812,0.001717998534840337
broad136,9638,55,"B136,BROAD136,broad,broad136,universe_broad(136)",6867,818,34,1.039430767443281,0.4840932409639205,7.222272191562097,5.111466805374221e-13
small,4337,26,small,4123,436,24,1.0440323595090502,0.5250849153183661,15.81545136886834,0.0
other,2929,11,,768,113,4,-0.1777493054458195,0.018823938496126735,,
small484,1395,5,SMALL484,0,0,0,,,,
small439,859,11,"SMALL439,small439",311,11,3,0.43985782464839407,0.07324408868727972,,
bstk100,515,2,"BSTK100,bstk100",510,30,1,0.934948460213444,0.3237061064844894,,
etf36,5,1,ETF36,0,0,0,,,,
