panel,n,form,leg,rows,leg_pass,all3,mean_gross,med_MaxDD
B136,5,NOM,H1,3000,173,0,0.7292909337676438,-0.23067074877226257
B136,5,NOM,H2,3000,73,0,0.7292909337676438,-0.23067074877226257
B136,5,NOM,DD,3000,0,0,0.7292909337676438,-0.23067074877226257
B136,5,MATCH,H1,3000,162,0,0.7376148027506335,-0.23918946041427896
B136,5,MATCH,H2,3000,85,0,0.7376148027506335,-0.23918946041427896
B136,5,MATCH,DD,3000,0,0,0.7376148027506335,-0.23918946041427896
B136,10,NOM,H1,3000,248,0,0.7180737785016286,-0.20048237391384816
B136,10,NOM,H2,3000,290,0,0.7180737785016286,-0.20048237391384816
B136,10,NOM,DD,3000,0,0,0.7180737785016286,-0.20048237391384816
B136,10,MATCH,H1,3000,227,0,0.7425838009280803,-0.21626895655065803
B136,10,MATCH,H2,3000,269,0,0.7425838009280803,-0.21626895655065803
B136,10,MATCH,DD,3000,0,0,0.7425838009280803,-0.21626895655065803
B136,15,NOM,H1,3000,301,2,0.6923685848715164,-0.1877351566862576
B136,15,NOM,H2,3000,441,2,0.6923685848715164,-0.1877351566862576
B136,15,NOM,DD,3000,22,2,0.6923685848715164,-0.1877351566862576
B136,15,MATCH,H1,3000,239,0,0.7451011181656744,-0.20933763308350894
B136,15,MATCH,H2,3000,391,0,0.7451011181656744,-0.20933763308350894
B136,15,MATCH,DD,3000,0,0,0.7451011181656744,-0.20933763308350894
B136,20,NOM,H1,3000,321,22,0.6439962540716612,-0.1790622870129281
B136,20,NOM,H2,3000,567,22,0.6439962540716612,-0.1790622870129281
B136,20,NOM,DD,3000,520,22,0.6439962540716612,-0.1790622870129281
B136,20,MATCH,H1,3000,258,0,0.7461621423740604,-0.205120955146844
B136,20,MATCH,H2,3000,450,0,0.7461621423740604,-0.205120955146844
B136,20,MATCH,DD,3000,0,0,0.7461621423740604,-0.205120955146844
B136,30,NOM,H1,3000,357,44,0.5627351701049585,-0.14799727947802171
B136,30,NOM,H2,3000,725,44,0.5627351701049585,-0.14799727947802171
B136,30,NOM,DD,3000,1007,44,0.5627351701049585,-0.14799727947802171
B136,30,MATCH,H1,3000,278,0,0.7471021046893724,-0.1993666827701571
B136,30,MATCH,H2,3000,564,0,0.7471021046893724,-0.1993666827701571
B136,30,MATCH,DD,3000,0,0,0.7471021046893724,-0.1993666827701571
B136,40,NOM,H1,3000,322,83,0.48548179288816506,-0.11927885965043955
B136,40,NOM,H2,3000,906,83,0.48548179288816506,-0.11927885965043955
B136,40,NOM,DD,3000,1618,83,0.48548179288816506,-0.11927885965043955
B136,40,MATCH,H1,3000,260,0,0.7474025309353568,-0.1975406904423381
B136,40,MATCH,H2,3000,615,0,0.7474025309353568,-0.1975406904423381
B136,40,MATCH,DD,3000,0,0,0.7474025309353568,-0.1975406904423381
SMALL484,5,NOM,H1,3000,60,0,0.6996503059975521,-0.4409885729660102
SMALL484,5,NOM,H2,3000,192,0,0.6996503059975521,-0.4409885729660102
SMALL484,5,NOM,DD,3000,0,0,0.6996503059975521,-0.4409885729660102
SMALL484,5,MATCH,H1,3000,55,0,0.7365238933088537,-0.4801091621576604
SMALL484,5,MATCH,H2,3000,192,0,0.7365238933088537,-0.4801091621576604
SMALL484,5,MATCH,DD,3000,0,0,0.7365238933088537,-0.4801091621576604
SMALL484,10,NOM,H1,3000,45,0,0.6121339351285189,-0.3404089461943761
SMALL484,10,NOM,H2,3000,183,0,0.6121339351285189,-0.3404089461943761
SMALL484,10,NOM,DD,3000,0,0,0.6121339351285189,-0.3404089461943761
SMALL484,10,MATCH,H1,3000,35,0,0.7379359760836199,-0.4336081986036721
SMALL484,10,MATCH,H2,3000,179,0,0.7379359760836199,-0.4336081986036721
SMALL484,10,MATCH,DD,3000,0,0,0.7379359760836199,-0.4336081986036721
SMALL484,15,NOM,H1,3000,40,0,0.5245013667890658,-0.28668009571479847
SMALL484,15,NOM,H2,3000,143,0,0.5245013667890658,-0.28668009571479847
