kappa,corpus_admits,floor_admits_lost,victims_admitted,pareto_victims_admitted,ladder_admitted,core_ladder_admitted,both_jobs,pass4a_among_admitted
0.0,56,0,27,11,107,107,False,25
0.005,44,10,25,11,105,105,False,21
0.01,44,10,25,11,69,69,False,21
0.015,44,10,25,11,47,47,False,21
0.02,44,10,25,11,18,18,False,21
0.025,44,10,25,11,0,0,False,21
0.03,44,10,25,11,0,0,False,21
0.035,44,10,25,11,0,0,False,21
0.04,42,12,25,11,0,0,False,21
0.045,42,12,25,11,0,0,False,21
0.05,42,12,25,11,0,0,False,21
0.055,42,12,25,11,0,0,False,21
0.06,42,12,25,11,0,0,False,21
0.065,42,12,25,11,0,0,False,21
0.07,42,12,25,11,0,0,False,21
0.075,42,12,25,11,0,0,False,21
0.08,38,16,25,11,0,0,False,21
0.085,38,16,25,11,0,0,False,21
0.09,36,18,25,11,0,0,False,19
0.095,36,18,25,11,0,0,False,19
0.1,36,18,25,11,0,0,False,19
0.105,36,18,25,11,0,0,False,19
0.11,36,18,25,11,0,0,False,19
0.115,36,18,25,11,0,0,False,19
0.12,36,18,25,11,0,0,False,19
0.125,34,20,25,11,0,0,False,19
0.13,32,22,25,11,0,0,False,19
0.135,30,24,25,11,0,0,False,19
0.14,30,24,25,11,0,0,False,19
0.145,27,27,25,11,0,0,False,19
0.15,27,27,25,11,0,0,False,19
0.155,27,27,25,11,0,0,False,19
0.16,26,28,25,11,0,0,False,19
0.165,26,28,25,11,0,0,False,19
0.17,26,28,25,11,0,0,False,19
0.175,26,28,25,11,0,0,False,19
0.18,26,28,25,11,0,0,False,19
0.185,26,28,25,11,0,0,False,19
0.19,26,28,25,11,0,0,False,19
0.195,26,28,25,11,0,0,False,19
0.2,26,28,25,11,0,0,False,19
0.205,26,28,25,11,0,0,False,19
0.21,26,28,25,11,0,0,False,19
0.215,26,28,25,11,0,0,False,19
0.22,26,28,25,11,0,0,False,19
0.225,26,28,25,11,0,0,False,19
0.23,26,28,25,11,0,0,False,19
0.235,26,28,25,11,0,0,False,19
0.24,26,28,25,11,0,0,False,19
0.245,25,28,24,10,0,0,False,18
0.25,24,28,23,10,0,0,False,17
0.255,24,28,23,10,0,0,False,17
0.26,24,28,23,10,0,0,False,17
0.265,24,28,23,10,0,0,False,17
0.27,22,28,21,10,0,0,False,15
0.275,22,28,21,10,0,0,False,15
0.28,16,28,15,8,0,0,False,10
0.285,12,28,11,6,0,0,False,8
0.29,10,28,9,4,0,0,False,6
0.295,7,29,7,2,0,0,False,4
0.3,5,29,5,0,0,0,False,2
0.305,5,29,5,0,0,0,False,2
0.31,5,29,5,0,0,0,False,2
0.315,5,29,5,0,0,0,False,2
0.32,5,29,5,0,0,0,False,2
0.325,4,29,4,0,0,0,False,1
0.33,3,29,3,0,0,0,False,0
0.335,1,29,1,0,0,0,False,0
0.34,0,29,0,0,0,0,False,0
0.345,0,29,0,0,0,0,False,0
0.35,0,29,0,0,0,0,False,0
0.355,0,29,0,0,0,0,False,0
0.36,0,29,0,0,0,0,False,0
0.365,0,29,0,0,0,0,False,0
0.37,0,29,0,0,0,0,False,0
0.375,0,29,0,0,0,0,False,0
0.38,0,29,0,0,0,0,False,0
0.385,0,29,0,0,0,0,False,0
0.39,0,29,0,0,0,0,False,0
0.395,0,29,0,0,0,0,False,0
0.4,0,29,0,0,0,0,False,0
