panel,ladder,chooser,statistic,claimset,rungs,pick,runner_up,margin,spread,margin_over_spread,own_res_halfwidth,agreement,decided_q90,below_m0.0,below_m0.5,below_m1.0,below_m2.0,below_m3.0
U56,L_N,C_ISSHARPE,IS_Sharpe,CORE,9,40,12,0.010077615517875893,0.15176183784115138,0.06640414784923797,0.21721274781868297,0.513,False,False,False,True,True,True
U56,L_N,C_ISDD,IS_MaxDD,CORE,9,40,20,0.013708304391296444,0.11656855453742199,0.11759864781454135,,,,False,False,True,True,True
U56,L_N,C_ISCAGR,IS_CAGR,CORE,9,5,10,0.023520488134305406,0.06602294917534235,0.356247159935861,,,,False,False,False,True,True
U56,L_H,C_ISSHARPE,IS_Sharpe,CORE,4,21,63,0.008473870542789808,0.19805210902196002,0.04278606567047577,0.20446071375498032,0.509,False,False,False,True,True,True
U56,L_H,C_ISDD,IS_MaxDD,CORE,4,21,63,0.002946940093246142,0.03893760284320791,0.07568365482366084,,,,False,True,True,True,True
U56,L_H,C_ISCAGR,IS_CAGR,CORE,4,63,126,0.0004564288190027632,0.030562858543581095,0.014934101087171501,,,,False,True,True,True,True
U56,L_G,C_ISSHARPE,IS_Sharpe,CORE,10,0.75,0.7,0.00010870912050653381,0.0013944423901530723,0.07795884668609399,0.0003160447685405521,0.714,False,False,True,True,True,True
U56,L_G,C_ISDD,IS_MaxDD,CORE,10,0.3,0.35,0.00934348957780684,0.08268911515257682,0.11299539921991379,,,,False,False,True,True,True
U56,L_G,C_ISCAGR,IS_CAGR,CORE,10,0.75,0.7,0.009332335567530103,0.08379590119260416,0.11136983354448102,,,,False,False,True,True,True
U56,L_CAD,C_ISSHARPE,IS_Sharpe,CORE,4,W,M,0.00784413458759503,0.03626927728303664,0.21627490744801195,0.15095504264770432,0.517,False,False,False,True,True,True
U56,L_CAD,C_ISDD,IS_MaxDD,CORE,4,D,M,0.007450320617598871,0.042471119464683516,0.1754208674389692,,,,False,False,True,True,True
U56,L_CAD,C_ISCAGR,IS_CAGR,CORE,4,W,D,0.006201106453944671,0.0076828643442232725,0.807134706030215,,,,False,True,True,True,True
U56,L_NH,C_ISSHARPE,IS_Sharpe,WIDE,36,12/21,5/63,0.0019512209291068228,0.3770310337248203,0.005175226319780722,0.33711654489624854,0.516,False,False,True,True,True,True
U56,L_NH,C_ISDD,IS_MaxDD,WIDE,36,40/21,40/63,0.006325275831028931,0.19891926445983543,0.03179820641407053,,,,False,True,True,True,True
U56,L_NH,C_ISCAGR,IS_CAGR,WIDE,36,5/63,5/126,0.015418044546096299,0.09569547651944399,0.1611157089850905,,,,False,False,False,True,True
U56,L_BOOK,C_ISSHARPE,IS_Sharpe,WIDE,5,TOP10,TOP5,0.024231014450573296,0.17096612913810194,0.141729912075158,0.20214696119667225,0.57,False,False,False,False,True,True
U56,L_BOOK,C_ISDD,IS_MaxDD,WIDE,5,BAND03,EWELIG,0.03316105591928897,0.16351073511957304,0.20280659795846903,,,,False,False,False,False,True
U56,L_BOOK,C_ISCAGR,IS_CAGR,WIDE,5,TOP5,TOP10,0.023520488134305406,0.11155196072329288,0.2108478235774672,,,,False,False,False,True,True
U56,L_MV,C_ISSHARPE,IS_Sharpe,WIDE,5,9.99,0.4,0.01941211909162255,0.09107773546588382,0.2131379199573314,0.1799872285076881,0.536,False,False,False,False,True,True
U56,L_MV,C_ISDD,IS_MaxDD,WIDE,5,0.4,0.5,0.007483494017872294,0.024570234366974475,0.3045756058367544,,,,False,False,True,True,True
U56,L_MV,C_ISCAGR,IS_CAGR,WIDE,5,9.99,0.6,0.005911853123458544,0.011927651934031225,0.4956426592723767,,,,False,True,True,True,True
B136,L_N,C_ISSHARPE,IS_Sharpe,CORE,9,8,5,0.009369302261435175,0.1870058979110616,0.05010164046211599,0.1828773856963406,0.529,False,False,False,True,True,True
B136,L_N,C_ISDD,IS_MaxDD,CORE,9,30,40,0.0007983238369267953,0.13607760120636447,0.005866680701669048,,,,False,True,True,True,True
B136,L_N,C_ISCAGR,IS_CAGR,CORE,9,5,8,0.018795664533841183,0.08966305657956641,0.20962551635926033,,,,False,False,False,True,True
B136,L_H,C_ISSHARPE,IS_Sharpe,CORE,4,63,126,0.05588777649946697,0.2876993937080623,0.1942575400634249,0.23359591683526107,0.657,False,False,False,False,False,False
B136,L_H,C_ISDD,IS_MaxDD,CORE,4,63,21,0.02572796272526412,0.05118824728946314,0.5026146447206076,,,,False,False,False,True,True
B136,L_H,C_ISCAGR,IS_CAGR,CORE,4,63,126,0.010005088332034173,0.05339589459256788,0.18737561021080393,,,,False,False,True,True,True
B136,L_G,C_ISSHARPE,IS_Sharpe,CORE,10,0.75,0.7,0.000332938823043083,0.003384122485352581,0.0983826160205886,0.00031975609964328405,0.956,True,False,True,True,True,True
B136,L_G,C_ISDD,IS_MaxDD,CORE,10,0.3,0.35,0.009800324617187939,0.08685697914224566,0.11283289741332068,,,,False,False,True,True,True
B136,L_G,C_ISCAGR,IS_CAGR,CORE,10,0.75,0.7,0.01084004186969545,0.09700817731889533,0.1117435887292361,,,,False,False,True,True,True
B136,L_CAD,C_ISSHARPE,IS_Sharpe,CORE,4,W,D,0.02047292148834412,0.09358033920496456,0.21877374737340133,0.1915237244195271,0.554,False,False,False,False,True,True
B136,L_CAD,C_ISDD,IS_MaxDD,CORE,4,D,W,0.007648003967920758,0.026637191213079947,0.2871175082515936,,,,False,False,True,True,True
B136,L_CAD,C_ISCAGR,IS_CAGR,CORE,4,W,D,0.000439770274247131,0.020710132245849833,0.021234546888770252,,,,False,True,True,True,True
B136,L_NH,C_ISSHARPE,IS_Sharpe,WIDE,36,5/63,8/63,0.12377591935226939,0.5010222697479193,0.24704674188343984,0.13551603411407834,0.933,True,False,False,False,False,False
B136,L_NH,C_ISDD,IS_MaxDD,WIDE,36,40/63,40/21,0.0014554128569425062,0.13929332516311277,0.010448547015718197,,,,False,True,True,True,True
B136,L_NH,C_ISCAGR,IS_CAGR,WIDE,36,5/63,5/126,0.03865303153278732,0.1432201464381886,0.2698854350736844,,,,False,False,False,False,True
B136,L_BOOK,C_ISSHARPE,IS_Sharpe,WIDE,5,TOP5,TOP10,0.00011867880061866565,0.2519592134305937,0.0004710238574044353,0.20711106976563848,0.5,False,False,True,True,True,True
B136,L_BOOK,C_ISDD,IS_MaxDD,WIDE,5,BAND03,EWELIG,0.03520375437470413,0.18893510172497707,0.1863272311671782,,,,False,False,False,False,True
B136,L_BOOK,C_ISCAGR,IS_CAGR,WIDE,5,TOP5,TOP10,0.031107771564784725,0.1570060612098514,0.1981310232552529,,,,False,False,False,False,True
B136,L_MV,C_ISSHARPE,IS_Sharpe,WIDE,5,0.4,0.6,0.040530194464210245,0.11728309430777784,0.3455757601163701,0.12484666465233765,0.7,False,False,False,False,False,True
B136,L_MV,C_ISDD,IS_MaxDD,WIDE,5,0.4,0.6,0.005310398157485574,0.01835095942236764,0.28937986484852823,,,,False,True,True,True,True
B136,L_MV,C_ISCAGR,IS_CAGR,WIDE,5,0.4,0.6,0.0007187671674038221,0.010132060048983371,0.07093988428107881,,,,False,True,True,True,True
