scope,chooser,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,full_pass4b,full_pass4a,beats_SPY_OOS_Sharpe,beats_base_OOS_Sharpe
ALL dials,C1 max IS Sharpe,B136/COUNT/RESPREAD/5,0.25155689894025257,0.9825798291732212,-0.3032582932400294,False,False,True,False
ALL dials,C2 max IS min-leg,B136/QELIG/RESPREAD/90,0.1852683305594205,1.0386064078067525,-0.25618937064363767,False,False,True,False
dial=GROSS,C1 max IS Sharpe,U56/GROSS/DEGROSS/1.0,0.12669164118494347,1.2759272265148864,-0.1591100739598581,True,False,True,False
dial=GROSS,C2 max IS min-leg,B136/GROSS/DEGROSS/1.0,0.10473004292318389,1.1006130604666327,-0.16158091944280473,True,False,True,False
dial=BAND,C1 max IS Sharpe,B136/BAND/RESPREAD/0.12,0.1355431162331553,1.148986284608757,-0.21738773120338772,False,False,True,True
dial=BAND,C2 max IS min-leg,B136/BAND/RESPREAD/0.08,0.1272476718204767,1.0957178927333349,-0.20693520572167812,False,False,True,False
dial=COUNT,C1 max IS Sharpe,B136/COUNT/RESPREAD/5,0.25155689894025257,0.9825798291732212,-0.3032582932400294,False,False,True,False
dial=COUNT,C2 max IS min-leg,B136/COUNT/RESPREAD/80,0.11816999849781085,1.0146165891344736,-0.1927624121973781,True,False,True,False
dial=MAXVOL,C1 max IS Sharpe,U56/MAXVOL/RESPREAD/1.2,0.1282894364699565,1.1666435934841528,-0.1776796713412756,True,False,True,False
dial=MAXVOL,C2 max IS min-leg,B136/MAXVOL/RESPREAD/1.2,0.11549350122871038,1.0444105409469462,-0.18550483276348906,True,False,True,False
dial=VOLTGT,C1 max IS Sharpe,U56/VOLTGT/DEGROSS/0.2,0.1273602167434631,1.2904683649309427,-0.15250750304828842,True,False,True,True
dial=VOLTGT,C2 max IS min-leg,B136/VOLTGT/DEGROSS/0.2,0.10509363659881399,1.1139583279429177,-0.15233877097268056,True,False,True,True
dial=MALEN,C1 max IS Sharpe,U56/MALEN/RESPREAD/150,0.1146926242945312,1.0645841958667013,-0.1809302802509678,True,False,True,False
dial=MALEN,C2 max IS min-leg,B136/MALEN/RESPREAD/150,0.10702135284833147,0.9827708905908807,-0.18312438856410573,True,False,True,False
dial=QELIG,C1 max IS Sharpe,U56/QELIG/DEGROSS/90,0.02436840752730851,1.0568614786000792,-0.033889605619527474,False,False,True,False
dial=QELIG,C2 max IS min-leg,B136/QELIG/RESPREAD/90,0.1852683305594205,1.0386064078067525,-0.25618937064363767,False,False,True,False
dial=CADENCE,C1 max IS Sharpe,U56/CADENCE/DEGROSS/M,0.0955427346486244,1.2242094738024114,-0.1438168863521796,False,False,True,False
dial=CADENCE,C2 max IS min-leg,B136/CADENCE/DEGROSS/M,0.08203424188320141,1.0796193106263303,-0.15687484753427483,False,False,True,False
