panel,theta,x,qfam,window,ident_max,ADD_pp,DROP_pp,BOTH_pp,arith_pp,sel_geo_pp,jensen_pp,COST_pp,net10_pp,n_add,n_drop,n_both,n_ma,overlap,w_add,w_drop,rbar_add,rbar_drop,dom,sign_sel,turn_ma,turn_q
U56,0.3,0.04258870572676662,QUANTILE-M,FULL,2.7755575615628914e-17,0.5659353971700226,-12.775887765906289,9.139544456124773,-3.0704079126114934,-5.36827971880256,-2.2978718061910666,-0.19165588983204068,-3.262063802443534,0.5346846846846847,1.2747747747747749,1.7252252252252251,2.25990990990991,0.7634044249551524,0.06614958600969287,0.318651971114341,8.555388344941363,40.09354695415316,DROP,-1,16.891223425477634,14.974664527157225
U56,0.3,0.04258870572676662,QUANTILE-M,IS,2.7755575615628914e-17,0.06809927684920491,-13.372640828183853,10.213929551422794,-3.0906119999118538,-5.569821589880952,-2.4792095899690985,-0.1244623056926739,-3.2150743056045274,0.25062282012954656,1.487792725460887,1.512207274539113,1.7628300946686597,0.8578292820802713,0.03209071086496991,0.37181088808336255,2.122086890993175,35.966243207987,DROP,-1,14.82592494129303,13.58130188436629
U56,0.3,0.04258870572676662,QUANTILE-M,OOS,1.3877787807814457e-17,0.9766041573360238,-12.283621676308641,8.253276109941817,-3.053741409030801,-5.207427399666065,-2.153685990635264,-0.24708438279040837,-3.300825791821209,0.769009453349774,1.0990546650226058,1.9009453349773942,2.669954788327168,0.7119766009852216,0.09424500829307098,0.27480078066763886,10.36239664066988,44.70009745410883,DROP,-1,18.59490367938577,16.124059851481686
U56,0.3,0.04258870572676662,QUANTILE-F,FULL,2.7755575615628914e-17,0.5659353971700226,-11.118188272647673,4.274661872295806,-6.277591003181844,-8.751037574361686,-2.4734465711798412,-0.1841106546899179,-6.461701657871762,0.5346846846846847,1.2747747747747749,1.7252252252252251,2.25990990990991,0.7634044249551524,0.06614958600969287,0.2658842870753315,8.555388344941363,41.815890645307746,DROP,-1,16.891223425477634,15.050116878578454
U56,0.3,0.04258870572676662,QUANTILE-F,IS,2.7755575615628914e-17,0.06809927684920491,-10.983422848921006,5.0104683695392405,-5.90485520253256,-8.57057686040823,-2.665721657875671,-0.06308646471182335,-5.967941667244383,0.25062282012954656,1.487792725460887,1.512207274539113,1.7628300946686597,0.8578292820802713,0.03209071086496991,0.31112267731788634,2.122086890993175,35.302546711176596,DROP,-1,14.82592494129303,14.195060294174796
U56,0.3,0.04258870572676662,QUANTILE-F,OOS,1.734723475976807e-17,0.9766041573360238,-11.229357284328492,3.6676895582935187,-6.585063568698949,-8.886149601357252,-2.3010860326583025,-0.28394441929576897,-6.869007987994718,0.769009453349774,1.0990546650226058,1.9009453349773942,2.669954788327168,0.7119766009852216,0.09424500829307098,0.22856679870015367,10.36239664066988,49.12943326935147,DROP,-1,18.59490367938577,15.755459486428078
U56,0.2,0.10223652894330977,QUANTILE-M,FULL,4.163336342344337e-17,1.1608583590755364,-7.094292271466436,5.496058452403442,-0.4373754599874573,-1.6060536227098243,-1.168678162722367,-0.7047908416674052,-1.1421663016548624,1.4504504504504505,1.9984234234234235,4.001576576576577,5.452027027027027,0.7339612508778453,0.08417678826178755,0.2498776396643959,13.79071811893438,28.391064846756972,DROP,-1,20.309388603998983,13.26148018732493
U56,0.2,0.10223652894330977,QUANTILE-M,IS,4.163336342344337e-17,0.46101208767345364,-7.061816721639501,10.571828931040033,3.971024297073985,3.629635994976499,-0.34138830209748594,-0.6820679480167599,3.288956349057225,0.9676133532635774,2.4887892376681613,3.5112107623318387,4.478824115595416,0.7839581710980087,0.050229194701487914,0.311109473370347,9.178169994825684,22.69881609562259,DROP,1,20.266857756372197,13.446178276204598
U56,0.2,0.10223652894330977,QUANTILE-M,OOS,1.3877787807814457e-17,1.7381668123036416,-7.121081596786065,1.309017206771039,-4.073897577711384,-5.8115614806967475,-1.7376639029853633,-0.7235351275518462,-4.797432705263231,1.8487464036169339,1.5939169749280724,4.406083025071927,6.254829428688861,0.7044289656985149,0.11218041352916171,0.19936703948032533,15.494387635251487,35.71844982675189,DROP,-1,20.34447262010542,13.109121344586958
U56,0.2,0.10223652894330977,QUANTILE-F,FULL,4.163336342344337e-17,1.1608583590755364,-6.611291536793534,4.065425232012599,-1.3850079457053983,-2.607028841987069,-1.2220208962816708,-0.6846101592503274,-2.0696181049557256,1.4504504504504505,1.9984234234234235,4.001576576576577,5.452027027027027,0.7339612508778453,0.08417678826178755,0.2259126940123189,13.79071811893438,29.264807653672722,DROP,-1,20.309388603998983,13.463287011495709
