knob,output_set,n_outputs,n_obs_free,n_obs,n_bar_free,n_bar_noise_bound,n_bar_dependent,n_bar,median_ratio,LINE_HOLDS
K_SEED,OS_CORE,7,1,1,0,6,0,6,1.0,False
K_SEED,OS_WIDE,14,1,1,1,12,0,13,1.0,False
K_SEED,OS_ALL,18,5,5,1,12,0,13,1.0,False
K_B,OS_CORE,7,1,1,0,6,0,6,0.6088029573081695,False
K_B,OS_WIDE,14,1,1,1,12,0,13,0.6184297821080896,False
K_B,OS_ALL,18,5,5,1,12,0,13,0.6184297821080896,False
K_DRAW,OS_CORE,7,1,1,0,3,3,6,1.9882589467825564,False
K_DRAW,OS_WIDE,14,1,1,1,5,7,13,2.178284785033948,False
K_DRAW,OS_ALL,18,5,5,1,5,7,13,2.178284785033948,False
K_RECENTRE,OS_CORE,7,1,1,0,5,1,6,0.8485384062940866,False
K_RECENTRE,OS_WIDE,14,1,1,1,11,1,13,1.098459303363968,False
K_RECENTRE,OS_ALL,18,5,5,1,11,1,13,1.098459303363968,False
