panel,cost_bps,chooser,pick_theta,pick_gross,IS_conc,OOS_conc,IS_share,OOS_share,IS_prem,OOS_prem,IS_days,OOS_days,OOS_eps
U56,0.0,C_ISCONC,0.03,1.0,-4.097658906661444,3.544678236981933,-1.341386099490069,1.4480511176864386,0.0031959143756314467,0.005848062062126549,0.3273542600896861,0.4085141219811707,52
U56,0.0,C_ISPREMIN,0.2,1.0,-196.9775311185966,-20.240296083916125,-0.2944357714777229,-0.463960941751659,0.0031959143756314467,0.005848062062126549,0.0014947683109118087,0.022922636103151862,8
U56,10.0,C_ISCONC,0.03,1.0,-5.657367652833518,3.935319924997304,-1.8519634020486404,1.6076337638752802,0.0024803196708687914,0.004995953847430999,0.3273542600896861,0.4085141219811707,52
U56,10.0,C_ISPREMIN,0.2,1.0,-254.38653918103066,-23.851992455700728,-0.38024893749032984,-0.5467505433971513,0.0024803196708687914,0.004995953847430999,0.0014947683109118087,0.022922636103151862,8
U56,25.0,C_ISCONC,0.2,0.75,825.1455516631913,-87.65599089160136,1.233401422515981,-2.009306381469372,-0.0007672765810756225,0.001373082101848413,0.0014947683109118087,0.022922636103151862,8
U56,25.0,C_ISPREMIN,0.1,0.75,119.5632540845612,-21.75149594404072,8.22109071433455,-3.4635005821661236,-0.0007672765810756225,0.001373082101848413,0.0687593423019432,0.15923045435939417,16
U56,50.0,C_ISCONC,0.2,1.0,1666.5126203403663,-77.07062624455166,2.4910502546193816,-1.7666619196458833,-0.00038205914818180637,0.0015875209886487929,0.0014947683109118087,0.022922636103151862,8
U56,50.0,C_ISPREMIN,0.05,1.0,84.42175068637216,8.563615448062349,17.035779286487656,2.6150049628548966,-0.00038205914818180637,0.0015875209886487929,0.20179372197309417,0.3053622595169873,41
B136,0.0,C_ISCONC,0.2,0.75,58.22800525187251,28.380081373394486,0.0870373770581054,0.6510792941049124,-0.013839151374084232,-0.008677527533022707,0.0014947683109118087,0.02294141745186399,8
B136,0.0,C_ISPREMIN,0.1,0.75,9.565220032979182,11.385328725054103,0.6576982384410199,1.8143764334477863,-0.013839151374084232,-0.008677527533022707,0.0687593423019432,0.15936091765669808,16
B136,10.0,C_ISCONC,0.2,0.75,47.18861362426987,21.105518839094312,0.07053604428141984,0.48419051822584247,-0.017112304547944192,-0.011889781015486307,0.0014947683109118087,0.02294141745186399,8
B136,10.0,C_ISPREMIN,0.05,0.75,2.9976017749937083,2.28748725918194,0.604897219169134,0.699084594571785,-0.017112304547944192,-0.011889781015486307,0.20179372197309417,0.305612453912331,41
B136,25.0,C_ISCONC,0.2,0.75,36.78250333919967,15.438358720895385,0.05498132038744346,0.354177832187686,-0.022022034308734152,-0.016708161239181705,0.0014947683109118087,0.02294141745186399,8
B136,25.0,C_ISPREMIN,0.03,0.75,1.7502558227741105,1.1680403562231274,0.5738257754785077,0.47755193589130734,-0.022022034308734152,-0.016708161239181705,0.3278525161933234,0.40884883244571896,52
B136,50.0,C_ISCONC,0.2,0.75,26.95670097492738,10.898842754578862,0.040294022384046904,0.2500349013750169,-0.030204917243384075,-0.0247387949453407,0.0014947683109118087,0.02294141745186399,8
B136,50.0,C_ISPREMIN,0.03,0.75,1.763567037086769,1.3119524035459953,0.5781898905845013,0.5363902084141349,-0.030204917243384075,-0.0247387949453407,0.3278525161933234,0.40884883244571896,52
