claim_set,rule,form,rerun_units,edit_units,rerun_units_inscope,rungs_paid,mean_B,draws,hours,draws_inscope,hours_inscope
CS_BLOCK,R_CONST,CF_POINT,92,62,75,1,1010.6304347826087,92978.0,0.007586566107471783,75978.0,0.00619944631755352
CS_BLOCK,R_CONST,CF_IDENTITY,92,62,75,1,1010.6304347826087,92978.0,0.007586566107471783,75978.0,0.00619944631755352
CS_BLOCK,R_CONST,CF_LADDER4,92,62,75,4,1010.6304347826087,371912.0,0.03034626442988713,303912.0,0.02479778527021408
CS_BLOCK,R_CONST,CF_LADDER11,92,62,75,11,1010.6304347826087,1022758.0,0.08345222718218961,835758.0,0.06819390949308872
CS_BLOCK,R_LADDER,CF_POINT,83,71,66,1,1028.6506024096386,85378.0,0.00696644196609656,68378.0,0.005579322176178296
CS_BLOCK,R_LADDER,CF_IDENTITY,83,71,66,1,1028.6506024096386,85378.0,0.00696644196609656,68378.0,0.005579322176178296
CS_BLOCK,R_LADDER,CF_LADDER4,83,71,66,4,1028.6506024096386,341512.0,0.02786576786438624,273512.0,0.022317288704713185
CS_BLOCK,R_LADDER,CF_LADDER11,83,71,66,11,1028.6506024096386,939158.0,0.07663086162706215,752158.0,0.06137254393796125
CS_BLOCK,R_ANY,CF_POINT,83,71,66,1,1028.6506024096386,85378.0,0.00696644196609656,68378.0,0.005579322176178296
CS_BLOCK,R_ANY,CF_IDENTITY,83,71,66,1,1028.6506024096386,85378.0,0.00696644196609656,68378.0,0.005579322176178296
CS_BLOCK,R_ANY,CF_LADDER4,83,71,66,4,1028.6506024096386,341512.0,0.02786576786438624,273512.0,0.022317288704713185
CS_BLOCK,R_ANY,CF_LADDER11,83,71,66,11,1028.6506024096386,939158.0,0.07663086162706215,752158.0,0.06137254393796125
CS_BLOCK,R_UNION,CF_POINT,80,74,63,1,1029.725,82378.0,0.006721656120816866,65378.0,0.005334536330898603
CS_BLOCK,R_UNION,CF_IDENTITY,80,74,63,1,1029.725,82378.0,0.006721656120816866,65378.0,0.005334536330898603
CS_BLOCK,R_UNION,CF_LADDER4,80,74,63,4,1029.725,329512.0,0.026886624483267466,261512.0,0.02133814532359441
CS_BLOCK,R_UNION,CF_LADDER11,80,74,63,11,1029.725,906158.0,0.07393821732898552,719158.0,0.058679899639884625
CS_RESAMPLE,R_CONST,CF_POINT,881,193,226,1,1304.5153234960273,1149278.0,0.0937756622304519,217460.0,0.01774370997150739
CS_RESAMPLE,R_CONST,CF_IDENTITY,881,193,226,1,1304.5153234960273,1149278.0,0.0937756622304519,217460.0,0.01774370997150739
CS_RESAMPLE,R_CONST,CF_LADDER4,881,193,226,4,1304.5153234960273,4597112.0,0.3751026489218076,869840.0,0.07097483988602955
CS_RESAMPLE,R_CONST,CF_LADDER11,881,193,226,11,1304.5153234960273,12642058.0,1.0315322845349708,2392060.0,0.19518080968658127
CS_RESAMPLE,R_LADDER,CF_POINT,857,217,207,1,1270.8028004667444,1089078.0,0.08886362626850605,200260.0,0.016340271125237147
CS_RESAMPLE,R_LADDER,CF_IDENTITY,857,217,207,1,1270.8028004667444,1089078.0,0.08886362626850605,200260.0,0.016340271125237147
CS_RESAMPLE,R_LADDER,CF_LADDER4,857,217,207,4,1270.8028004667444,4356312.0,0.3554545050740242,801040.0,0.06536108450094859
CS_RESAMPLE,R_LADDER,CF_LADDER11,857,217,207,11,1270.8028004667444,11979858.0,0.9774998889535665,2202860.0,0.1797429823776086
CS_RESAMPLE,R_ANY,CF_POINT,852,222,202,1,1272.3920187793428,1084078.0,0.08845564985970655,195260.0,0.01593229471643766
