uni,window,years,depth,frac,frac_V1u,frac_TOP20,frac_EWall
universe.json(56),IS 2009-2016,8.0,22.061944945147506,0.5833333333333334,0.25,0.625,0.875
universe.json(56),OOS 2017-2026,9.7,33.71723528339828,0.75,0.75,0.75,0.75
universe_broad.json,IS 2009-2016,8.0,22.058362096015106,0.625,0.6875,0.3125,0.875
universe_broad.json,OOS 2017-2026,9.7,33.71595330739301,0.7291666666666666,0.5625,0.875,0.75
