x,stat,R2,pred_order,act_order,order_ok,max_resid,resid_over_gap
etf_share,gate,0.16737705662109215,U56 > B136 > SMALL439,U56 > B136 > SMALL439,True,0.07094478254810758,0.7255477296009202
etf_share,conc,0.05557489208784816,U56 > B136 > SMALL439,U56 > B136 > SMALL439,True,4.8524559877970574,0.4695587218671834
breadth,gate,0.23445547254881527,B136 > U56 > SMALL439,U56 > B136 > SMALL439,False,0.04152677579374575,0.4246916660061336
breadth,conc,0.003406933929635092,B136 > U56 > SMALL439,U56 > B136 > SMALL439,False,6.021869056194706,0.5827195845545476
cvol,gate,0.2207580783976537,B136 > U56 > SMALL439,U56 > B136 > SMALL439,False,0.04626553195109841,0.47315462054078405
cvol,conc,0.003652419648006555,B136 > U56 > SMALL439,U56 > B136 > SMALL439,False,5.892657642720911,0.5702161540620329
mean_vol,gate,0.22491344384563272,U56 > B136 > SMALL439,U56 > B136 > SMALL439,True,0.039533540980554054,0.40430698173013213
mean_vol,conc,0.007042067542439856,U56 > B136 > SMALL439,U56 > B136 > SMALL439,True,5.79762647893854,0.5610202516333621
rho_bar,gate,0.1391623106953026,B136 > U56 > SMALL439,U56 > B136 > SMALL439,False,0.07153041286038583,0.7315369331504672
rho_bar,conc,0.0008234494821036664,B136 > U56 > SMALL439,U56 > B136 > SMALL439,False,6.380759453125245,0.6174484139343306
small_share,gate,0.27773900037617183,U56 > B136 > SMALL439,U56 > B136 > SMALL439,True,0.034545484579784035,0.3532944496352464
small_share,conc,0.003970125179297734,U56 > B136 > SMALL439,U56 > B136 > SMALL439,True,5.991055843974708,0.5797378753781985
