panel,m,n_moves,obs,null_mean,gap,p,above
U56,4,65,1.5277895238586763,1.555107061851384,-0.027317537992707752,0.74125,False
U56,8,66,1.4639986282800357,1.5429831147978053,-0.07898448651776957,0.88875,False
U56,14,66,1.3780046822015557,1.5421436374757218,-0.1641389552741661,0.99125,False
U56,20,66,1.367731290943121,1.536353113762868,-0.16862182281974714,0.99125,False
B136,4,57,1.4002045889243717,1.4320730644715534,-0.03186847554718164,0.86525,False
B136,8,66,1.363926969789241,1.4414706263838666,-0.07754365659462548,0.9105,False
B136,14,66,1.3070955886342575,1.4409241864526101,-0.13382859781835266,0.984,False
B136,20,66,1.3008143159211727,1.4400679085943973,-0.13925359267322457,0.98675,False
SMALL,4,54,0.7512712107636851,0.7684204534594834,-0.017149242695798317,0.82325,False
SMALL,8,56,0.6591334125186781,0.7761356031208972,-0.11700219060221917,0.9865,False
SMALL,14,58,1.0678711118968989,1.0799444321065639,-0.012073320209665006,0.577,False
SMALL,20,58,1.0677554545042445,1.0796782948101251,-0.011922840305880644,0.57725,False
