panel,rung,tie,dp,n,CAGR,Sharpe,MaxDD,H1,H2,oos_Sharpe,oos_CAGR,oos_MaxDD,p4a,p4b,is_Sharpe
U56,10,-,SPY,0,0.1515424356997792,0.8855285842005364,-0.33717235283398295,0.9586939217909282,0.8256586922139754,0.8757783801289708,0.15315660628921846,-0.33717235283398284,False,False,
U56,10,-,RULESv2,0,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,1.2788365375971418,0.09481988847882739,-0.12054946142590728,False,False,
U56,25,-,SPY,0,0.1515424356997792,0.8855285842005364,-0.33717235283398295,0.9586939217909282,0.8256586922139754,0.8757783801289708,0.15315660628921846,-0.33717235283398284,False,False,
U56,25,-,RULESv2,0,0.08342936664540979,1.164549391629259,-0.12092634875468744,1.1930457098338718,1.1423243244859869,1.2419798947110108,0.09188615777182041,-0.12092634875468711,False,False,
U56,10,ALPHA,dp0,5,0.25532104921209076,1.1625890491875437,-0.30628741567053497,1.1473238774697636,1.1801598286505892,1.201884615072641,0.2774432782359977,-0.3062874156705342,False,False,1.1129677722219933
U56,10,ALPHA,dp0,10,0.17951987868951735,1.030518812305254,-0.27312686857881274,1.0596911747252236,1.009104230450695,1.0579946783346743,0.19193251430935732,-0.27312686857881296,False,False,0.9961014907808875
U56,10,ALPHA,dp0,20,0.21947551517489505,1.229431705115137,-0.2783674088235947,1.2851233779693283,1.1991720334294287,1.2521904713672387,0.2416986845720961,-0.27836740882359456,False,False,1.2078587156936278
U56,10,ALPHA,dp1,5,0.2849587164801648,1.075014440445724,-0.365316556757739,1.1780951993528077,1.0163559939382907,1.026874679795017,0.2949281134050843,-0.3653165567577391,False,False,1.1708549369468189
U56,10,ALPHA,dp1,10,0.21752511307581868,1.0518911038343743,-0.2984565481642639,1.1931651844793092,0.9569193512234697,1.0015401035751115,0.22276854281655156,-0.29845654816426403,False,False,1.1425142563619284
U56,10,ALPHA,dp1,20,0.21670163038632984,1.21625603812383,-0.2831107905350325,1.2846631892238256,1.1767539025231646,1.2458468880143287,0.2411927683552293,-0.2831107905350323,False,False,1.1856980546816693
U56,10,ALPHA,dp2,5,0.2975540432069297,1.0988375304709368,-0.36531655675773933,1.2599330120099923,1.003708696948486,1.0140217782865586,0.2967178953544978,-0.36531655675773933,False,False,1.261218948874324
U56,10,ALPHA,dp2,10,0.21944120378935095,1.0642196466079314,-0.3011406269037886,1.1495154406417616,1.0134386821258936,1.0480610139485056,0.23485043138171213,-0.30114062690378873,False,False,1.1043878365002988
U56,10,ALPHA,dp2,20,0.2028088995210653,1.1554691716505057,-0.28476988536340564,1.2703760225790417,1.0786401795123362,1.1435928051919324,0.2164695872267206,-0.28476988536340564,False,False,1.1850730536784568
U56,10,ALPHA,dp3,5,0.3026858558690608,1.1137002689121045,-0.3653165567577391,1.2549402802199578,1.0338268118399165,1.0421805170826108,0.30785065960576863,-0.3653165567577392,False,False,1.2557266215590352
U56,10,ALPHA,dp3,10,0.22290693983211418,1.0776445640086132,-0.30114062690378884,1.1545046708674134,1.033282260839397,1.0649690373945837,0.23952160568830694,-0.30114062690378873,False,False,1.1124525723662473
U56,10,ALPHA,dp3,20,0.20311403006550033,1.1573587174069133,-0.28324463896098084,1.2638814017711557,1.0870972809378847,1.154453250052771,0.21882441000457664,-0.2832446389609804,False,False,1.1738010009323327
U56,10,ALPHA,dp4,5,0.3031867769331187,1.1151234861301758,-0.3653165567577391,1.2577060526141015,1.0343227909133772,1.0426433394163717,0.3080422056138956,-0.3653165567577392,False,False,1.258760061273737
U56,10,ALPHA,dp4,10,0.2227040346935074,1.0765758812869595,-0.3011406269037886,1.1532998523803446,1.0322438464112373,1.0639897019364564,0.239286954562131,-0.30114062690378873,False,False,1.1111652839918211
U56,10,ALPHA,dp4,20,0.2030799659832867,1.1572258190955311,-0.2832446389609806,1.2629253790626889,1.0876265431275218,1.1549499443723517,0.2189360479890008,-0.28324463896098073,False,False,1.1727542379622902
