classifier,bar,kind,n,pass_native,pass_flat_bar,pass_bar_plus_q,n_with_bar,pass_native_plus_q
NARROW,1e-06,CONST,7,2,0,1,7,6
NARROW,1e-06,ARTEFACT,16,12,12,12,16,12
NARROW,1e-06,SELF,132,121,116,116,132,121
NARROW,0.0001,CONST,7,2,1,1,7,6
NARROW,0.0001,ARTEFACT,16,12,13,13,16,12
NARROW,0.0001,SELF,132,121,117,117,132,121
NARROW,0.0005,CONST,7,2,1,5,7,6
NARROW,0.0005,ARTEFACT,16,12,13,13,16,12
NARROW,0.0005,SELF,132,121,118,118,132,121
NARROW,0.001,CONST,7,2,5,5,7,6
NARROW,0.001,ARTEFACT,16,12,13,13,16,12
NARROW,0.001,SELF,132,121,122,122,132,121
NARROW,0.01,CONST,7,2,7,7,7,6
NARROW,0.01,ARTEFACT,16,12,15,15,16,12
NARROW,0.01,SELF,132,121,130,130,132,121
MID,1e-06,CONST,8,3,0,2,8,7
MID,1e-06,ARTEFACT,30,20,18,18,30,20
MID,1e-06,SELF,117,112,110,110,117,112
MID,0.0001,CONST,8,3,1,2,8,7
MID,0.0001,ARTEFACT,30,20,20,20,30,20
MID,0.0001,SELF,117,112,110,110,117,112
MID,0.0005,CONST,8,3,1,6,8,7
MID,0.0005,ARTEFACT,30,20,20,20,30,20
MID,0.0005,SELF,117,112,111,111,117,112
MID,0.001,CONST,8,3,5,6,8,7
MID,0.001,ARTEFACT,30,20,22,22,30,20
MID,0.001,SELF,117,112,113,113,117,112
MID,0.01,CONST,8,3,8,8,8,7
MID,0.01,ARTEFACT,30,20,28,28,30,20
MID,0.01,SELF,117,112,116,116,117,112
WIDE,1e-06,CONST,9,4,1,3,9,8
WIDE,1e-06,ARTEFACT,38,27,24,24,38,27
WIDE,1e-06,SELF,108,104,103,103,108,104
WIDE,0.0001,CONST,9,4,2,3,9,8
WIDE,0.0001,ARTEFACT,38,27,26,26,38,27
WIDE,0.0001,SELF,108,104,103,103,108,104
WIDE,0.0005,CONST,9,4,2,7,9,8
WIDE,0.0005,ARTEFACT,38,27,26,26,38,27
WIDE,0.0005,SELF,108,104,104,104,108,104
WIDE,0.001,CONST,9,4,6,7,9,8
WIDE,0.001,ARTEFACT,38,27,29,29,38,27
WIDE,0.001,SELF,108,104,105,105,108,104
WIDE,0.01,CONST,9,4,9,9,9,8
WIDE,0.01,ARTEFACT,38,27,36,36,38,27
WIDE,0.01,SELF,108,104,107,107,108,104
