panel,ladder,stat,k,n_subsets,n_fire,share,core_fires
U56,H,S_FULL,4,126,126,1.0,True
U56,H,S_OOS,4,126,111,0.8809523809523809,True
U56,H,CAGR,4,126,74,0.5873015873015873,True
U56,H,DD,4,126,126,1.0,True
U56,CADENCE,S_FULL,4,126,20,0.15873015873015872,True
U56,CADENCE,S_OOS,4,126,71,0.5634920634920635,True
U56,CADENCE,CAGR,4,126,16,0.12698412698412698,True
U56,CADENCE,DD,4,126,126,1.0,True
B136,H,S_FULL,4,126,126,1.0,True
B136,H,S_OOS,4,126,105,0.8333333333333334,True
B136,H,CAGR,4,126,90,0.7142857142857143,True
B136,H,DD,4,126,126,1.0,True
B136,CADENCE,S_FULL,4,126,49,0.3888888888888889,True
B136,CADENCE,S_OOS,4,126,61,0.48412698412698413,True
B136,CADENCE,CAGR,4,126,43,0.3412698412698413,True
B136,CADENCE,DD,4,126,126,1.0,True
SMALL,H,S_FULL,4,126,70,0.5555555555555556,False
SMALL,H,S_OOS,4,126,46,0.36507936507936506,True
SMALL,H,CAGR,4,126,70,0.5555555555555556,False
SMALL,H,DD,4,126,126,1.0,True
SMALL,CADENCE,S_FULL,4,126,20,0.15873015873015872,True
SMALL,CADENCE,S_OOS,4,126,47,0.373015873015873,False
SMALL,CADENCE,CAGR,4,126,60,0.47619047619047616,True
SMALL,CADENCE,DD,4,126,55,0.4365079365079365,True
