panel,book,gate,cost,pick,conv,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_rank,n_arms,conv_right,beat_ctl,ctl_Sharpe,beat_SPY,spy_Sharpe,v1_Sharpe,rho
u56,EWall,abs12,10.0,63/rw,rw,1.15347961013684,0.10200977253787569,0.9465331662158625,-0.25224632293961613,10,10,False,False,1.1357379992068701,True,0.8820107671822842,0.747063834691694,-0.32121212121212117
u56,EWall,abs12,25.0,252/rw,rw,1.0555839713929276,0.11133338678938265,0.9610300281977513,-0.20460893094821742,8,10,False,False,1.1250416500196643,True,0.8820107671822842,0.39920030769495,0.38181818181818183
u56,EWall,band3,10.0,8/rw,rw,1.1755770191950194,0.1417149748420583,1.184978156760947,-0.1970055137009965,7,10,False,True,1.1357379992068701,True,0.8820107671822842,0.747063834691694,-0.2727272727272727
u56,EWall,band3,25.0,8/rw,rw,1.1395774020277303,0.13700534575826118,1.14916354301692,-0.1985080724092778,7,10,False,True,1.1250416500196643,True,0.8820107671822842,0.39920030769495,0.22424242424242422
u56,EWall,g200,10.0,100/rw,rw,1.1500826333895757,0.10248550675959911,0.9639224595929331,-0.20580394697824111,9,10,False,False,1.1357379992068701,True,0.8820107671822842,0.747063834691694,0.19999999999999998
u56,EWall,g200,25.0,200/dg,dg,0.9855097575873483,0.08589709240623744,1.196046729815989,-0.12079145061483687,1,10,True,True,1.1250416500196643,True,0.8820107671822842,0.39920030769495,0.4424242424242424
u56,EWall,v1gate,10.0,1/rw,rw,1.053117604774559,0.1170346030014775,1.0806230345305616,-0.17143998178428443,8,10,False,False,1.1357379992068701,True,0.8820107671822842,0.747063834691694,-0.5030303030303029
u56,EWall,v1gate,25.0,1/dg,dg,0.9672692205529075,0.0837520646407468,1.1840480002288458,-0.11789643176141107,2,10,False,True,1.1250416500196643,True,0.8820107671822842,0.39920030769495,0.38181818181818183
u56,EWall,vol60,10.0,1/rw,rw,1.1097475725295578,0.13491952345522185,1.1331037773702026,-0.21867630639632452,7,10,False,False,1.1357379992068701,True,0.8820107671822842,0.747063834691694,-0.6969696969696969
u56,EWall,vol60,25.0,1/dg,dg,1.0980093251407368,0.12878579457513384,1.110994830941659,-0.20974150597729657,8,10,False,False,1.1250416500196643,True,0.8820107671822842,0.39920030769495,-0.6363636363636362
u56,TOP20,abs12,10.0,126/dg,dg,1.1748555373598886,0.15759055797099863,1.165596304937189,-0.20184895209186005,1,10,True,False,1.1676752607259366,True,0.8820107671822842,0.747063834691694,0.6242424242424242
