claim_set,floor,cost,n_elig,pick,IS_margin_pp,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,BASE_CAGR,BASE_Sharpe,BASE_MaxDD,OOS_4a,OOS_4b_CURRENT,OOS_4b_PATH,OOS_fails_CURRENT
MEMO8,CURRENT,10.0,2,b136-r620-gross065-W,5.0862493486957066,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
MEMO8,CURRENT,25.0,2,u56-quantile50-respread-M,3.394955280640473,0.15354372836692054,1.1922932581023815,-0.1950386784282404,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09198885128979417,1.2486626209252925,-0.11934901538044951,False,True,True,-
MEMO8,CONST,10.0,5,b136-r620-gross065-W,8.660578729729252,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
MEMO8,CONST,25.0,4,b136-r620-gross065-W,6.721054234151969,0.12560440934926143,0.9169012159258129,-0.19522443236396747,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.0754425503501972,1.0632088689162957,-0.12222724191816259,False,True,True,-
MEMO8,PATH,10.0,5,b136-r620-gross065-W,8.660578729729252,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
MEMO8,PATH,25.0,4,b136-r620-gross065-W,6.721054234151969,0.12560440934926143,0.9169012159258129,-0.19522443236396747,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.0754425503501972,1.0632088689162957,-0.12222724191816259,False,True,True,-
PASS62,CURRENT,10.0,4,b136-r620-gross065-W,5.0862493486957066,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
PASS62,CURRENT,25.0,3,u56-quantile50-respread-M,3.394955280640473,0.15354372836692054,1.1922932581023815,-0.1950386784282404,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09198885128979417,1.2486626209252925,-0.11934901538044951,False,True,True,-
PASS62,CONST,10.0,9,b136-r620-gross065-W,8.660578729729252,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
PASS62,CONST,25.0,7,b136-r620-gross065-W,6.721054234151969,0.12560440934926143,0.9169012159258129,-0.19522443236396747,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.0754425503501972,1.0632088689162957,-0.12222724191816259,False,True,True,-
PASS62,PATH,10.0,9,b136-r620-gross065-W,8.660578729729252,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
PASS62,PATH,25.0,7,b136-r620-gross065-W,6.721054234151969,0.12560440934926143,0.9169012159258129,-0.19522443236396747,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.0754425503501972,1.0632088689162957,-0.12222724191816259,False,True,True,-
ALL62,CURRENT,10.0,5,b136-r620-gross065-W,5.0862493486957066,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
ALL62,CURRENT,25.0,3,u56-quantile50-respread-M,3.394955280640473,0.15354372836692054,1.1922932581023815,-0.1950386784282404,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09198885128979417,1.2486626209252925,-0.11934901538044951,False,True,True,-
ALL62,CONST,10.0,21,b136-r620-gross065-W,8.660578729729252,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
ALL62,CONST,25.0,19,b136-r620-gross065-W,6.721054234151969,0.12560440934926143,0.9169012159258129,-0.19522443236396747,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.0754425503501972,1.0632088689162957,-0.12222724191816259,False,True,True,-
ALL62,PATH,10.0,21,b136-r620-gross065-W,8.660578729729252,0.14516591165653137,1.039975569840315,-0.19432719349775063,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884958852905188,1.1079386067354258,-0.12178321671309567,False,True,True,-
ALL62,PATH,25.0,19,b136-r620-gross065-W,6.721054234151969,0.12560440934926143,0.9169012159258129,-0.19522443236396747,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.0754425503501972,1.0632088689162957,-0.12222724191816259,False,True,True,-
