claimset,stratum,method,n_quads,n_blocks,FLIP,SIMPSON,CANCEL,CANCEL0,med_abs_rho,med_spread
ALL,RANDOM2,pearson,43125,422,0.0029681159420289855,0.0,0.011269565217391305,0.009576811594202898,0.5123689532030117,0.037237368919629976
ALL,RANDOM2,spearman,43125,422,0.0038492753623188404,0.0,0.010991304347826088,0.009089855072463768,0.4817556774776026,0.04623983161610701
ALL,ROWHALF,pearson,43191,425,0.09846958857169318,0.002894121460489454,0.04996411289388993,0.022018476071403763,0.5121335212893924,0.1500517893422484
ALL,ROWHALF,spearman,43191,425,0.09974300201430854,0.002824662545437707,0.06459679099812461,0.026186010974508577,0.4817556774776026,0.168673702048856
ALL,arm,pearson,4964,49,0.11220789685737309,0.010878323932312651,0.05177276390008058,0.027800161160354553,0.46876259882595617,0.17804169460380542
ALL,arm,spearman,4964,49,0.10535858178887994,0.008863819500402902,0.06688154713940371,0.0362610797743755,0.43072056915510243,0.18526092296276578
ALL,book,pearson,14600,139,0.10493150684931507,0.019041095890410958,0.047602739726027396,0.028082191780821917,0.48522784677769676,0.19106790104159277
ALL,book,spearman,14600,139,0.1139041095890411,0.028904109589041094,0.051986301369863014,0.03349315068493151,0.4453411128273438,0.21390728476821186
ALL,bps,pearson,6749,74,0.015557860423766483,0.0007408504963698325,0.01452066972884872,0.01022373684990369,0.5182407129850254,0.04881691947346034
ALL,bps,spearman,6749,74,0.014076159431026818,0.00044451029782189953,0.017780411912875983,0.01274262853756112,0.4728921754105364,0.05516549957269007
ALL,cad,pearson,3381,29,0.025732031943212066,0.0011830819284235432,0.03046435965690624,0.020703933747412008,0.444393632306251,0.10516454190406743
ALL,cad,spearman,3381,29,0.024844720496894408,0.0011830819284235432,0.03904170363797693,0.03046435965690624,0.4392167834684451,0.12586872586872588
ALL,cadence,pearson,2893,28,0.038368475630833045,0.0034566194262011752,0.022813688212927757,0.015554787417905289,0.5134659394140803,0.08396391809171944
ALL,cadence,spearman,2893,28,0.030072589007950224,0.0024196335983408227,0.023159350155547875,0.01693743518838576,0.47351816438342476,0.09362671943069967
ALL,con,pearson,3726,32,0.12560386473429952,0.008319914117015567,0.05233494363929147,0.023617820719269995,0.44627749957000584,0.1712705390796727
ALL,con,spearman,3726,32,0.1511003757380569,0.018518518518518517,0.04750402576489533,0.0190552871712292,0.4425053891768063,0.16993080331381374
ALL,construction,pearson,105,1,0.0761904761904762,0.0,0.0761904761904762,0.0380952380952381,0.18453871279352688,0.0946221711727332
ALL,construction,spearman,105,1,0.047619047619047616,0.0,0.06666666666666667,0.0380952380952381,0.18226946969098456,0.23759789411597654
ALL,conv,pearson,5169,52,0.03637067130973109,0.001934610176049526,0.03424260011607661,0.019152640742890307,0.47665544283326433,0.08051564902838837
ALL,conv,spearman,5169,52,0.03114722383439737,0.0017411491584445734,0.032307989940027086,0.021667633971754693,0.44143129508530254,0.0898020462633452
ALL,cost,pearson,15883,141,0.02153245608512246,0.0022036139268400176,0.02524711956179563,0.017440030220990995,0.4972522496585825,0.08099277480800349
ALL,cost,spearman,15883,141,0.017377069823081282,0.0017628911414720142,0.02392495120569162,0.017125228231442424,0.4689992488285023,0.08568208807936228
ALL,dial,pearson,4554,45,0.1422924901185771,0.003513394817742644,0.07839262187088274,0.04216073781291173,0.5432860947655038,0.3388570725104434
ALL,dial,spearman,4554,45,0.15371102327624067,0.0032938076416337285,0.077733860342556,0.04589371980676329,0.5198166902647718,0.36639017842782645
ALL,family,pearson,7201,66,0.10720733231495626,0.00180530481877517,0.08346063046799056,0.04652131648382169,0.45537899809363463,0.22307762994625902
ALL,family,spearman,7201,66,0.08790445771420637,0.0008332176086654631,0.09554228579363977,0.06790723510623524,0.45138470913562967,0.21566609491137792
ALL,freq,pearson,2084,20,0.06190019193857965,0.0,0.03166986564299424,0.015355086372360844,0.44621150212664207,0.1200001285821013
ALL,freq,spearman,2084,20,0.05710172744721689,0.0019193857965451055,0.02831094049904031,0.014875239923224568,0.41417788324809196,0.11408073184066991
ALL,gross,pearson,12006,109,0.06046976511744128,0.03698150924537731,0.012993503248375811,0.00624687656171914,0.5178189544220543,0.003927299862451217
ALL,gross,spearman,12006,109,0.06746626686656672,0.04464434449441946,0.012243878060969516,0.005497251374312844,0.4854620175571608,0.0038172012403021593
ALL,kind,pearson,5815,51,0.11263972484952708,0.0010318142734307824,0.08271711092003439,0.043680137575236457,0.5195134642059243,0.1786105066384526
ALL,kind,spearman,5815,51,0.09785038693035254,0.002235597592433362,0.07566638005159071,0.04660361134995701,0.4887130714747974,0.18176682164351243
ALL,level,pearson,775,7,0.17419354838709677,0.0012903225806451613,0.08516129032258064,0.04774193548387097,0.4573822579421087,0.40161899891448316
ALL,level,spearman,775,7,0.14193548387096774,0.003870967741935484,0.08,0.05548387096774193,0.4397865215943946,0.376406202493159
ALL,mode,pearson,728,7,0.04532967032967033,0.0,0.06868131868131869,0.04807692307692308,0.43704937153513934,0.11555590485275413
ALL,mode,spearman,728,7,0.04807692307692308,0.0,0.06868131868131869,0.046703296703296704,0.46226365926622937,0.1281988677684316
ALL,panel,pearson,33194,312,0.17521238778092427,0.0280773633789239,0.04723745255166596,0.023136711453877207,0.5292666417784633,0.21442203848395014
ALL,panel,spearman,33194,312,0.1792793878411761,0.026510815207567633,0.05205760077122371,0.023166837380249442,0.4995319257572226,0.2326546997482486
ALL,universe,pearson,3443,34,0.0403717688062736,0.003194888178913738,0.038338658146964855,0.02062155097298867,0.4577400108782256,0.06897525587008639
ALL,universe,spearman,3443,34,0.04879465582340982,0.004066221318617485,0.04153354632587859,0.020331106593087424,0.41752073249731,0.10259955026292988
ALL,variant,pearson,169,3,0.1242603550295858,0.0,0.07100591715976332,0.04142011834319527,0.5753707644983412,0.292546262959012
ALL,variant,spearman,169,3,0.10650887573964497,0.0,0.09467455621301775,0.0650887573964497,0.591912538421929,0.35304054054054057
CANON,RANDOM2,pearson,2764,352,0.001808972503617945,0.0,0.004341534008683068,0.002532561505065123,0.7249802875294447,0.023308208477287262
CANON,RANDOM2,spearman,2764,352,0.001808972503617945,0.0,0.006874095513748191,0.006512301013024602,0.6792900910718744,0.030837959993970238
CANON,ROWHALF,pearson,2768,353,0.07767341040462428,0.0025289017341040463,0.04660404624277457,0.01842485549132948,0.7249802875294447,0.13044184264661346
CANON,ROWHALF,spearman,2768,353,0.07839595375722544,0.0032514450867052024,0.05491329479768786,0.024566473988439308,0.6792900910718744,0.1644762403279441
