book,arm,frac_pos_full,frac_pos_IS,frac_pos_OOS,N,block,stateful
TOP20,abs12-dg,1.0,0.7,1.0,10,0,False
TOP20,abs12-rw,0.1,0.3,0.1,10,0,False
TOP20,band3-dg,1.0,1.0,1.0,10,0,False
TOP20,band3-rw,1.0,0.6,1.0,10,0,False
TOP20,ddctl-8/.5/high,1.0,1.0,1.0,10,0,True
TOP20,ddctl-8/.5/recover,1.0,1.0,1.0,10,0,True
TOP20,ebud-0.10,1.0,0.9,1.0,10,0,True
TOP20,ebud-0.20,0.3,0.5,0.0,10,0,True
TOP20,g200-dg,1.0,1.0,1.0,10,0,False
TOP20,g200-rw,1.0,0.9,1.0,10,0,False
TOP20,stop15,0.1,0.3,0.1,10,0,True
TOP20,stop25,0.0,0.6,0.0,10,0,True
TOP20,v1gate-dg,1.0,0.9,1.0,10,0,False
TOP20,v1gate-rw,1.0,0.4,1.0,10,0,False
TOP20,vol60-dg,1.0,0.2,1.0,10,0,False
TOP20,vol60-rw,1.0,0.1,1.0,10,0,False
TOPALL,abs12-dg,1.0,1.0,1.0,10,0,False
TOPALL,abs12-rw,1.0,0.6,1.0,10,0,False
TOPALL,band3-dg,1.0,1.0,1.0,10,0,False
TOPALL,band3-rw,1.0,1.0,1.0,10,0,False
TOPALL,ddctl-8/.5/high,1.0,1.0,1.0,10,0,True
TOPALL,ddctl-8/.5/recover,1.0,1.0,1.0,10,0,True
TOPALL,ebud-0.10,0.2,1.0,0.0,10,0,True
TOPALL,ebud-0.20,0.2,0.5,0.0,10,0,True
TOPALL,g200-dg,1.0,1.0,1.0,10,0,False
TOPALL,g200-rw,1.0,1.0,1.0,10,0,False
TOPALL,stop15,0.3,0.3,0.3,10,0,True
TOPALL,stop25,0.0,0.0,0.0,10,0,True
TOPALL,v1gate-dg,1.0,1.0,1.0,10,0,False
TOPALL,v1gate-rw,1.0,1.0,1.0,10,0,False
TOPALL,vol60-dg,1.0,1.0,1.0,10,0,False
TOPALL,vol60-rw,1.0,0.8,1.0,10,0,False
TOP20,abs12-dg,1.0,0.2,1.0,10,1,False
TOP20,abs12-rw,0.4,0.2,0.4,10,1,False
TOP20,band3-dg,1.0,0.9,1.0,10,1,False
TOP20,band3-rw,1.0,0.6,1.0,10,1,False
TOP20,ddctl-8/.5/high,1.0,1.0,1.0,10,1,True
TOP20,ddctl-8/.5/recover,1.0,1.0,1.0,10,1,True
TOP20,ebud-0.10,0.9,0.8,0.9,10,1,True
TOP20,ebud-0.20,0.6,0.3,0.1,10,1,True
TOP20,g200-dg,1.0,1.0,1.0,10,1,False
TOP20,g200-rw,1.0,0.9,1.0,10,1,False
TOP20,stop15,0.2,0.1,0.2,10,1,True
TOP20,stop25,0.0,0.3,0.0,10,1,True
TOP20,v1gate-dg,1.0,0.6,1.0,10,1,False
TOP20,v1gate-rw,1.0,0.2,1.0,10,1,False
TOP20,vol60-dg,1.0,0.2,1.0,10,1,False
TOP20,vol60-rw,1.0,0.2,1.0,10,1,False
TOPALL,abs12-dg,1.0,1.0,1.0,10,1,False
TOPALL,abs12-rw,1.0,0.4,1.0,10,1,False
TOPALL,band3-dg,1.0,1.0,1.0,10,1,False
TOPALL,band3-rw,1.0,1.0,1.0,10,1,False
TOPALL,ddctl-8/.5/high,1.0,1.0,1.0,10,1,True
TOPALL,ddctl-8/.5/recover,1.0,1.0,1.0,10,1,True
TOPALL,ebud-0.10,0.5,0.9,0.0,10,1,True
TOPALL,ebud-0.20,0.7,0.5,0.0,10,1,True
TOPALL,g200-dg,1.0,1.0,1.0,10,1,False
TOPALL,g200-rw,1.0,1.0,1.0,10,1,False
TOPALL,stop15,0.4,0.5,0.4,10,1,True
TOPALL,stop25,0.0,0.2,0.0,10,1,True
TOPALL,v1gate-dg,1.0,1.0,1.0,10,1,False
TOPALL,v1gate-rw,1.0,1.0,1.0,10,1,False
TOPALL,vol60-dg,1.0,0.9,1.0,10,1,False
TOPALL,vol60-rw,1.0,0.7,1.0,10,1,False
TOP20,abs12-dg,0.9,0.5,0.9,10,2,False
TOP20,abs12-rw,0.1,0.1,0.1,10,2,False
TOP20,band3-dg,1.0,0.9,1.0,10,2,False
TOP20,band3-rw,1.0,0.5,1.0,10,2,False
TOP20,ddctl-8/.5/high,1.0,1.0,1.0,10,2,True
TOP20,ddctl-8/.5/recover,1.0,1.0,1.0,10,2,True
TOP20,ebud-0.10,1.0,1.0,1.0,10,2,True
TOP20,ebud-0.20,0.2,0.6,0.0,10,2,True
TOP20,g200-dg,1.0,0.8,1.0,10,2,False
TOP20,g200-rw,1.0,0.6,1.0,10,2,False
TOP20,stop15,0.2,0.0,0.2,10,2,True
TOP20,stop25,0.0,0.4,0.0,10,2,True
TOP20,v1gate-dg,1.0,0.7,1.0,10,2,False
TOP20,v1gate-rw,1.0,0.4,1.0,10,2,False
TOP20,vol60-dg,1.0,0.5,1.0,10,2,False
