claim_set,cadence,n_families,n_pass_rows,median_base,share_pass_on_hot_family,share_surviving
WIDE,M,365,1670,0.47619047619047616,0.6550898203592814,0.3449101796407186
WIDE,Q,351,1968,0.23809523809523808,0.49390243902439024,0.5060975609756098
WIDE,pooled,834,4097,0.30158730158730157,0.5804247010007323,0.4195752989992677
STRICT,M,286,1495,0.47619047619047616,0.6448160535117057,0.3551839464882943
STRICT,Q,266,1883,0.25396825396825395,0.5161975570897503,0.48380244291024965
STRICT,pooled,592,3577,0.2857142857142857,0.5616438356164384,0.4383561643835616
GRID,M,8,43,0.47619047619047616,0.627906976744186,0.37209302325581395
GRID,Q,6,47,0.4126984126984127,0.5531914893617021,0.44680851063829785
GRID,pooled,14,90,0.4126984126984127,0.5888888888888889,0.4111111111111111
