book,set,panel,epset,rung,conv,base_pass4b,base_halfmin,halfmin,binding_strip,binding_half,clause_pass,killed_by_clause,dd_minmargin,killed_by_dd_clause,all_legs_pass4b_everystrip
u56-v2band-gross100,SHELF,U56,QUEUE2,10.0,COUNT,True,0.27585141166781046,0.24503349331688185,BEAR2022,H1,True,False,0.042459139201932145,False,True
u56-v2band-gross100,SHELF,U56,QUEUE2,10.0,DATE,True,0.27585141166781046,0.22661166384614218,BEAR2022,H2,True,False,0.042459139201932145,False,True
u56-v2band-gross100,SHELF,U56,QUEUE2,25.0,COUNT,True,0.2381884297452289,0.20714322829321574,BEAR2022,H1,True,False,0.03824953825408753,False,False
u56-v2band-gross100,SHELF,U56,QUEUE2,25.0,DATE,True,0.2381884297452289,0.19066569870441819,BEAR2022,H2,True,False,0.03824953825408753,False,False
u56-v2band-gross100,SHELF,U56,REAL5,10.0,COUNT,True,0.27585141166781046,0.24503349331688185,BEAR2022,H1,True,False,0.042459139201931534,False,True
u56-v2band-gross100,SHELF,U56,REAL5,10.0,DATE,True,0.27585141166781046,0.22661166384614218,BEAR2022,H2,True,False,0.042459139201931534,False,True
u56-v2band-gross100,SHELF,U56,REAL5,25.0,COUNT,True,0.2381884297452289,0.20714322829321574,BEAR2022,H1,True,False,0.03824953825408692,False,False
u56-v2band-gross100,SHELF,U56,REAL5,25.0,DATE,True,0.2381884297452289,0.19066569870441819,BEAR2022,H2,True,False,0.03824953825408692,False,False
u56-v2band-gross100,SHELF,U56,PLACEBO3,10.0,COUNT,True,0.27585141166781046,0.26550942891144247,PLACEBO_2019,H1,True,False,0.043193651845283426,False,True
u56-v2band-gross100,SHELF,U56,PLACEBO3,10.0,DATE,True,0.27585141166781046,0.27464226505339706,PLACEBO_2017,H1,True,False,0.043193651845283426,False,True
u56-v2band-gross100,SHELF,U56,PLACEBO3,25.0,COUNT,True,0.2381884297452289,0.22794353369586118,PLACEBO_2019,H1,True,False,0.042713850016535465,False,True
u56-v2band-gross100,SHELF,U56,PLACEBO3,25.0,DATE,True,0.2381884297452289,0.23683873082306284,PLACEBO_2017,H1,True,False,0.042713850016535465,False,True
u56-band008-gross100,SHELF,U56,QUEUE2,10.0,COUNT,True,0.2400871561133523,0.15660000441730126,BEAR2022,H2,True,False,0.011797467724038113,False,True
