panel,family,mode,theta,gross,turn_yr,window,CAGR,Sharpe,MaxDD,H1,H2,beta_FULL,beta_DOWN,beta_ROLL,beta_DDWIN,dd_ratio,leg_DDCAP,leg_CAGR,leg_H1,leg_H2,pass4b,pass4a
U56,TREND,ROW,,0.25,0.6068224812056858,FULL,0.028506270552729696,1.201199221720831,-0.04099162088253072,1.2307538054473104,1.1780341994290893,0.10433166907856857,0.09656132287264683,0.13732781982533757,,0.12157456303092615,True,False,True,True,False,False
U56,TREND,ROW,,0.25,0.6068224812056858,IS,0.025247938203808662,1.1029524277293772,-0.026607538151037335,0.9178983737214793,1.3447357769807795,0.1019759982605038,0.09002169317201482,0.13724199112838575,0.06312480091119933,0.12060291609578758,True,False,True,True,False,False
U56,TREND,ROW,,0.25,0.6068224812056858,OOS,0.031197456020707337,1.2781513089646166,-0.04099162088253128,1.4134823628750555,1.1299134749147508,0.10606209491516044,0.10073077206200824,0.11457156904581789,,0.12157456303092787,True,False,True,True,False,False
U56,TREND,ROW,,0.5,1.19590169766028,FULL,0.0572599018279345,1.2012908100792083,-0.08117568893512128,1.2315328104064827,1.1775641186976964,0.2088059525058786,0.1933319556039357,0.2746915174066332,,0.24075405408590603,True,False,True,True,False,False
U56,TREND,ROW,,0.5,1.19590169766028,IS,0.0506227938757946,1.1036664597413963,-0.052900131251130356,0.9177039918081893,1.34658260356144,0.20399278732368226,0.1800891292142064,0.27447843861083354,0.12631547645878172,0.23977829344905005,True,False,True,True,False,False
U56,TREND,ROW,,0.5,1.19590169766028,OOS,0.06275738806571152,1.2777367500529102,-0.08117568893512095,1.4117348820264166,1.130927273149246,0.2123416631203734,0.20177503219673995,0.2292171421395293,,0.2407540540859052,True,False,True,True,False,False
U56,TREND,ROW,,0.75,1.7751520489439372,FULL,0.08622728356111953,1.201257610460695,-0.1205494795164489,1.2321996284386942,1.1769614323135538,0.31343168371119606,0.2903214592259251,0.4122079863291403,,0.3575303923164369,True,False,True,True,False,False
U56,TREND,ROW,,0.75,1.7751520489439372,IS,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.9173845158489563,1.3483428918653553,0.30605315222769786,0.27020561931471604,0.4117149251090423,0.18957448150355632,0.35749921975575266,True,False,True,True,False,False
U56,TREND,ROW,,0.75,1.7751520489439372,OOS,0.09464348447629689,1.2771844071673888,-0.12054947951644879,1.4098250186431198,1.1318314630395094,0.31885198433456774,0.30314632494054783,0.344149692186551,,0.3575303923164368,True,False,True,True,False,False
U56,TREND,ROW,,1.0,2.354065000825081,FULL,0.11537075945472508,1.2010825722250866,-0.15910995440549058,1.2327303099893139,1.176215516406188,0.41821816587037713,0.38753926735592226,0.5498107445011556,,0.4718945668469957,True,True,True,True,True,False
U56,TREND,ROW,,1.0,2.354065000825081,IS,0.10163036180711726,1.104743577494981,-0.10451924613333441,0.9169126807720049,1.349995978355094,0.40815997334121856,0.36037454901716875,0.548956698737165,0.25290526943076225,0.4737501756178845,True,False,True,True,False,False
U56,TREND,ROW,,1.0,2.354065000825081,OOS,0.12681530813545194,1.2764827179455565,-0.15910995440549058,1.4077350352073885,1.1326218055308512,0.4256070829435651,0.40485793861389374,0.4600419919739883,,0.47189456684699604,True,True,True,True,True,False
U56,TREND,AGG,0.2,0.25,0.41329243630632534,FULL,0.04040831315030635,1.1030988785648976,-0.0795203835737418,1.2350142137146989,0.9967521800961475,0.1875459431071949,0.188524295429607,0.21028501388818868,0.20357024526716477,0.23584468427666722,True,False,True,True,False,False
U56,TREND,AGG,0.2,0.25,0.41329243630632534,IS,0.03991904604078478,1.1407028336883578,-0.04065706436763572,1.0635164391549274,1.28628271500703,0.181511690293948,0.17153960738463542,0.21062117628143162,0.19971333232801594,0.1842846374887126,True,False,True,True,False,False
U56,TREND,AGG,0.2,0.25,0.41329243630632534,OOS,0.040811423661589075,1.0759839685051877,-0.07952038357374136,1.1913994989209602,0.9486701010360243,0.19198191534715495,0.19933549634000747,0.20771111511656953,0.20357024526716477,0.23584468427666605,True,False,True,True,False,False
U56,TREND,AGG,0.2,0.5,0.7936476144067288,FULL,0.08113466049148377,1.1037291601058556,-0.15455476862943018,1.2365720453988607,0.9968202544342705,0.3755942239532738,0.37762160300797637,0.420774825706117,0.41232304691455285,0.45838461753720294,True,False,True,True,False,False
U56,TREND,AGG,0.2,0.5,0.7936476144067288,IS,0.08026919797925558,1.1423488952117584,-0.08049299860061632,1.06535980189296,1.2876822234965544,0.3632234190435187,0.34316911915241094,0.4213579090459677,0.40030324218392677,0.36484737150137314,True,False,True,True,False,False
U56,TREND,AGG,0.2,0.5,0.7936476144067288,OOS,0.08184793583964622,1.0759212198185824,-0.15455476862943007,1.189090429533697,0.9510690577965135,0.3846884069660133,0.3995516093213051,0.4169254077519542,0.41232304691455285,0.45838461753720294,True,False,True,True,False,False
U56,TREND,AGG,0.2,0.75,1.1600938399316216,FULL,0.1220667336963619,1.1041276864800769,-0.22525880022924216,1.2379482939778117,0.9966491926784977,0.5642061452520422,0.5673532788705972,0.6316174253018539,0.6267488214912497,0.6680814180346721,False,True,True,True,False,False
U56,TREND,AGG,0.2,0.75,1.1600938399316216,IS,0.12095841195022139,1.1438160100327244,-0.11950116077672102,1.0670302873107245,1.2888955295866429,0.5451497509078842,0.5149005313908142,0.6322178217148453,0.6110597084869156,0.5416580964647504,True,True,True,True,True,False
U56,TREND,AGG,0.2,0.75,1.1600938399316216,OOS,0.12298031881009464,1.0756008346911132,-0.22525880022924205,1.1864808431482823,0.9532633964170458,0.5782151338239518,0.6007411500125182,0.6280830608864855,0.6267488214912497,0.6680814180346722,False,True,True,True,False,False
U56,TREND,AGG,0.2,1.0,1.5373290315903476,FULL,0.1630762299987698,1.1042562041735637,-0.2917898765942297,1.2390978565174537,0.9962103354972277,0.7534483573826104,0.7577846822363256,0.8436661371657981,0.8474063021176276,0.8654019036097519,False,True,True,True,False,False
U56,TREND,AGG,0.2,1.0,1.5373290315903476,IS,0.1618792793518311,1.1450565244185653,-0.1580706675354826,1.0684816445219159,1.28987122644502,0.727305273202215,0.6867466839114849,0.8431928286787078,0.8162073198471892,0.7164805456924136,False,True,True,True,False,False
U56,TREND,AGG,0.2,1.0,1.5373290315903476,OOS,0.16406290881303986,1.074993590582454,-0.29178987659422995,1.1835418273764142,0.955226231376049,0.7726670159826081,0.8030029433982921,0.8404710096977748,0.8474063021176276,0.8654019036097531,False,True,True,True,False,False
U56,TREND,AGG,0.4,0.25,0.5979338124969734,FULL,0.033644392560366665,1.0752845199341237,-0.06191007852850383,1.0404309243608063,1.1095715103590467,0.13522356622929832,0.12913651956348177,0.18247594588648863,,0.1836153482654989,True,False,True,True,False,False
U56,TREND,AGG,0.4,0.25,0.5979338124969734,IS,0.02764199111061294,0.912200657941946,-0.058694786026770585,0.7113226635746541,1.1991970158226346,0.13527623705599287,0.12261019027099775,0.18217023525641823,0.09285334034087471,0.2660434916700793,True,False,False,True,False,False
U56,TREND,AGG,0.4,0.25,0.5979338124969734,OOS,0.03861400877684118,1.2037179227213097,-0.06191007852850383,1.3152093771556113,1.0820181602407903,0.1351823740766363,0.13329024805674827,0.14513251199126492,,0.18361534826549902,True,False,True,True,False,False
U56,TREND,AGG,0.4,0.5,1.1724618244467693,FULL,0.06745405390165415,1.0751965899991593,-0.12186285103511407,1.0413178890786279,1.1086568338723337,0.27089878818134366,0.2588512328274698,0.36500659014394715,,0.36142564127320675,True,False,True,True,False,False
U56,TREND,AGG,0.4,0.5,1.1724618244467693,IS,0.055158172045295384,0.9131528248614406,-0.1144843822513274,0.7124263563195143,1.2000613784453429,0.27073034018404185,0.24533470920215106,0.36439539828739786,0.1864098584761161,0.5189187465807173,True,False,False,True,False,False
