q,n_draws,pick_top10,pick_top20,pick_top30,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,EWall_OOS_Sharpe,base_OOS_Sharpe,base_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_CAGR,beats_base,beats_SPY,pass4b,pass4a
0.0,20,0.25,0.15,0.6,0.10852474746951066,1.032240022171477,-0.16140099730778235,1.0050195427555846,1.1123131187190456,0.08853723432962429,0.882010501050508,0.1545072390908963,0.15,0.9,0.5,0.0
0.05,20,0.3,0.05,0.65,0.09845342398207674,0.9984943977247721,-0.16359505328562446,0.9139625784326032,1.0360352073586734,0.08544052904432005,0.882010501050508,0.1545072390908963,0.1,0.8,0.1,0.0
0.1,20,0.35,0.25,0.4,0.10311684128099435,0.9298832861695792,-0.1788818548002899,0.9264300192871953,1.0204664407694684,0.08206668655933255,0.882010501050508,0.1545072390908963,0.2,0.75,0.15,0.0
0.15,20,0.4,0.45,0.15,0.11419929944487556,0.993365905521313,-0.18738783758976804,0.9851428970481577,1.0678738878388683,0.08421105108975285,0.882010501050508,0.1545072390908963,0.15,0.85,0.3,0.0
0.2,20,0.2,0.2,0.6,0.09075882206956926,0.9397360869179916,-0.15714975192230946,0.9113621942165452,0.9782427854436628,0.076198480854741,0.882010501050508,0.1545072390908963,0.25,0.7,0.2,0.0
0.25,20,0.4,0.35,0.25,0.1050865503264638,0.9030573568119344,-0.18840273832157417,0.8511542605455624,0.9941734605712471,0.07804051597178771,0.882010501050508,0.1545072390908963,0.2,0.6,0.2,0.0
0.3,20,0.15,0.45,0.4,0.0881430124852087,0.9374126361124369,-0.16231376003148545,0.8799048043226252,0.9465762147964241,0.07617845921198595,0.882010501050508,0.1545072390908963,0.35,0.55,0.2,0.0
0.35,20,0.3,0.5,0.2,0.09823608554919315,0.8487661216368196,-0.1809868528565044,0.8318826666688639,0.9272493066056047,0.06851095497225104,0.882010501050508,0.1545072390908963,0.35,0.4,0.1,0.0
0.4,20,0.2,0.5,0.3,0.08865920575801564,0.8841151491377546,-0.1627620271549294,0.7970374448156498,0.8517288631607245,0.0633711957540668,0.882010501050508,0.1545072390908963,0.35,0.5,0.15,0.05
0.45,20,0.35,0.4,0.25,0.08843192083513525,0.8189757642425456,-0.18224366996692076,0.7722994473872085,0.9838109767215253,0.07792235091216246,0.882010501050508,0.1545072390908963,0.1,0.45,0.15,0.0
0.5,20,0.2,0.5,0.3,0.07425307280078325,0.7193755049719672,-0.15689707919117424,0.7603138762303593,0.8472939739392447,0.06435548940586605,0.882010501050508,0.1545072390908963,0.25,0.15,0.05,0.0
0.55,20,0.3,0.35,0.35,0.06370242141823354,0.65030542946748,-0.1788339618429958,0.584179507741563,0.7886855291052524,0.0597813201893312,0.882010501050508,0.1545072390908963,0.1,0.0,0.0,0.05
0.6,20,0.2,0.55,0.25,0.06847887707666786,0.6495838485581866,-0.1938730181854877,0.6322126411903833,0.798217104864731,0.057978891564051255,0.882010501050508,0.1545072390908963,0.05,0.05,0.05,0.0
0.65,20,0.2,0.35,0.45,0.05968838157981335,0.6319437574166743,-0.1703852605630101,0.5503141441387851,0.7416625185785741,0.0550734236235412,0.882010501050508,0.1545072390908963,0.05,0.05,0.0,0.0
0.7,20,0.15,0.6,0.25,0.052658773700717795,0.550487100695354,-0.1734407280752464,0.5111217132728092,0.7044346774642049,0.05439072611561,0.882010501050508,0.1545072390908963,0.15,0.05,0.0,0.0
0.75,20,0.3,0.55,0.15,0.0497160279272237,0.5037927646660308,-0.20553738630629825,0.49437946116745235,0.6729285086115202,0.05323510606537825,0.882010501050508,0.1545072390908963,0.2,0.0,0.0,0.0
0.8,20,0.35,0.4,0.25,0.058830275067736595,0.5519727342170992,-0.1917487758471762,0.5389297591297084,0.6784507530487792,0.052903753090817254,0.882010501050508,0.1545072390908963,0.1,0.0,0.0,0.0
0.85,20,0.3,0.25,0.45,0.0323419369880919,0.3821928862480236,-0.2102504171365616,0.33062671828275325,0.608142611603837,0.0477853957349675,0.882010501050508,0.1545072390908963,0.1,0.0,0.0,0.0
0.9,20,0.35,0.55,0.1,0.032657575364924155,0.34202277176658047,-0.2482297821783954,0.3601455078603528,0.5325745826131416,0.0405345647534696,0.882010501050508,0.1545072390908963,0.2,0.0,0.0,0.0
0.95,20,0.5,0.45,0.05,0.0268408032188837,0.2643397027374025,-0.25397196808866523,0.28041802416114536,0.4065322077526188,0.03029987515089045,0.882010501050508,0.1545072390908963,0.1,0.0,0.0,0.0
1.0,20,0.2,0.75,0.05,0.01739276036963195,0.21468012536975684,-0.2797840332424051,0.14749084402420953,0.5195500601529308,0.039178224695832695,0.882010501050508,0.1545072390908963,0.0,0.0,0.0,0.0
