panel,k,book,N,IS_rate,OOS_rate,full_rate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
B136,20,CAND20,150,0.0,0.0,0.0,0.06710250642655195,0.9749222765265478,-0.1178976764836928
B136,20,EWall,150,0.1,0.13333333333333333,0.09333333333333334,0.10278612313068936,0.9165030631101342,-0.20397407017112357
B136,40,CAND20,150,0.15333333333333332,0.43333333333333335,0.32,0.10594142683931915,0.9961401429175238,-0.18080855818514244
B136,40,EWall,150,0.24666666666666667,0.24666666666666667,0.22666666666666666,0.10449753805622435,0.9712066411608472,-0.19639647301638574
B136,80,CAND20,150,0.29333333333333333,0.24,0.35333333333333333,0.11759881138719294,0.9289819623151494,-0.19816478220221545
B136,80,EWall,150,0.49333333333333335,0.26,0.38666666666666666,0.10505073121425065,0.9980788696416746,-0.18532928458802228
SMALL,60,CAND20,150,0.0,0.0,0.0,0.0224116079055273,0.23787287696081466,-0.292878724213931
SMALL,60,EWall,150,0.0,0.0,0.0,0.03151841754393695,0.2725771425451623,-0.41242280288700517
SMALL,120,CAND20,150,0.0,0.0,0.0,0.0583249709129265,0.4491424859607218,-0.3041688351270176
SMALL,120,EWall,150,0.0,0.0,0.0,0.0402149930991929,0.33572347365362254,-0.38279420197284597
SMALL,240,CAND20,150,0.0,0.0,0.0,0.05976283251897415,0.433888327258685,-0.2887142417977136
SMALL,240,EWall,150,0.0,0.0,0.0,0.04436683251438005,0.3648396094882115,-0.37119984539212103
U56,14,CAND20,150,0.0,0.0,0.0,0.057742532484154896,1.1519881834393924,-0.07582468788008401
U56,14,EWall,150,0.05333333333333334,0.28,0.10666666666666667,0.110894155975921,0.9864405641997567,-0.2040772703061744
U56,28,CAND20,150,0.02,0.5866666666666667,0.13333333333333333,0.11086772309665165,1.2145835285129403,-0.13874822920885177
U56,28,EWall,150,0.12666666666666668,0.5,0.2733333333333333,0.1119742632610879,1.054770363422389,-0.1690734620075665
U56,42,CAND20,150,0.02,0.9933333333333333,0.76,0.1351892151018224,1.2017090354165358,-0.17505620554507245
U56,42,EWall,150,0.04666666666666667,0.74,0.41333333333333333,0.11248376127462055,1.1003464735676387,-0.16323297784446905
