period,bar,k,n_side,pass_B,pass_S,ratio,capped,dropH1_ratio,failH1_B,failH1_S,dropH2_ratio,failH2_B,failH2_S,dropDD_ratio,failDD_B,failDD_S,dropCAGR_ratio,failCAGR_B,failCAGR_S,leg,book,CAGR,Sharpe,MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b,cond,crude_OR,MH_OR,STD_DIFF,n_same_decile,MH_OR_samedecile,STD_DIFF_samedecile,dropOOS_ratio,SHARPEonly_B,SHARPEonly_S,SHARPEonly_ratio,LEVELonly_B,LEVELonly_S,LEVELonly_ratio,arm
FULL,0.6,18.0,1152.0,948.0,338.0,2.8047337278106506,False,2.8047337278106506,0.0026041666666666665,0.057291666666666664,1.9327902240325865,0.0026041666666666665,0.5,2.0071174377224197,0.15885416666666666,0.3090277777777778,2.767908309455587,0.017361111111111112,0.3263888888888889,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,0.6,36.0,1152.0,998.0,332.0,3.0060240963855422,False,3.0060240963855422,0.0,0.0234375,2.16017316017316,0.0,0.4973958333333333,2.110294117647059,0.13020833333333334,0.3289930555555556,2.730245231607629,0.003472222222222222,0.3576388888888889,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,0.6,72.0,288.0,278.0,74.0,3.756756756756757,False,3.756756756756757,0.0,0.041666666666666664,2.5981308411214954,0.0,0.6041666666666666,2.571428571428571,0.034722222222222224,0.3368055555555556,3.6578947368421053,0.0,0.3680555555555556,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,0.8,18.0,1152.0,436.0,128.0,3.40625,False,3.4687500000000004,0.036458333333333336,0.22916666666666666,3.2279411764705883,0.04774305555555555,0.6102430555555556,2.215777262180975,0.4982638888888889,0.6267361111111112,3.7692307692307687,0.12065972222222222,0.4644097222222222,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,0.8,36.0,1152.0,465.0,123.0,3.7804878048780486,False,3.829268292682927,0.010416666666666666,0.21961805555555555,3.758064516129032,0.0026041666666666665,0.5546875,2.373239436619718,0.4765625,0.6484375,3.94,0.11371527777777778,0.4652777777777778,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,0.8,72.0,288.0,141.0,24.0,5.875,False,5.875,0.0,0.13541666666666666,5.875,0.0,0.75,3.4166666666666665,0.3645833333333333,0.6666666666666666,7.625,0.14583333333333334,0.4965277777777778,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,1.0,18.0,1152.0,88.0,18.0,4.888888888888889,False,5.5,0.2309027777777778,0.4904513888888889,5.055555555555555,0.1987847222222222,0.7248263888888888,1.9652777777777777,0.6753472222222222,0.8402777777777778,9.423076923076923,0.3064236111111111,0.5928819444444444,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,1.0,36.0,1152.0,123.0,1.0,123.0,False,134.0,0.20052083333333334,0.5642361111111112,124.00000000000001,0.028645833333333332,0.6848958333333334,2.869918699186992,0.6501736111111112,0.8585069444444444,11.576923076923077,0.2508680555555556,0.6649305555555556,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,1.0,72.0,288.0,14.0,0.0,29.000000000000004,True,29.000000000000004,0.0,0.3958333333333333,29.000000000000004,0.03125,1.0,369.0,0.6076388888888888,0.8854166666666666,219.0,0.3472222222222222,0.6736111111111112,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
FULL,1.25,18.0,1152.0,1.0,0.0,3.0,True,3.0,0.7161458333333334,0.6805555555555556,3.0,0.7630208333333334,0.9131944444444444,0.95,0.9010416666666666,0.9670138888888888,23.0,0.4904513888888889,0.7456597222222222,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
