panel,family,cost,split,n_rungs,n_FULL,n_IS,n_IS4,full_nonempty,is_nonempty,is4_nonempty,ex_post_only,ex_post_only4,n_both,jaccard,IS_contains_FULL,FULL_contains_IS,full_band,is_band
B136,BAND,10,2016-12-31,28,5,5,5,True,True,True,False,False,5,1.0,True,True,c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00,c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00
B136,BAND,10,2018-12-31,28,5,9,9,True,True,True,False,False,5,0.5555555555555556,True,False,c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00,c=0.00|G=1.00; c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=0.85; c=0.08|G=1.00; c=0.12|G=0.85; c=0.12|G=1.00
B136,BAND,25,2016-12-31,28,2,3,3,True,True,True,False,False,2,0.6666666666666666,True,False,c=0.08|G=1.00; c=0.12|G=1.00,c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=1.00
B136,BAND,25,2018-12-31,28,1,9,9,True,True,True,False,False,1,0.1111111111111111,True,False,c=0.08|G=1.00,c=0.00|G=1.00; c=0.01|G=1.00; c=0.02|G=1.00; c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=0.85; c=0.08|G=1.00; c=0.12|G=0.85; c=0.12|G=1.00
B136,BAND,50,2016-12-31,28,2,2,2,True,True,True,False,False,2,1.0,True,True,c=0.08|G=1.00; c=0.12|G=1.00,c=0.08|G=1.00; c=0.12|G=1.00
B136,BAND,50,2018-12-31,28,0,5,5,False,True,True,False,False,0,0.0,False,False,,c=0.03|G=1.00; c=0.05|G=1.00; c=0.08|G=1.00; c=0.12|G=0.85; c=0.12|G=1.00
B136,VOLTGT,10,2016-12-31,50,39,13,13,True,True,True,False,False,13,0.3333333333333333,False,True,t=0.08|h=0.16; t=0.08|h=0.20; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.16|h=0.20; t=0.16|h=0.25; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.02; t=0.20|h=0.03; t=0.20|h=0.05; t=0.20|h=0.12; t=0.20|h=0.16,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.16; t=0.12|h=0.20; t=0.16|h=0.25
B136,VOLTGT,10,2018-12-31,50,39,21,21,True,True,True,False,False,13,0.2765957446808511,False,False,t=0.08|h=0.16; t=0.08|h=0.20; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.16|h=0.20; t=0.16|h=0.25; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.02; t=0.20|h=0.03; t=0.20|h=0.05; t=0.20|h=0.12; t=0.20|h=0.16,t=0.08|h=0.00; t=0.08|h=0.01; t=0.08|h=0.02; t=0.08|h=0.03; t=0.08|h=0.05; t=0.08|h=0.08; t=0.08|h=0.12; t=0.08|h=0.16; t=0.08|h=0.20; t=0.08|h=0.25; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.20
B136,VOLTGT,25,2016-12-31,50,37,9,9,True,True,True,False,False,9,0.24324324324324326,False,True,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.16|h=0.20; t=0.16|h=0.25; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.02; t=0.20|h=0.03; t=0.20|h=0.05; t=0.20|h=0.12; t=0.20|h=0.16,t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.16; t=0.12|h=0.20; t=0.16|h=0.25
B136,VOLTGT,25,2018-12-31,50,37,17,17,True,True,True,False,False,11,0.2558139534883721,False,False,t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.00; t=0.12|h=0.01; t=0.12|h=0.02; t=0.12|h=0.03; t=0.12|h=0.05; t=0.12|h=0.08; t=0.12|h=0.12; t=0.12|h=0.16; t=0.12|h=0.20; t=0.12|h=0.25; t=0.16|h=0.00; t=0.16|h=0.01; t=0.16|h=0.02; t=0.16|h=0.03; t=0.16|h=0.05; t=0.16|h=0.08; t=0.16|h=0.12; t=0.16|h=0.16; t=0.16|h=0.20; t=0.16|h=0.25; t=0.20|h=0.00; t=0.20|h=0.01; t=0.20|h=0.02; t=0.20|h=0.03; t=0.20|h=0.05; t=0.20|h=0.12; t=0.20|h=0.16,t=0.08|h=0.05; t=0.08|h=0.08; t=0.08|h=0.12; t=0.08|h=0.16; t=0.08|h=0.20; t=0.08|h=0.25; t=0.10|h=0.00; t=0.10|h=0.01; t=0.10|h=0.02; t=0.10|h=0.03; t=0.10|h=0.05; t=0.10|h=0.08; t=0.10|h=0.12; t=0.10|h=0.16; t=0.10|h=0.20; t=0.10|h=0.25; t=0.12|h=0.20
