,H2_Sharpe_without
WFC,0.8435762258214131
QCOM,0.8402955967641538
USO,0.8385247027230359
AXP,0.8343042001150903
JPM,0.8329122979420495
BLK,0.8320808843858254
XLE,0.8282922980330973
COP,0.8279859865780321
ABBV,0.8275400093343307
DBC,0.8261132152238199
CRM,0.8257642899262114
UNP,0.8252174419272212
PGR,0.8239115434613911
TMO,0.8238421065622373
META,0.8232979790323026
PEP,0.8232801976847887
AMD,0.8232127424416068
BRK-B,0.8225733421492265
SHW,0.8223374622575546
DUK,0.822216326696313
XLU,0.8222093926988199
V,0.8221716570145031
IBM,0.8219682986887153
SYK,0.8218530015168412
CMG,0.8218389835157779
KO,0.8216144850072719
ANET,0.8210232867808046
HON,0.8209390730279564
NFLX,0.8208789070846075
PM,0.820764286692962
LIN,0.8207480037469101
BA,0.8205399898047331
TXN,0.8200034851112946
ISRG,0.8199583549417532
REGN,0.8198189014274203
BKNG,0.8195807226402616
ADP,0.8194765820421807
AMZN,0.8192957690780323
SCHW,0.8192345318484711
UNH,0.8190394146533868
CB,0.818829414185797
MO,0.8187064963080173
NEE,0.8186573896295744
MCD,0.81862982174289
BAC,0.8181074031690454
MDLZ,0.8175329059761507
XLF,0.8174167922083111
T,0.8171340309577823
MDT,0.816820839607391
KRE,0.8167750783095228
UUP,0.816754418065589
XLY,0.8164200348099585
PG,0.8162832970423696
LOW,0.8162829121394362
HD,0.8160903262890797
SO,0.8158609268938746
XLB,0.8149827122591979
ORCL,0.8147392356308574
LMT,0.8146357518893469
PFE,0.8140645459732094
ICE,0.8139819028640671
XLRE,0.8139080084393039
SHY,0.8136943669844692
XLP,0.8136085642009252
VTI,0.8135078772658964
RSP,0.8135078772658964
HYG,0.8135078772658964
SPY,0.8135078772658964
EFA,0.8135078772658964
DIA,0.8135078772658964
MMC,0.8135078772658964
XLC,0.8134633995194877
IEF,0.8132597424786495
AMGN,0.8132251461056972
TIP,0.8131599560222964
LQD,0.8131204247505753
XLV,0.8129129144201921
DHR,0.812518816410828
PLD,0.8124788868453876
BSX,0.8124040884987382
UBER,0.8123062781786297
ETN,0.8118646469660797
SBUX,0.8118534882727247
ABT,0.8118176095996903
MSFT,0.8118026556364794
KLAC,0.8115184730060844
EEM,0.8114782211028521
SPGI,0.8111870573399755
PANW,0.8111139940048173
GILD,0.8105811392256492
XLI,0.8105758527289003
RTX,0.81035729390689
VRTX,0.8102257004051598
WMT,0.810010362615604
MA,0.8097524529669943
UNG,0.809118217783804
AMAT,0.8089546668254286
DE,0.8082296006213207
CI,0.8079928745600141
CVX,0.8075939802976255
ZTS,0.8073873623248107
ADI,0.807209365715741
GDX,0.8071067512277877
TSLA,0.8068064663873077
ITB,0.8065404592892704
ACN,0.8063014035990631
XOM,0.8058608575074482
IWM,0.8054531250866325
NOW,0.8052997994164097
CSCO,0.8048485231916227
SLV,0.8046899525641776
MS,0.8043525368892075
INTU,0.8041731476444229
GS,0.8040983567090282
XLK,0.8034665185671074
C,0.8033482785687858
PLTR,0.8029331508618295
QQQ,0.802793254960458
TLT,0.8027288403550934
ADBE,0.8016601677741042
JNJ,0.8010865156283264
COST,0.8000438513221655
TJX,0.8000158018259882
XBI,0.7999426613939569
AAPL,0.7992157890361385
AVGO,0.798798202752015
LRCX,0.7987889934519846
GLD,0.79683366543527
SMH,0.7952992279098116
GE,0.7946226105754859
GOOGL,0.792647207547352
CAT,0.7903838430263502
MRK,0.7887157564246123
NVDA,0.7878544518246768
LLY,0.784376119864534
MU,0.7803603909792703
