panel,band,gross,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,turnover_yr,mean_r,Ebar,ubar,cov,mean_c,exposure_leg,timing_leg,cost_leg,ann_mean,breadth,realised_breadth
U56,0.0,0.5,0.05422188280841378,1.1655758195930186,-0.08096497143490589,1.1892248704108392,1.146803055126631,0.047401671176557025,1.0541976427090338,-0.0585600351399449,0.059876680222268996,1.2532370311095244,-0.08096497143490622,1.4052887074175857,1.0857762311354742,2.1009712697816147,0.00021380147636188075,0.35496533568040584,0.0006453555683965448,-6.940192028719441e-06,8.337187578498471e-06,0.05772787170421286,-0.0017489283912372991,-0.0021009712697816147,0.05387797204319395,0.35496533568040584,0.7099306713608117
U56,0.0,0.6,0.06514985872525925,1.1655880395288782,-0.09673188815448586,1.1894895508135386,1.1466006095149675,0.0569089140863952,1.0544356363323615,-0.07001838323508158,0.07199057782293106,1.2530635641540675,-0.09673188815448552,1.4045814070968465,1.086174318396346,2.5153180122578007,0.00025660466943673804,0.4259146951145804,0.0006453555683965448,-8.280330033810438e-06,9.981420683562702e-06,0.069266337878836,-0.0020866431685202303,-0.002515318012257801,0.06466437669805798,0.4259146951145804,0.7098578251909674
U56,0.0,0.75,0.0815840455749346,1.1655692352749538,-0.12011678079620336,1.1898504035017792,1.1462595680041863,0.07117761375788967,1.0547576766655866,-0.08704834874543188,0.09023730017516285,1.2527642387538176,-0.12011678079620325,1.4034722302814784,1.0867424520265152,3.135546702903265,0.0003208285529527731,0.5323127622921953,0.0006453555683965448,-1.0259806674599961e-05,1.2442645646441527e-05,0.08656981332900127,-0.0025854712819991903,-0.0031355467029032646,0.08084879534409882,0.5323127622921953,0.709750349722927
U56,0.0,0.85,0.09256493392527188,1.1655304409568534,-0.1355299843659441,1.1900658636128376,1.1460053417183282,0.08069235105614858,1.0549482585352221,-0.09829688126668823,0.10244866849203316,1.252536562292804,-0.1355299843659441,1.4026986919623272,1.0870996986999544,3.5489985848608905,0.0003636544472350357,0.6032279120162949,0.0006453555683965448,-1.1558717079199266e-05,1.4083327717701943e-05,0.0981027159920481,-0.002912796703958215,-0.0035489985848608896,0.091640920703229,0.6032279120162949,0.7096798964897587
U56,0.0,1.0,0.10906711246555667,1.1654290031781978,-0.15838543013001427,1.1903480371391748,1.1455793927003626,0.09496233708744928,1.0551942566137027,-0.1150127418187844,0.12082918233944895,1.2521488796352587,-0.15838543013001427,1.4014815320107497,1.0876013856620839,4.170836938146891,0.00042790236349046643,0.7095760146248288,0.0006453555683965449,-1.3475528517553365e-05,1.655094023074163e-05,0.11539806572416789,-0.003395833186423448,-0.004170836938146891,0.10783139559959753,0.7095760146248288,0.7095760146248288
U56,0.01,0.5,0.055499170864263814,1.1838960240944325,-0.0810483523151535,1.2085427623329015,1.1642431775667126,0.04887017571208707,1.077722312966838,-0.05304624972263883,0.06099447294029314,1.2675401097473613,-0.08104835231515384,1.440498563517543,1.0769932198323027,1.75266339057339,0.00021866652746940234,0.3555364368998038,0.0006571982815526799,-8.036394435855225e-06,6.955013454656309e-06,0.0588817997106983,-0.002025171397835517,-0.00175266339057339,0.05510396492228939,0.3555364368998038,0.7110728737996076
U56,0.01,0.6,0.0666948686806379,1.183901071292125,-0.09683613182442019,1.2087982239304271,1.164036243625066,0.05868302307129891,1.0779494365319093,-0.06348426520199413,0.07334403425723934,1.2673623601390671,-0.09683613182442019,1.439788781327607,1.0773712580628705,2.0971254453465007,0.0002624430565994563,0.42659938171260064,0.0006571982815526797,-9.595397603077924e-06,8.32192637042262e-06,0.07065081590438511,-0.002418040195975637,-0.0020971254453465006,0.06613565026306299,0.42659938171260064,0.7109989695210011
U56,0.01,0.75,0.08353818529319335,1.183871236688621,-0.12025471509580388,1.2091454382669085,1.1636878221192357,0.07341741285971004,1.0782552398459255,-0.07903371957356453,0.09195172905296456,1.2670560912006217,-0.12025471509580388,1.4386749948794157,1.0779087608290931,2.6124063206692547,0.00032812717192211386,0.5331674586332467,0.0006571982815526798,-1.1902873922777876e-05,1.0366691748687517e-05,0.08829997787358197,-0.002999524228540025,-0.002612406320669254,0.0826880473243727,0.5331674586332467,0.7108899448443289
U56,0.01,0.85,0.09479678417087833,1.1838246290730812,-0.1356918867707917,1.209352030847518,1.1634276274939142,0.08324741695196503,1.078435191934156,-0.08932796362143958,0.10440863473596829,1.2668228225398506,-0.13569188677079191,1.4378963122836839,1.0782455538633742,2.9558447506598555,0.0003719266101378329,0.6041957115173999,0.0006571982815526799,-1.3420230531552417e-05,1.1729542661348633e-05,0.10006324859934497,-0.003381898093951209,-0.0029558447506598555,0.09372550575473389,0.6041957115173999,0.7108184841381175
U56,0.01,1.0,0.1117228210483665,1.1837105751885895,-0.1585854056475683,1.2096195100035791,1.1629923348738538,0.09799718387627387,1.078663422203587,-0.10466096666578895,0.1231648002739345,1.2664265880664896,-0.15858540564756796,1.4366708502170091,1.07871641132848,3.4726507849276964,0.00043763474491059377,0.7107131291260946,0.0006571982815526799,-1.5664341970353827e-05,1.3780360257649589e-05,0.11770402067892653,-0.003947414176529164,-0.0034726507849276965,0.11028395571746963,0.7107131291260946,0.7107131291260946
U56,0.03,0.5,0.05719859436086572,1.1998443223583883,-0.08117567547064941,1.2341907674554682,1.172442450836956,0.05062238103417749,1.1036520241640548,-0.05290192213333944,0.062649841109361,1.2752253002244605,-0.08117567547064941,1.4057156407000573,1.1323760759501542,1.195488769585749,0.0002251919627404977,0.3552777072054036,0.0006604481425683598,-4.706536025344976e-06,4.744003053911703e-06,0.05912991045857811,-0.0011860470783869338,-0.001195488769585749,0.05674837461060542,0.3552777072054036,0.7105554144108072
U56,0.03,0.6,0.06874860883763056,1.1998450740781486,-0.09702264037677477,1.2344715245895663,1.1722158548728794,0.06080124188720637,1.103908377389997,-0.06332967328587524,0.07534380943700092,1.2750184384679568,-0.09702264037677466,1.4049772263278428,1.1327406567080758,1.4278033723354795,0.00027027992526346925,0.4262866222680248,0.0006604481425683598,-5.5943962170309916e-06,5.665886398156663e-06,0.07094813238542155,-0.0014097878466918098,-0.0014278033723354791,0.06811054116639426,0.4262866222680248,0.7104777037800413
