band,K,subset,n,flip_exact,flip_FBP256,flip_207,n_207,err_vs_truth,err_vs_own_limit,clear_rate,undetermined
MAX,20,all,540,0.09208488791884169,0.09187644675925925,0.09690058479532164,540,0.06746821574870289,0.13529210072117012,0.13714395257302198,0.29444444444444445
MAX,20,non-degenerate,492,0.10106877942311891,0.10117346290650407,0.09760376551133933,492,0.07405048069979585,0.14849133005982088,0.15052385038502414,0.3231707317073171
MAX,50,all,540,0.06273831474039213,0.0631004050925926,0.05998677248677249,540,0.08141244896944261,0.07716039308592233,0.07901224493777419,0.18888888888888888
MAX,50,non-degenerate,492,0.06885912593457673,0.06878017022357724,0.06736353077816493,492,0.08935512691768094,0.08468823631381721,0.08672075663902047,0.2073170731707317
MAX,100,all,540,0.04646295255948967,0.04632523148148148,0.044753086419753084,540,0.10808657283929168,0.04579123571575289,0.04764308756760474,0.12962962962962962
MAX,100,non-degenerate,492,0.0509959235409033,0.05167841717479675,0.04640921409214092,492,0.11863160433580795,0.05025867334655806,0.052291193671761306,0.14227642276422764
MAX,200,all,540,0.028585432112419398,0.028913483796296297,0.025925925925925925,540,0.13114417860334918,0.02255975943600921,0.02441161128786106,0.08888888888888889
MAX,200,non-degenerate,492,0.031374254757533485,0.031488185975609755,0.042682926829268296,492,0.14393873261343204,0.024760711576107677,0.026793231901310926,0.0975609756097561
MAX,400,all,540,0.014181945297337673,0.0140625,,0,0.14543666032395144,0.008267043379796557,0.010118895231646725,0.03333333333333333
MAX,400,non-degenerate,492,0.015565549716590127,0.015434451219512195,,0,0.15962560279458085,0.009073584197337684,0.011106104522539087,0.036585365853658534
Q95,20,all,540,0.09474961881036008,0.09578269675925925,0.09562378167641325,540,0.0812313512594625,0.08033681869219832,0.21777465093427237,0.3148148148148148
Q95,20,non-degenerate,492,0.10399348406015133,0.10470655487804878,0.10589430894308943,492,0.08915636113843448,0.08817455710119329,0.23902095834249407,0.34552845528455284
Q95,50,all,540,0.060059009938369295,0.06075665509259259,0.0615079365079365,540,0.04226332407530878,0.04208867368147828,0.16895454788797512,0.18888888888888888
Q95,50,non-degenerate,492,0.06591842554211265,0.06607278963414634,0.07055749128919861,492,0.0463865752046072,0.04619488574796397,0.1854379184136312,0.2073170731707317
Q95,100,all,540,0.043957812379274826,0.04401041666666667,0.04660493827160493,540,0.031971313508978784,0.031488712469602345,0.17298239859834824,0.13703703703703704
Q95,100,non-degenerate,492,0.048246379440667495,0.047478404471544715,0.04911924119241192,492,0.03509046604644014,0.03456078197883184,0.1898587301689188,0.15040650406504066
Q95,200,all,540,0.03160461154470873,0.03177806712962963,0.03888888888888889,540,0.021252599103341863,0.02086359661974347,0.16612771305195778,0.1
Q95,200,non-degenerate,492,0.03468798828077787,0.035029217479674794,0.028455284552845527,492,0.023326023406106917,0.022899069460694053,0.18233529481312438,0.10975609756097561
Q95,400,all,540,0.023104829983707668,0.023466435185185184,,0,0.01327877501048587,0.012921396063154957,0.1624728922862641,0.05925925925925926
Q95,400,non-degenerate,492,0.02535895973821574,0.0253588668699187,,0,0.014574265255411323,0.014182020069316417,0.17832390616785085,0.06504065040650407
