gate,what,value,pass_
G1,fast runner == engine.backtest,1.3877787807814457e-17,True
G2,committed U56 W/H126/N=20 triple,4.1482887069177465e-05,True
G3,SPY OOS triple,0.00017026205415926476,True
G4,committed U56 n=12 triple,4.7115369983474764e-05,True
G4b,committed B136 n=15 triple,2.131920825099165e-05,True
G5,live RULES v2 MaxDD,4.947716248876466e-05,True
G6,determinism,0.0,True
G7,cadence_mask == engine.rebalance_mask on D/W/M/Q,0.0,True
G11,QUANT top rung (p=1) == MAXDD == stats_all MAXDD,0.0,True
G12,sliding_max == pandas rolling max; KDAY k=INF == MAXDD,0.0,True
G13,both ladders monotone in depth toward MAXDD,0.0,True
G8,reproduce 1110's committed 54-row CORE grid,0.00017080511206946092,False
G9,reproduce 1140's committed 96-cell exponent table,0.0019306274105071464,False
G10,every statistic live (min median |gap| > 0),0.0006090544150485488,True
G14,1140's committed SIGNATURE (12 signs + 4 headline medians to 4dp) survives the cache restatement,0.0,True
