panel,chooser,cadence,G,note,isSharpe,isCAGR,isMaxDD,oCAGR,oSharpe,oMaxDD,d_oSharpe_vs_anchor,keep4b_oos,keep4b_full,keep4a_full,oleg_H1,oleg_H2,oleg_DD,oleg_CAGR
U56,C_SHARPE joint,W,1.0,,1.1159274220127013,0.18664689673170387,-0.18404275239231815,0.23216493687826212,1.186463652058247,-0.24927641340478068,0.0007859478565510614,False,False,False,True,True,False,True
U56,C_SHARPE@D,D,0.875,,1.035476313444255,0.14958058732866486,-0.15200222415850273,0.1933855581044639,1.0894019915695226,-0.26665807820890297,-0.09627571263217338,False,False,False,True,True,False,True
U56,C_SHARPE@W,W,1.0,,1.1159274220127013,0.18664689673170387,-0.18404275239231815,0.23216493687826212,1.186463652058247,-0.24927641340478068,0.0007859478565510614,False,False,False,True,True,False,True
U56,C_SHARPE@M,M,1.0,,1.102420140383116,0.1759463719390959,-0.18121761403018766,0.20795482146469002,1.0602940489738553,-0.2993326653576307,-0.12538365522784067,False,False,False,True,True,False,True
U56,C_SHARPE@Q,Q,0.75,,1.1103956124527252,0.13186862916122521,-0.17336935933193232,0.17425644932356632,1.188510740503588,-0.19894711653131558,0.0028330363018920224,True,True,False,True,True,True,True
U56,C_MEMO joint,W,0.625,fired,1.1155430914704414,0.11635828269918713,-0.1168758652453259,0.14390836825701725,1.1851739694858812,-0.1612154532707536,-0.0005037347158147742,True,True,False,True,True,True,True
U56,C_BUDGET joint,D,0.75,fired,1.0353316619318105,0.12835188601790337,-0.13089763371143814,0.1658411367064847,1.089255069047997,-0.2313086525758663,-0.09642263515369898,False,False,False,True,True,False,True
U56,C_MEMO@D,D,0.625,fired,1.0350091219757562,0.10702373755307049,-0.10958291549602661,0.1381871506693777,1.0889613506657048,-0.195020392956045,-0.09671635353599117,True,True,False,True,True,True,True
U56,C_MEMO@W,W,0.625,fired,1.1155430914704414,0.11635828269918713,-0.1168758652453259,0.14390836825701725,1.1851739694858812,-0.1612154532707536,-0.0005037347158147742,True,True,False,True,True,True,True
U56,C_MEMO@M,M,0.625,fired,1.0982692064451631,0.10894840433475039,-0.11632099204283775,0.1293202496801904,1.0582769399964813,-0.19501005281399642,-0.12740076420521462,True,True,False,True,True,True,True
U56,C_MEMO@Q,Q,0.75,FALLBACK -> keep G=0.75,1.1103956124527252,0.13186862916122521,-0.17336935933193232,0.17425644932356632,1.188510740503588,-0.19894711653131558,0.0028330363018920224,True,True,False,True,True,True,True
U56,C_ANCHOR (choose nothing),W,0.75,the null,1.1157631659166949,0.1397990664530524,-0.1395226227032642,0.17323365236641464,1.185677704201696,-0.19127562163086187,0.0,True,True,False,True,True,True,True
B136,C_SHARPE joint,W,1.0,,1.1406092127967917,0.21276542877214122,-0.1932265233636251,0.21527983263664896,1.0201287480826045,-0.269727696705345,0.002174983577687417,False,False,False,True,True,False,True
B136,C_SHARPE@D,D,0.875,,1.1241652976085186,0.1869717794862138,-0.16106365451324878,0.1927026958663305,0.9372900588441381,-0.3258641972435379,-0.08066370566077896,False,False,False,True,True,False,True
B136,C_SHARPE@W,W,1.0,,1.1406092127967917,0.21276542877214122,-0.1932265233636251,0.21527983263664896,1.0201287480826045,-0.269727696705345,0.002174983577687417,False,False,False,True,True,False,True
B136,C_SHARPE@M,M,1.0,,1.099998896484579,0.20053763330175567,-0.21258652068103856,0.24737231982764007,1.086054135726433,-0.3573247537361527,0.06810037122151602,False,False,False,True,True,False,True
B136,C_SHARPE@Q,Q,1.0,,1.051636787952902,0.18644325006668772,-0.21760391281655211,0.20133786347245497,0.9605954321887211,-0.29068887363548046,-0.057358332316195915,False,False,False,False,True,False,True
B136,C_MEMO joint,W,0.5,fired,1.1373397024882232,0.105526285631512,-0.09850492409385492,0.10796848788603208,1.015478480388993,-0.14172761237675757,-0.0024752841159241257,True,True,False,True,True,True,True
B136,C_BUDGET joint,W,0.625,fired,1.1382627830624243,0.13224808182884584,-0.12256816527782155,0.1349614817282505,1.016750075046014,-0.1749886305304118,-0.0012036894589031455,True,True,False,True,True,True,True
B136,C_MEMO@D,D,0.5,fired,1.1231911866716302,0.10649353321952515,-0.09332373685455031,0.11196194074587673,0.9362649882781506,-0.19476235163171307,-0.0816887762267664,True,True,False,True,True,True,True
B136,C_MEMO@W,W,0.5,fired,1.1373397024882232,0.105526285631512,-0.09850492409385492,0.10796848788603208,1.015478480388993,-0.14172761237675757,-0.0024752841159241257,True,True,False,True,True,True,True
B136,C_MEMO@M,M,0.75,FALLBACK -> keep G=0.75,1.0973665587541783,0.14963514035058,-0.16286628481810894,0.18379904143838321,1.0817514861459994,-0.27628073120857966,0.06379772164108233,False,False,False,True,True,False,True
B136,C_MEMO@Q,Q,0.75,FALLBACK -> keep G=0.75,1.0509532840203375,0.13990285509794176,-0.16533264952243965,0.15185623181273078,0.958662047322936,-0.22117237090018638,-0.05929171718198101,False,False,False,False,True,False,True
B136,C_ANCHOR (choose nothing),W,0.75,the null,1.1391139987864045,0.1590490723991087,-0.14638351916352876,0.16187458516000497,1.017953764504917,-0.2074018763117904,0.0,False,False,False,True,True,False,True
SMALL,C_SHARPE joint,M,1.0,,0.7447494768153283,0.13910067545665528,-0.289260715227175,0.014057653393978242,0.18691474492365293,-0.5276673172305715,-0.2529321853418979,False,False,False,False,False,False,False
