panel,scaler,n,m,cost,levered,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,gross,mg_H1,mg_H2,mg_OOS,mg_DD,mg_CAGR,pass4a,pass4b,fail4b,pass4b_oos,IS_adm
broad,INV,20,0.2,10.0,False,0.023462194319002982,0.8535243192279341,-0.04782683813581767,1.072374564532798,0.6648019412191367,0.02622689518429433,0.9924578538274552,-0.025588441210072532,0.9841935036983098,1.0017440472249355,0.02118624445872319,0.7483472855165137,-0.04782683813581734,4.773701236531401,0.1978238341968912,0.11573616659712294,-0.16923075061669846,-0.13367663808071784,0.15446888170854037,-0.08313614218301328,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.25,10.0,False,0.029299377916312874,0.853635470666349,-0.05962376210053455,1.0727197770182968,0.6647618027549029,0.03279048527544193,0.9927859209275124,-0.03195302335807049,0.9842920501239567,1.0023123131775376,0.026427242507436777,0.7483198793455719,-0.05962376210053433,5.963113382717812,0.24727979274611403,0.11608137908262173,-0.16927088908093224,-0.13370404425165971,0.1426719577438235,-0.07729895858570339,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.3,10.0,False,0.035123752120171714,0.853740186741298,-0.07135640962586065,1.0730590976819194,0.6647157768188872,0.03935560340920041,0.9931081798743057,-0.0383043112470145,0.9843832529266732,1.0028763862655825,0.03164441077753355,0.7482861274927651,-0.07135640962586032,7.151163309901349,0.296735751295337,0.11642069974624436,-0.169316915016948,-0.13373779610446646,0.1309393102184974,-0.07147458438184455,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.35,10.0,False,0.0409345430982353,0.8538378839736624,-0.08302454066738074,1.073392128604202,0.6646631097508732,0.045921616179098956,0.993424368003707,-0.04464216106321128,0.9844671518256265,1.0034356841770944,0.03683689127454848,0.7482452003479825,-0.08302454066738063,8.338002271337544,0.34619170984455966,0.11675373066852701,-0.169369582084962,-0.1337787232492491,0.1192711791769773,-0.06566379340378097,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.4,10.0,False,0.04673098365193207,0.8539284820630316,-0.09462798555888552,1.073718450980363,0.6646040848668642,0.05248785407456724,0.993733925121954,-0.050966423496472846,0.9845438635029278,1.0039889247442095,0.04200386828165881,0.748197418407456,-0.09462798555888552,9.523768414027806,0.3956476683937824,0.11708005304468794,-0.169428606968971,-0.13382650518977557,0.10766773428547252,-0.059867352850084196,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.45,10.0,False,0.05251231643753962,0.854012153401312,-0.10616653592470937,1.0740380544503092,0.664539047212759,0.059053679823070304,0.9940370496516723,-0.05727709170937689,0.9846124305461472,1.0045375359487276,0.04714451822942278,0.7481429386366518,-0.10616653592470937,10.70858401015868,0.4451036269430053,0.11739965651463413,-0.16949364462307615,-0.13388098496057976,0.09612918391964867,-0.054086020064476645,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.5,10.0,False,0.0582777317794021,0.8540884550342129,-0.11763999492703481,1.0743505400222446,0.6644675245778386,0.06561839517916668,0.9943331878880491,-0.06357406327209036,0.9846735181966515,1.005079663041684,0.05225797292096268,0.7480814087813452,-0.1176399949270347,11.892615318625781,0.49455958549222806,0.11771214208656955,-0.16956516725799653,-0.13394251481588637,0.08465572491732323,-0.048320604722614166,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.55,10.0,False,0.06402635948064606,0.8541565051926263,-0.12904815957111704,1.0746552546439059,0.6643884474410527,0.07218125754651328,0.994621610343687,-0.06985720985750121,0.9847263514175053,1.0056146240871697,0.057343291117477824,0.7480118430958123,-0.12904815957111737,13.076079316359584,0.5440155440414508,0.11801685670823081,-0.16964424439478243,-0.13401208050141933,0.073247560273241,-0.04257197702137021,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.6,10.0,False,0.06975733815969942,0.8542158107353419,-0.1403910667037832,1.0749511941946512,0.6643018044159558,0.07874149962933785,0.9949015512692576,-0.07612658667268546,0.9847695105738891,1.006142351512215,0.06239956835336158,0.7479339741692446,-0.14039106670378376,14.259176474053504,0.593471502590674,0.11831279625897617,-0.1697308874198794,-0.13408994942798702,0.061904653140574833,-0.03684099834231684,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.65,10.0,False,0.07546982795286472,0.8542662373760356,-0.15166838865419774,1.0752386887398018,0.664207084822163,0.08529839953341245,0.9951729607130168,-0.08238215361240497,0.9848039558369075,1.0066617249848027,0.06742590288025241,0.7478476226275359,-0.15166838865419774,15.44207899635005,0.642927461139896,0.1186002908041267,-0.16982560701367222,-0.13417630096969568,0.0506273311901603,-0.031128508549151543,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.7,10.0,False,0.08116285941201462,0.8543066242813974,-0.16288019714662716,1.0755168385693765,0.6641029190429103,0.09185112792223182,0.9954349198692346,-0.0886238003949974,0.9848277246901558,1.0071729152881779,0.07242124612758705,0.7477514543151648,-0.1628801971466266,16.625073340668095,0.6923834196891193,0.11887844063370145,-0.16992977279292487,-0.13427246928206682,0.03941552269773088,-0.025435477090001643,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.75,10.0,False,0.0868355364775728,0.8543369119499937,-0.17402613657078558,1.0757848856331245,0.663989899201243,0.09839883164408914,0.9956867517224206,-0.09485133024376424,0.9848416018061344,1.0076736975515885,0.07738470240603612,0.7476459076318238,-0.1740261365707858,17.808370476174616,0.7418393782383419,0.1191464876974494,-0.1700427926345922,-0.13437801596540777,0.028269583273572457,-0.019762800024443458,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.8,10.0,False,0.09248695203222379,0.8543571146554153,-0.18510630502535963,1.0760438184460765,0.6638672406407999,0.10494082026414864,0.995929555446337,-0.10106485805931686,0.9848460034242813,1.008165887512398,0.08231522489591847,0.7475302012272855,-0.18510630502535974,18.992186094896777,0.7912953367875648,0.11940542051040148,-0.17016545119503523,-0.13449372236994606,0.01718941481899841,-0.014111384469792473,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.85,10.0,False,0.09811606421398555,0.8543661163136446,-0.19612081338449028,1.076293007422867,0.6637334372928997,0.11147620822403304,0.9961624685179288,-0.10726439522575781,0.9848403453050709,1.0086483187666317,0.08721168196936335,0.74740304764285,-0.19612081338449006,20.17684959253808,0.8407512953367874,0.11965460948719187,-0.17029925454293549,-0.13462087595438155,0.006174906459867763,-0.00848227228803071,True,False,"H2,OOS,CAGR",False,False
broad,INV,20,0.9,10.0,False,0.10372204045243172,0.8543645814275221,-0.20706905012182286,1.076532729366082,0.6635894825229615,0.11800428421269915,0.996386027827937,-0.11344923470095836,0.9848245378696476,1.0091222301158744,0.09207318045297619,0.7472652042836221,-0.20706905012182264,21.362490138873,0.8902072538860106,0.11989433143040695,-0.1704432093128737,-0.1347587193136095,-0.004773330277464821,-0.002876296049584545,True,False,"H2,OOS,DD,CAGR",False,False
broad,INV,20,0.95,10.0,False,0.10930407188615976,0.8543532219724865,-0.2179507249506245,1.0767629483966907,0.663436828482959,0.12452428589123654,0.996600485020982,-0.11961934585320966,0.9847973071912239,1.0095894922837083,0.09689891182677446,0.747117776502756,-0.2179507249506245,22.549209882735514,0.9396632124352331,0.12012455046101567,-0.17059586335287613,-0.13490614709447557,-0.015655005106266467,0.0027057353841434956,False,False,"H2,OOS,DD",False,False
broad,INV,20,1.0,10.0,False,0.11486103757046662,0.8543307436108536,-0.22876634640196625,1.0769817659798353,0.6632747293627238,0.13103505409765726,0.9968034982518484,-0.125775224421097,0.9847584080556635,1.0100455223288844,0.10168782411069421,0.7469602793550393,-0.22876634640196625,23.737389307752142,0.9891191709844561,0.12034336804416024,-0.17075796247311137,-0.1350636442421923,-0.026470626557608207,0.008262701068450354,False,False,"H2,OOS,DD",False,False
broad,INV,20,1.05,10.0,True,0.12039193319202735,0.8542970160719646,-0.23951585182330648,1.0771893359664995,0.6631028511466583,0.1375357345067152,0.996995428965704,-0.13191686662127833,0.9847083751433746,1.0104904804731398,0.10643883096577111,0.7467922402519136,-0.23951585182330626,24.92729924809495,1.038575129533679,0.1205509380308244,-0.17092984068917683,-0.135231683345318,-0.03722013197894844,0.013793596690011081,False,False,"H2,OOS,DD",False,False
broad,INV,20,1.1,10.0,True,0.125895899950907,0.8542526105231005,-0.2501982782619213,1.0773863538904407,0.6629216932016859,0.144025591587438,0.9971770356542005,-0.1380440872237092,0.98464820077396,1.0109249009141659,0.11115101392135518,0.7466141085238809,-0.2501982782619214,26.119068177722657,1.0880310880829016,0.12074795595476562,-0.17111099863414925,-0.1354098150733507,-0.047902558417563273,0.019297563448890734,False,False,"H2,OOS,DD",False,False
broad,INV,20,1.15,10.0,True,0.13137206994831252,0.8541980212922481,-0.2608142244631375,1.0775737137778074,0.6627315080111752,0.15050385572855296,0.9973489693707245,-0.1441571843049776,0.9845763490420256,1.0113517355888832,0.11582346625426476,0.7464263174012964,-0.26081422446313773,27.31282913016878,1.1374870466321245,0.12093531584213235,-0.17130118382465997,-0.1355976061959352,-0.05851850461877947,0.024773733446296256,False,False,"H2,OOS,DD",False,False
