property,AUC,best_acc,threshold,side,corr_with_D
r_out,0.852991452991453,0.8695652173913043,0.056339188732358686,high,0.5383627683101128
negdrift,0.18162393162393162,0.855072463768116,0.03571428571428571,low,-0.48662677461263826
inband,0.8367521367521368,0.855072463768116,0.7111845708849447,high,0.4226384535567945
rho,0.8555555555555555,0.855072463768116,0.3273289506406744,high,0.6098860499568318
avoided,0.29572649572649573,0.7681159420289855,0.17038675964808223,low,-0.3853282542882703
ewvol,0.6846153846153846,0.7681159420289855,0.1623441702228841,high,0.32707084451958485
N,0.7799145299145299,0.7536231884057971,56.0,high,0.2523257201368258
phi,0.27307692307692305,0.7391304347826086,0.16666666666666666,low,-0.5094125589385973
disp,0.4017094017094017,0.6956521739130435,0.22203448591216113,low,-0.25800522158729183
