delay,cost,n,keep4b,keep4b_full,keep4a
1,10,2520,1130,1130,236
1,25,2520,991,992,44
1,50,2520,784,784,0
2,10,2520,1022,1022,126
2,25,2520,961,961,2
2,50,2520,771,771,0
