window,family,is_start,is_end,spy_is_MaxDD,joint_stale,tcond_stale,joint_n,tcond_n,joint_4b_oos,joint_4a_oos,oos_years
W0,SLID,2009-01-01,2016-12-31,-0.22061944945147527,0.7916666666666666,0.7916666666666666,24,96,0.16666666666666666,0.0,9.686507936507937
W1,SLID,2010-01-01,2017-12-31,-0.1860553439745104,0.75,0.75,24,96,0.20833333333333334,0.0,8.69047619047619
W2,SLID,2011-01-01,2018-12-31,-0.19348915262727295,0.625,0.625,24,96,0.25,0.0,7.694444444444445
W3,SLID,2012-01-01,2019-12-31,-0.19348915262727306,0.4166666666666667,0.4583333333333333,24,96,0.3333333333333333,0.0,6.694444444444445
W4,SLID,2013-01-01,2020-12-31,-0.33717289200673817,0.0,0.020833333333333332,24,96,0.16666666666666666,0.0,5.690476190476191
W5,SLID,2014-01-01,2021-12-31,-0.3371728920067377,0.0,0.0,24,96,0.3333333333333333,0.0,4.690476190476191
N1,NAMED,2010-01-01,2018-12-31,-0.1934891526272724,0.625,0.625,24,96,0.25,0.0,7.694444444444445
N2,NAMED,2012-01-01,2020-12-31,-0.33717289200673817,0.041666666666666664,0.03125,24,96,0.16666666666666666,0.0,5.690476190476191
X1,CTRL_early_nocrash,2009-01-01,2019-12-31,-0.22061944945147527,0.5416666666666666,0.5208333333333334,24,96,0.3333333333333333,0.0,6.694444444444445
X2,CTRL_early_crash,2009-01-01,2020-12-31,-0.3371728920067375,0.041666666666666664,0.041666666666666664,24,96,0.16666666666666666,0.0,5.690476190476191
X3,CTRL_late_nocrash,2013-01-01,2019-12-31,-0.19348915262727306,0.5,0.4583333333333333,24,96,0.3333333333333333,0.0,6.694444444444445
X4,CTRL_late_crash,2017-01-01,2020-12-31,-0.33717289200673783,0.0,0.0,24,96,0.16666666666666666,0.0,5.690476190476191
