corpus,WORKS,sharpe_leg,dd_leg,p4b,p4a,med_dSharpe,med_dMaxDD,med_dCAGR
FULL,33,34,38,26,0,0.048827586783819044,0.03375225985341934,0.002118638315293797
EX2020T,25,25,36,2,0,0.005485923706913032,0.026257947361763456,-0.00029702625162308927
ONLY2020T,15,36,15,1,1,0.11892279746686096,-0.0002493796594900122,0.03993091409030608
EX2020Y,28,28,35,2,0,0.01390062048235885,0.02607493598293481,0.000498278148765019
ONLY2020Y,40,40,40,3,2,0.3344160342701534,0.04998369106286199,0.05117553532246899
ONLY2022,26,26,30,14,0,0.030573270118720686,0.014591001782463198,0.0042488941906581035
NOCRASH,17,18,30,2,0,-0.003082419118590196,0.006366324498095377,-0.0018619703969676715
