claim_set,units,A_STEM,A_COL,A_NAME,A_IDEA,NONE,reach,alone_A_STEM,alone_A_COL,alone_A_NAME,alone_A_IDEA
CS_BLOCK,154,69,45,7,0,33,0.7857142857142857,69,45,54,10
CS_RESAMPLE,1074,491,428,26,0,129,0.8798882681564246,491,428,473,36
CS_ALL,7631,4846,2307,74,0,404,0.9470580526798584,4846,2307,2496,134
