panel,start,reading,is_N,is_gross,is_Sharpe,oCAGR,oSharpe,oMaxDD,keep4b_oos,keep4a_oos,olegH1,olegH2,olegDD,olegCAGR,spy_oCAGR,spy_oSharpe,spy_oMaxDD,live_oSharpe,live_oMaxDD
U56,NATIVE,NATIVE,60,1.0,1.1852714947583685,0.17197693154535965,1.095502805333092,-0.2851963859382005,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886
U56,ISECT2010,WINDOW,15,1.0,1.0663909406179386,0.2548286275412823,1.197914406603137,-0.26135015446807464,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886
U56,ISECT2010,TAPE,30,1.0,1.0789494344301669,0.19399227506628502,1.1090047042615618,-0.23603427642382135,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2751796225088867,-0.12074466451478827
U56,Y2011,WINDOW,10,1.0,1.4398978439874675,0.23646807262392433,1.0996065221138551,-0.26925558924933035,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886
U56,Y2011,TAPE,30,1.0,1.4251121214404272,0.19399227506628502,1.1090047042615618,-0.23603427642382135,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2751796225088867,-0.12074466451478827
U56,Y2012,WINDOW,15,1.0,1.365070872155066,0.2548286275412823,1.197914406603137,-0.26135015446807464,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886
U56,Y2012,TAPE,30,1.0,1.3887487824241473,0.19537467885667925,1.0972088989835889,-0.2564675929928203,False,False,True,True,False,True,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2751796225088867,-0.12074466451478827
B136,NATIVE,NATIVE,10,1.0,1.2878670399685626,0.22152274151599505,0.925293619873677,-0.26250734179277035,False,False,False,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403
B136,ISECT2010,WINDOW,10,1.0,1.2623655669644631,0.22152274151599505,0.925293619873677,-0.26250734179277035,False,False,False,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403
B136,ISECT2010,TAPE,30,1.0,1.0239173308569143,0.2060297391153405,1.0225326614410917,-0.2907636589542961,False,False,True,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1011951327913116,-0.12249071130215883
B136,Y2011,WINDOW,10,1.0,1.4247749850696967,0.22152274151599505,0.925293619873677,-0.26250734179277035,False,False,False,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403
B136,Y2011,TAPE,40,1.0,1.2503656716787233,0.1877490852217314,1.0047068764831908,-0.2786887973814888,False,False,True,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1011951327913116,-0.12249071130215883
B136,Y2012,WINDOW,10,1.0,1.3530131842202955,0.22152274151599505,0.925293619873677,-0.26250734179277035,False,False,False,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403
B136,Y2012,TAPE,15,1.0,1.1582446071917576,0.2399460896998249,1.0288577428638375,-0.31357634703220405,False,False,True,True,False,True,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1011951327913116,-0.12249071130215883
SMALL,NATIVE,NATIVE,60,1.0,0.7234991940764438,0.08163617663265121,0.46651674177476954,-0.44130625794593914,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
SMALL,ISECT2010,WINDOW,60,1.0,0.7234991940764438,0.08163617663265121,0.46651674177476954,-0.44130625794593914,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
SMALL,ISECT2010,TAPE,60,1.0,0.7234991940764438,0.08163617663265121,0.46651674177476954,-0.44130625794593914,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
SMALL,Y2011,WINDOW,60,1.0,0.913301476428173,0.08163617663265121,0.46651674177476954,-0.44130625794593914,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
SMALL,Y2011,TAPE,60,1.0,0.924194446348969,0.08163617663265121,0.4665167417747695,-0.44130625794593914,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
SMALL,Y2012,WINDOW,60,1.0,0.8066555541032808,0.08163617663265121,0.46651674177476954,-0.44130625794593914,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
SMALL,Y2012,TAPE,60,1.0,0.6745444996250779,0.07599408218439807,0.44168171327531663,-0.4502221175819441,False,False,False,False,False,False,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527
