column,form,bar,vocab_size,files,files_nonempty,pairs,disjoint_share_all,pairs_nonempty,disjoint_share_nonempty,mean_jaccard_nonempty
family,RAW,0.0,255,357,357,63546,0.8819752620149184,63546,0.8819752620149184,0.046893815146208016
family,RAW,0.01,93,357,334,63546,0.8823529411764706,55611,0.8655661649673626,0.058727932181162144
family,RAW,0.02,53,357,320,63546,0.883375822239008,51040,0.8548001567398119,0.06780247024069892
family,RAW,0.05,27,357,285,63546,0.88831712460265,40470,0.8246355324932049,0.09670031164725079
family,RAW,0.1,10,357,216,63546,0.9131652661064426,23220,0.7623600344530577,0.17104794717198046
family,RAW,0.25,0,357,0,63546,1.0,0,,
family,RAW,0.5,0,357,0,63546,1.0,0,,
family,NORM,0.0,240,357,357,63546,0.8350171529285871,63546,0.8350171529285871,0.05276990095270196
family,NORM,0.01,84,357,335,63546,0.8353633588266768,55945,0.8129949057109661,0.06571190022755591
family,NORM,0.02,46,357,324,63546,0.8362918200988261,52326,0.8011887016014984,0.07510640440007628
family,NORM,0.05,25,357,302,63546,0.8410600195134234,45451,0.7777826670480298,0.0987644916088706
family,NORM,0.1,14,357,291,63546,0.8470871494665282,42195,0.7697120511908994,0.12758462693051978
family,NORM,0.25,0,357,0,63546,1.0,0,,
family,NORM,0.5,0,357,0,63546,1.0,0,,
family,STEM,0.0,222,357,357,63546,0.830846945519781,63546,0.830846945519781,0.05399481586384177
family,STEM,0.01,79,357,336,63546,0.8311616781544078,56280,0.809363894811656,0.06664141187942146
family,STEM,0.02,46,357,325,63546,0.8323733987977213,52650,0.7976828110161444,0.0759944923126436
family,STEM,0.05,25,357,305,63546,0.8369212853680799,46360,0.7764667817083692,0.09865605927771255
family,STEM,0.1,14,357,294,63546,0.8437509835394832,43071,0.7694736597710756,0.12724532361294813
family,STEM,0.25,0,357,0,63546,1.0,0,,
family,STEM,0.5,0,357,0,63546,1.0,0,,
dial,RAW,0.0,380,265,265,34980,0.6760148656375071,34980,0.6760148656375071,0.11075343732208336
dial,RAW,0.01,151,265,262,34980,0.6760720411663808,34191,0.6685969992103185,0.11563880525401894
dial,RAW,0.02,80,265,255,34980,0.676357918810749,32385,0.6504245792805311,0.12898160414994642
dial,RAW,0.05,35,265,245,34980,0.6789879931389365,29890,0.6243225158916026,0.1649910951104506
dial,RAW,0.1,17,265,243,34980,0.6826758147512865,29403,0.6224875012753801,0.19337147243994557
dial,RAW,0.25,4,265,183,34980,0.7562607204116638,16653,0.4880201765447667,0.4225414840169091
dial,RAW,0.5,0,265,0,34980,1.0,0,,
dial,NORM,0.0,353,265,265,34980,0.4391938250428816,34980,0.4391938250428816,0.1822960663340713
dial,NORM,0.01,139,265,263,34980,0.4392510005717553,34453,0.43067367137839957,0.1887517630497463
dial,NORM,0.02,73,265,256,34980,0.4396798170383076,32640,0.39950980392156865,0.2100502691581435
dial,NORM,0.05,34,265,247,34980,0.44096626643796455,30381,0.35634113426154507,0.2482947147128121
dial,NORM,0.1,14,265,244,34980,0.4461978273299028,29646,0.34655602779464345,0.29288987957781104
dial,NORM,0.25,5,265,200,34980,0.4743567753001715,19900,0.07603015075376884,0.5156373534338258
dial,NORM,0.5,3,265,199,34980,0.47930245854774156,19701,0.07547840211156794,0.6173459892052293
dial,STEM,0.0,258,265,265,34980,0.42086906803887936,34980,0.42086906803887936,0.204476381820482
dial,STEM,0.01,77,265,264,34980,0.420926243567753,34716,0.4165226408572416,0.21086331192278956
dial,STEM,0.02,39,265,257,34980,0.42129788450543165,32896,0.3846364299610895,0.23052593440085611
dial,STEM,0.05,18,265,255,34980,0.4217552887364208,32385,0.37542071946888994,0.25745096771035997
dial,STEM,0.1,11,265,254,34980,0.4235849056603774,32131,0.3724751797329682,0.29308194407787747
dial,STEM,0.25,5,265,200,34980,0.4743567753001715,19900,0.07603015075376884,0.5156373534338258
dial,STEM,0.5,3,265,199,34980,0.47930245854774156,19701,0.07547840211156794,0.6173459892052293
panel,RAW,0.0,3071,1671,1671,1395285,0.4630516346122835,1395285,0.4630516346122835,0.3186899081797706
panel,RAW,0.01,16,1671,1644,1395285,0.46313548844859653,1350546,0.44535099137682094,0.35635665853512877
panel,RAW,0.02,13,1671,1643,1395285,0.4631577061317222,1348903,0.4446983956592876,0.36098037891318174
panel,RAW,0.05,8,1671,1639,1395285,0.4635956094991346,1342341,0.4424389927745632,0.39220852742051293
panel,RAW,0.1,6,1671,1639,1395285,0.464059314046951,1342341,0.4429209865451476,0.4123128549309341
panel,RAW,0.25,5,1671,1639,1395285,0.464059314046951,1342341,0.4429209865451476,0.4286216641927149
panel,RAW,0.5,2,1671,1056,1395285,0.6035025102398435,557040,0.006845109866436881,0.8684708458997559
panel,NORM,0.0,3065,1671,1671,1395285,0.05201302959610402,1395285,0.05201302959610402,0.42955420124066496
panel,NORM,0.01,12,1671,1644,1395285,0.052083982842215035,1350546,0.020682746089359414,0.47693936220723776
panel,NORM,0.02,9,1671,1643,1395285,0.0521062005253407,1348903,0.019512893069405287,0.48285294708988075
panel,NORM,0.05,7,1671,1640,1395285,0.052300426077826395,1343980,0.016123007782853912,0.5008620575414457
panel,NORM,0.1,6,1671,1640,1395285,0.05234844494135607,1343980,0.016172859715174334,0.517630557497329
panel,NORM,0.25,5,1671,1640,1395285,0.05234844494135607,1343980,0.016172859715174334,0.5385529918581855
panel,NORM,0.5,3,1671,1630,1395285,0.05616128604550325,1327635,0.008067729458774438,0.6337624171300239
panel,STEM,0.0,160,1671,1671,1395285,0.042080291840018345,1395285,0.042080291840018345,0.5615019363500915
panel,STEM,0.01,8,1671,1644,1395285,0.042194247053469365,1350546,0.010465396957971072,0.6088361476087301
panel,STEM,0.02,6,1671,1644,1395285,0.0422150313376837,1350546,0.01048686975489913,0.6143501344384424
panel,STEM,0.05,5,1671,1641,1395285,0.042389189305410725,1345620,0.00704507959156374,0.6273930604472631
panel,STEM,0.1,4,1671,1641,1395285,0.04240997358962506,1345620,0.007066630995377595,0.6485086800124905
panel,STEM,0.25,4,1671,1641,1395285,0.04240997358962506,1345620,0.007066630995377595,0.6485086800124905
panel,STEM,0.5,3,1671,1638,1395285,0.04458873993485202,1340703,0.005692535930776615,0.7103064586226374
