n_pass,n_runs,w_contig,f_lo,f_hi,is_empty,panel,book,sleeve,cost,lam,base_to,drag,best_m_min,bind,best_f,IS_n_pass,IS_w,IS_lo,IS_hi,n4a
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.06,0.8636481533143121,0.0,0.015184482332915653,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.1,0.8641905156748191,0.0,0.01523592157169125,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.15,0.8645234701218765,0.0,0.015262940815792228,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.25,0.8648922294704142,0.0,0.015280386910907232,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.35,0.8650688116928016,0.0,0.015287277035267624,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.5,0.8651758359635753,0.0,0.015297525300566009,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,0.7,0.8652459294405449,0.0,0.01531475862296823,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
5,5,0.2,0.2,0.4,False,broad,EWall,S3,0.0,1.0,0.8657057588560485,0.0,0.015342132511364251,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.06,0.8636481533143121,0.000431824076657156,0.013877441803533189,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.1,0.8641905156748191,0.00043209525783740953,0.013928574702042076,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.15,0.8645234701218765,0.00043226173506093825,0.013955400508576424,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.25,0.8648922294704142,0.00043244611473520713,0.01397259554669468,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.35,0.8650688116928016,0.0004325344058464008,0.013979357332087175,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.5,0.8651758359635753,0.00043258791798178765,0.01398953044229985,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,0.7,0.8652459294405449,0.0004326229647202725,0.014006758433443525,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,5.0,1.0,0.8657057588560485,0.0004328528794280243,0.014033965097858439,CAGR,0.25,7,0.30000000000000004,0.15,0.45,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.06,0.8636481533143121,0.000863648153314312,0.012571877857674843,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.1,0.8641905156748191,0.0008641905156748191,0.012622705044424934,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.15,0.8645234701218765,0.0008645234701218765,0.012649337817145681,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.25,0.8648922294704142,0.0008648922294704143,0.012666282347346638,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.35,0.8650688116928016,0.0008650688116928016,0.01267291607897865,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.5,0.8651758359635753,0.0008651758359635753,0.012683014197023737,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,0.7,0.8652459294405449,0.000865245929440545,0.0127002368554225,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,10.0,1.0,0.8657057588560485,0.0008657057588560486,0.012727276648958744,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.06,0.8636481533143121,0.0012954722299714683,0.011267788878553023,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.1,0.8641905156748191,0.0012962857735122285,0.01131831098104992,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.15,0.8645234701218765,0.0012967852051828147,0.011344751123064392,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.25,0.8648922294704142,0.0012973383442056213,0.011361445693527775,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.35,0.8650688116928016,0.0012976032175392024,0.011367951656136868,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.5,0.8651758359635753,0.001297763753945363,0.011377974944661154,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,0.7,0.8652459294405449,0.0012978688941608172,0.011395192268827528,CAGR,0.25,6,0.25,0.15,0.4,0
4,4,0.15000000000000002,0.2,0.35,False,broad,EWall,S3,15.0,1.0,0.8657057588560485,0.0012985586382840727,0.01142206554400911,CAGR,0.25,6,0.25,0.15,0.4,0
